Year, World
2012,288.00000
2013,299.00000
2014,311.00000
2015,322.00000
2016,335.00000
2017,348.00000
2018,359.00000
2019,343.70288
2020,356.49845
2021,366.20511
2022,375.90982
2023,385.60651
2024,397.13699
2025,408.88708
2026,420.86321
2027,433.07165
2028,445.51877
2029,458.21047
2030,471.15193
2031,484.34743
2032,497.80044
2033,511.51371
2034,525.48923
2035,539.72808
2036,554.23038
2037,568.99551
2038,584.02239
2039,599.30935
2040,614.85409
2041,630.65371
2042,646.70470
2043,663.00297
2044,679.54397
2045,696.32293
2046,713.33497
2047,730.57509
2048,748.03793
2049,765.71800
2050,782.30302
2051,801.70718
2052,820.00479
2053,838.49601
2054,857.17414
2055,876.03268
2056,895.06553
2057,914.26690
2058,933.63101
2059,953.15222
2060,972.82487
