Year,Middle East and Africa
2012,
2013,
2014,
2015,
2016,
2017,308.6061212144823
2018,323.9080348436025
2019,338.76747685944156
2020,353.2219245577488
2021,367.30885523427366
2022,381.0657461847655
2023,394.5300747049736
2024,407.7393180906473
2025,420.7309536375361
2026,433.54245864138926
2027,446.21131039795614
2028,458.77498620298604
2029,471.27096335222853
2030,483.73671914143273
2031,496.2097308663481
2032,508.72747582272405
2033,521.3274313063098
2034,534.0470746128549
2035,546.9238830381084
2036,559.99533387782
2037,573.298904427739
2038,586.8720719836145
2039,600.7523138411962
2040,614.9771072962333
2041,629.5839296444749
2042,644.6102581816708
2043,660.0935702035702
2044,676.0713430059225
2045,692.5810538844767
2046,709.6601801349827
2047,727.3461990531894
2048,745.6765879348466
2049,764.6888240757032
2050,781.194555349811
2051,803.3425346618315
2052,825.9926409949983
2053,849.1582123172971
2054,872.8525865967147
2055,897.0891018012369
2056,921.8810958988502
2057,947.2419068575405
2058,973.184872645294
2059,999.7233312300975
2060,1026.8706205799365
