Year,World,OECD90,Eastern Europe,Asia (Sans Japan),Middle East and Africa,Latin America
2012,1536.6666666666667,520.9940639269407,174.33333333333334,714.8872146118722,227.43196347031954,215.46757990867582
2013,1655.0,526.167694063927,175.63333333333333,731.1361872146119,241.37203196347025,219.51586757990867
2014,1773.3333333333333,531.3413242009133,176.93333333333334,747.3851598173517,255.31210045662093,223.56415525114156
2015,1891.6666666666665,536.5149543378996,178.23333333333335,763.6341324200914,269.2521689497716,227.61244292237444
2016,2009.9999999999998,535.7,178.2,769.1,302.4,230.8
2017,2257.7852102784937,678.028253943976,115.10929669972121,944.8746697788445,244.9427140155994,274.83027584035256
2018,2314.9722954908048,681.2735456949864,117.77601295843974,975.859658283899,258.04535055145624,282.017728002023
2019,2371.5574644498547,684.524475518928,120.26486955345442,1006.3913738723721,271.34594996939586,289.0307955357043
2020,2428.7958724065325,687.9706412071253,123.3847427102001,1036.0067641822277,284.94385065104797,296.4898736559317
2021,2482.676513154691,691.0496768795706,124.72268580355063,1065.8616275521215,298.5199515826175,302.52257133683094
2022,2538.0961270540024,694.1710152640587,127.04715707798537,1095.3827631791894,312.6911698150139,308.8040217177548
2023,2592.808605567217,697.305098734807,129.21347776167846,1124.333467249519,327.06350010066643,314.89306172054654
2024,2646.819982346745,700.4584458722888,131.2262381261806,1152.7170947974053,341.630841754618,320.78736179625207
2025,2697.0513841096,702.4239735896425,133.89572889365175,1183.4101993170696,350.0685262248246,327.2529560844114
2026,2740.656072370631,706.8333653236062,134.81074299762668,1205.3033878408166,361.7206867354597,331.9878894731219
2027,2792.0695704303453,710.0498345901372,136.3920779035532,1231.8039985565115,376.5280626185283,337.2955967616153
2028,2842.7785177919823,713.272962962096,137.84157410179878,1257.7244277350524,391.52814598449805,342.4114070085371
2029,2892.797588319958,716.4881131597438,139.16732599467858,1283.074314579834,406.72874626205515,347.3390883236459
2030,2946.1929449831373,717.8571835123868,140.7835247118333,1311.7946664500628,423.3790122352734,352.378558073581
2031,2990.8450283776297,722.8512281107675,141.47962117139656,1332.1089934814472,437.75883556632976,356.64635004768826
2032,3036.1005730355682,725.6026667267262,142.44818369868574,1353.9417659518137,453.2543892022238,360.853567456119
2033,3080.732999565222,728.3168530032485,143.3267198525357,1375.2414581338576,468.96155737285454,364.8864112027258
2034,3124.7817048359166,730.9868160042575,144.12699148794184,1396.026271054922,484.8912820212806,368.7503442675147
2035,3168.6563383823504,734.9132743434023,144.57191689354096,1416.8446882860253,499.927911609819,372.398547249563
2036,3211.3073020777806,736.168715443815,145.53402610057523,1436.1464290922665,517.46143804552,375.99669339560387
2037,3253.884457588458,738.6695478681921,146.1568727069662,1455.5427105359022,534.1217751233828,379.39355135401496
2038,3296.0788634214973,741.1053822276577,146.73652617575218,1474.543514180394,551.0429396697183,382.65050116797516
2039,3337.9516624658163,743.4739138866769,147.28068913401398,1493.188606355007,568.23182318434,385.77662990577835
2040,3369.0887879842435,745.5115945812191,147.27581308147904,1505.9921505358254,582.4194270991105,387.88980268660896
2041,3420.9991778965214,747.9954032888483,148.29200140159796,1529.5826486353606,603.4552364160343,391.6738881546796
2042,3458.8400597978816,749.7936829535661,148.6626810381845,1545.1012088385505,620.9922677625807,394.2902192049997
2043,3496.6194084398057,751.5092117364412,149.02438250815572,1560.4398843255683,638.8336790369852,396.81225083265497
2044,3534.4134931625713,753.1400314814719,149.38074341907657,1575.6459817712016,656.9965876771738,399.25014881364723
2045,3572.615929795382,756.2424764947008,149.58005204806545,1587.9680125296024,677.0561467614674,401.76924196154545
2046,3610.4483029434805,756.4522132483972,150.12672261878765,1602.611520094345,697.3571489534663,403.9006980284841
2047,3647.6159264809107,757.630797443783,150.53613173883952,1615.7541130417849,717.6299998607644,406.0648843957389
2048,3684.368526406217,758.625691336506,150.96456412863046,1628.2879977280845,738.3516259172636,408.1386472957317
2049,3720.72760999142,759.4288398489492,151.41913553382125,1640.2162129783549,759.5353650909506,410.12805653934413
2050,3756.7146845085417,760.0321879034957,151.90696170007254,1651.5417976177046,781.194555349811,412.039181937458
2051,3792.351257229602,760.427680422528,152.4351583730451,1662.2677904712432,803.3425346618315,413.87809330095513
2052,3827.658835426624,760.6072623284294,153.0108412983997,1672.39723036408,825.9926409949983,415.65086044071717
2053,3862.658926371627,760.5628785435828,153.64112622179692,1681.9331561213253,849.1582123172971,417.3635531676258
2054,3897.3730373366325,760.2864739903708,154.33312888889765,1690.878606568087,872.8525865967147,419.02224129256285
2055,3931.822675593661,759.7699935911766,155.09396504536244,1699.236620529476,897.0891018012369,420.6329946264101
2056,3966.029348414734,759.005382268383,155.93075043685212,1707.0102368306013,921.8810958988502,422.2018829800491
2057,4000.014563071873,757.984584944373,156.85060080902738,1714.202494296572,947.2419068575405,423.7349761643618
2058,4033.799826837098,756.6995465415292,157.86063190754896,1720.816431752498,973.184872645294,425.23834399022974
2059,4067.406646982431,755.1422119822349,158.96795947807752,1726.8550880234889,999.7233312300975,426.71805626853484
2060,4100.856530779893,753.304526188873,160.17969926627384,1732.321501934653,1026.8706205799365,428.18018281015867
