VMA number,Title on xls,Fixed Mean,Fixed High,Fixed Low
1,Current Adoption,2751916.507396219,2751916.507396219,2751916.507396219
3,SOLUTION First Cost per Implementation Unit,1888940.5168064325,3002496.041824832,775384.9917880329
4,CONVENTIONAL Lifetime Capacity,217.46541906800368,525.3454675601146,1.2391573729863692
5,SOLUTION Lifetime Capacity,217.4654190680037,525.3454675601147,1.2391573729863694
6,CONVENTIONAL Average Annual Use,7.248847302266793,17.511515585337154,0.041305245766212306
7,SOLUTION Average Annual Use,7.248847302266793,17.511515585337154,0.04130524576621231
14,SOLUTION Total Energy Used per Functional Unit,5.8791625172003074e-05,0.00013259304688539064,1.0945273631840798e-05
15,CONVENTIONAL Fuel Consumed per Functional Unit,12609.082342957821,25198.63172720244,5185.592422378783
25,Discount Rate - Commercial/Industry,0.09219999999999999,0.1231735370921695,0.06122646290783049
26,Discount Rate - Government,0.06244999999999999,0.09848536457426235,0.02641463542573763
27,Diesel Train Efficiency,0.35,0.35,0.35
28,Electric Train Efficiency,0.85,0.85,0.85
