Year,World
2012,22374399399366.055
2013,23275792425735.008
2014,11701984878378.354
2015,12509837413588.664
2016,13321467385985.11
2017,14129256286019.264
2018,14971567099310.44
2019,13362168832381.137
2020,13630301759973.719
2021,13792381839538.158
2022,13970648937250.92
2023,14128756115702.06
2024,14270313383367.848
2025,14342926888404.518
2026,14398740132021.617
2027,14549285231749.328
2028,14694459053509.281
2029,14838624925170.582
2030,14997306861977.748
2031,15140783132479.316
2032,15306737198579.219
2033,15487542470137.168
2034,15686601095503.861
2035,15928425023167.072
2036,16151936268812.777
2037,16423934588925.123
2038,16725664411844.137
2039,17059651692782.383
2040,17369714936398.322
2041,17834121869460.258
2042,18279374746546.35
2043,18766470450449.906
2044,19297795023183.723
2045,19939217043849.887
2046,20502813537136.31
2047,21181441366989.105
2048,21914161957273.312
2049,22703530012732.83
2050,23529512886101.625
2051,24455402246519.58
2052,25427549166456.12
2053,26466451711601.285
2054,27574743967976.332
2055,28755087215864.93
2056,30010187739365.395
2057,31342798211793.254
2058,32755694172881.82
2059,34251687103013.836
2060,35833609581320.09
