Year,World
2012,22374399399366.055
2013,23261588934959.56
2014,12627813321591.922
2015,13436840447479.37
2016,14195233376260.262
2017,14978035642215.102
2018,15795931666635.273
2019,16129954657852.023
2020,16474348147898.797
2021,17116247853028.973
2022,18059831003520.133
2023,18345442986059.516
2024,18640459082334.21
2025,18939671302275.418
2026,19262535890189.27
2027,19592093562638.168
2028,19935574524500.14
2029,20294111242555.844
2030,20656982439570.996
2031,21060806406517.652
2032,21471259476579.04
2033,21901462384250.652
2034,22352765688204.297
2035,22813607372108.832
2036,23323764229974.0
2037,23845753221564.71
2038,24393491006697.246
2039,24967977097302.625
2040,25567916151567.992
2041,26201291572094.184
2042,26862292091163.62
2043,27554265702662.066
2044,28278247164501.89
2045,29073299249223.34
2046,29826281808486.652
2047,30652320365361.64
2048,31514302703572.87
2049,32413135799273.984
2050,33330004060143.445
2051,34324945941054.395
2052,35339736193997.88
2053,36394912851733.1
2054,37491267435851.21
2055,38629591604887.5
2056,39810678112710.94
2057,41035347118299.945
2058,42304437054280.76
2059,43618808796956.76
2060,44979304662714.76
