Year,World
2012,22374399399366.055
2013,23275792425735.008
2014,11701984878378.354
2015,12509837413588.664
2016,13321467385985.11
2017,14129256286019.264
2018,14971567099310.44
2019,15057355178036.24
2020,15707579113398.498
2021,16260195332536.326
2022,16844738869947.676
2023,17421090005576.19
2024,17991644886938.12
2025,18498268578214.33
2026,19125047627427.727
2027,19692701707102.758
2028,20264233886784.008
2029,20842083126643.652
2030,21449765406811.48
2031,22026356807230.95
2032,22637488467780.586
2033,23264364864715.176
2034,23909242936675.21
2035,24623839420137.688
2036,25283215498050.61
2037,25979716310808.895
2038,26706881406263.957
2039,27465993681542.617
2040,28216208451041.35
2041,29085289966025.64
2042,29948110956570.63
2043,30848131802003.52
2044,31786663532720.906
2045,32820467685572.656
2046,33784649578623.35
2047,34846898936455.555
2048,35953204342025.72
2049,37104995752018.82
2050,38282854007271.49
2051,39550870982319.11
2052,40847938785631.16
2053,42196324987203.945
2054,43597399930872.37
2055,45052587286484.16
2056,46563411479553.43
2057,48131492627136.82
2058,49758481607630.52
2059,51446091136859.78
2060,53196057936216.74
