# Changes in Adoption for the Conservation Agriculture solution as published in the 2017
# Drawdown Book. This data came from "Custom PDS Adption"!AK77:AQ127 of
# Drawdown_RRS-BIOSEQAgri_Model_v1.1_Regenerative_Agriculture_Mar 2020.xlsm
Year,World,OECD90,Eastern Europe,Asia (Sans Japan),Middle East and Africa,Latin America
2013, 9.4250502362847300, 3.9845329374074900, 1.0699582537636200, 1.6578186275437500, 1.0, 1.2835068628191900
2014, 8.7990631535649300, 3.7303207889199300, 1.0017601158469900, 1.5537380091846000, 1.0, 1.1659267172217400
2015, 8.1898204460740100, 3.4826286174356900, 0.9353092927485700, 1.4522796748206000, 1.0, 1.0523593276739100
2016, 7.5973221138119700, 3.2414564117789300, 0.8706057909876110, 1.3534436337649800, 1.0, 0.9428047034889460
2017, 7.0215681642293900, 3.0068041980266600, 0.8076496021822090, 1.2572298776358400, 1.0, 0.8372628446668390
2018, 6.4625586122274400, 2.7786719538271400, 0.7464407328516240, 1.1636384055018400, 1.0, 0.7357337437570100
2019, 5.9202934354543700, 2.5570596754550900, 0.6869791792705660, 1.0726692266762300, 1.0, 0.6382174063473940
2020, 5.3947726339101800, 2.3419673927128300, 0.6292649433016780, 0.9843223318457600, 1.0, 0.5447138343006370
2021, 4.8859962224960300, 2.1333950683474500, 0.5732980240136380, 0.8985977238044140, 1.0, 0.4552230201661590
2022, 4.3939642012119300, 1.9313427284359900, 0.5190784214064480, 0.8154954100027680, 1.0, 0.3697449751198290
2023, 3.9186765402555500, 1.7358103580772900, 0.4666061373427510, 0.7350153727456930, 1.0, 0.2882796861231330
2024, 3.4601332619786300, 1.5467979796230800, 0.4158811699599030, 0.6571576343849300, 1.0, 0.2108271680772300
2025, 3.0183343812823300, 1.3643055632710500, 0.3669035183265810, 0.5819221790879960, 1.0, 0.1373874023556710
2026, 2.5932798907160800, 1.1883331164717700, 0.3196731843054290, 0.5093090087175370, 1.0, 0.0679604038596153
2027, 2.1849697530269600, 1.0188806615769900, 0.2741901678964500, 0.4393181279301640, 1.0, 0.0025461725890636
2028, 1.7934040203690500, 0.8559481799602510, 0.2304544681683180, 0.3719495385885240, 1.0, -0.0588553026318550
2029, 1.4185826703906100, 0.6995356641709800, 0.1884660860523580, 0.3072032295167450, 1.0, -0.1162440162152050
2030, 1.0605056956410400, 0.5496431328356270, 0.1482250206172470, 0.2450792137533430, 1.0, -0.1696199607104060
2031, 0.7191730886697770, 0.4062705710530280, 0.1097312718629840, 0.1855774838477370, 1.0, -0.2189831435680390
2032, 0.3945848792791370, 0.2694179937243460, 0.0729848397895694, 0.1286980416625740, 1.0, -0.2643335685133930
2033, 0.0867410525679588, 0.1390853859484200, 0.0379857262596488, 0.0744408909231424, 1.0, -0.3056712299585340
2034, -0.2043583914637570, 0.0152727589011192, 0.0047339275479317, 0.0228060167282820, 1.0, -0.3429961241781710
2035, -0.4787134602665900, -0.1020198985934260, -0.0267705507576466, -0.0262065567076206, 1.0, -0.3763082604855300
2036, -0.7363241538405420, -0.2127925753593440, -0.0565277161076665, -0.0725968498736620, 1.0, -0.4056076314300300
2037, -0.9771904349327090, -0.3170452751219270, -0.0845375610515475, -0.1163648562505840, 1.0, -0.4308942444622520
2038, -1.2013123631477400, -0.4147780016064640, -0.1108000911772250, -0.1575105693191290, 1.0, -0.4521680846810340
2039, -1.4086899012327200, -0.5059907548129560, -0.1353153027594090, -0.1960340002551670, 1.0, -0.4694291725754740
2040, -1.5993230566382400, -0.5906835235655310, -0.1580831976607440, -0.2319351397454740, 1.0, -0.4826774951070550
2041, -1.7732118442654600, -0.6688563264906410, -0.1791037758812310, -0.2652139933779840, 1.0, -0.4919130522757770
2042, -1.9303562194109000, -0.7405091486871240, -0.1983770374208690, -0.2958705602213740, 1.0, -0.4971358478069310
2043, -2.0707562267780300, -0.8056419901549820, -0.2159029804170130, -0.3239048384130000, 1.0, -0.4983458854258060
2044, -2.1944118589162800, -0.8642548695206640, -0.2316816085949540, -0.3493168279528620, 1.0, -0.4955431558191780
2045, -2.3013230860233300, -0.9163477532565590, -0.2457129172980790, -0.3721065316349270, 1.0, -0.4887276589870450
2046, -2.3914899677038200, -0.9619206748902800, -0.2579969111830000, -0.3922739457339050, 1.0, -0.4778994098305700
2047, -2.4649124443531000, -1.0009736195206600, -0.2685335855931040, -0.4098190758377310, 1.0, -0.4630583897233010
2048, -2.5215905457735100, -1.0335065796971300, -0.2773229451850060, -0.4247419144958260, 1.0, -0.4442046135663990
2049, -2.5615242570638700, -1.0595195777714300, -0.2843649871647360, -0.4370424654334780, 1.0, -0.4213380720466380
2050, -2.5847135931253400, -1.0790125876665100, -0.2896597106009720, -0.4467207333073020, 1.0, -0.3944587670266630
2051, -2.5911585539579400, -1.0919856280088400, -0.2932071192190050, -0.4537767088040710, 1.0, -0.3635666985064740
2052, -2.5808591023087500, -1.0984386876225500, -0.2950072083622220, -0.4582103993743660, 1.0, -0.3286618664860730
2053, -2.5538152977824200, -1.0983717776835000, -0.2950599836185570, -0.4600217975676060, 1.0, -0.2897442746907470
2054, -2.5100271180272100, -1.0917848832905300, -0.2933654384687540, -0.4592109154909850, 1.0, -0.2468139212578540
2055, -2.4494945481419600, -1.0786780193448100, -0.2899235794320700, -0.4557777401059870, 1.0, -0.1998708061873910
2056, -2.3722175806760800, -1.0590511783957500, -0.2847343990579250, -0.4497222807258370, 1.0, -0.1489149257540700
2057, -2.2781962379813200, -1.0329043604433500, -0.2777979066595440, -0.4410445289686320, 1.0, -0.0939462780952454
2058, -2.1674305126071000, -1.0002375729382000, -0.2691140938550230, -0.4297444969415660, 1.0, -0.0349648781120777
2059, -2.0399204045534100, -0.9610507935285570, -0.2586829653009770, -0.4158221697434780, 1.0, 0.0280292965471745
2060, -1.8956659287214300, -0.9153440557420250, -0.2465045191347600, -0.3992775604128840, 1.0, 0.0950362235307693
