# Changes in Adoption for the Conservation Agriculture solution as of 3/2020
# Drawdown Book. This data came from "Custom PDS Adption"!AC77:AI127 of
# Drawdown_RRS-BIOSEQAgri_Model_v1.1_Regenerative_Agriculture_Mar 2020.xlsm
Year,World,OECD90,Eastern Europe,Asia (Sans Japan),Middle East and Africa,Latin America
2013, 51.5017764419317000, 15.1520900055766000, 0.0, 0.0, 0.0, 1.8814842291176300
2014, 20.1825554370880000, 6.6343615092337100, 5.7972498275339600, 7.6860515382140900, 0.2444513496011500, 1.7196263168007100
2015, 18.8464629799128000, 6.1976938359439400, 3.0370292235165800, 4.6037142202258100, 3.4450203143060200, 1.5630054008215700
2016, 17.5449784845114000, 5.7722670994699000, 2.8355720490217200, 4.2999168969690800, 3.2256009727716400, 1.4116214774549000
2017, 16.2781019806862000, 5.3580813147127600, 2.6392411924898600, 4.0038040652871100, 3.0115007981658000, 1.2654745746403900
2018, 15.0458333343267000, 4.9551364965736900, 2.4480366576463000, 3.7153757512569400, 2.8027198016643500, 1.1245646551251400
2019, 13.8481727391481000, 4.5634326077997700, 2.2619584370404500, 3.4346319511532800, 2.5992579795420200, 0.9888917561620470
2020, 12.6851200163364000, 4.1829696670174600, 2.0810065306723100, 3.1615726538002500, 2.4011153243482100, 0.8584558404982090
2021, 11.5566753000021000, 3.8137476742267600, 1.9051809571683400, 2.8961978740990200, 2.2082918509841000, 0.7332569379359480
2022, 10.4628385007381000, 3.4557666406035400, 1.7344816885888600, 2.6385076008737100, 2.0207875445485100, 0.6132950391620400
2023, 9.4036096483469000, 3.1090265437960600, 1.5689087454229600, 2.3885018303990400, 1.8386024106293900, 0.4985701330006120
2024, 8.3789888024330100, 2.7735273987054800, 1.4084621202200700, 2.1461805775761600, 1.6617364529520300, 0.3890822343528270
2025, 7.3889758288860300, 2.4492691978812200, 1.2531418111175300, 1.9115438349545000, 1.4901896715164200, 0.2848313339054580
2026, 6.4335708767175700, 2.1362519413232800, 1.1029478199780000, 1.6845915988087700, 1.3239620588719800, 0.1858174428343770
2027, 5.5127738416194900, 1.8344756439328200, 0.9578801523894070, 1.4653238691389600, 1.1630536243319500, 0.0920405425131321
2028, 4.6265847533941300, 1.5439402908086800, 0.8179387971758840, 1.2537406571209400, 1.0074643604457400, 0.0035006534308195
2029, 3.7750036120414700, 1.2646458782255600, 0.6831237636506560, 1.0498419553041500, 0.8571942746639250, -0.0798022355884314
2030, 2.9580304473638500, 0.9965924136340620, 0.5534350499510770, 0.8536277525126930, 0.7122433539479970, -0.1578681282699110
2031, 2.1756652444601100, 0.7397799082100390, 0.4288726523518560, 0.6650980636477470, 0.5726116113364700, -0.2306970097124580
2032, 1.4279079139232600, 0.4942083396017550, 0.3094365689903500, 0.4842528924345970, 0.4382990431040530, -0.2982888985425230
2033, 0.7147586345672610, 0.2598777264356610, 0.1951268147677180, 0.3110922202467920, 0.3093056492507460, -0.3606437798589470
2034, 0.0362172722816467, 0.0367880389094353, 0.0859433747828007, 0.1456160694360730, 0.1856314223259690, -0.4177616629749540
2035, -0.6077161431312560, -0.1750606670975690, -0.0181137509644032, -0.0121755860745907, 0.0672763790935278, -0.4696425441652540
2036, -1.2170416414737700, -0.3756684437394140, -0.1170445531606670, -0.1622827202081680, -0.0457594990730286, -0.5162864178419110
2037, -1.7917591482400900, -0.5650352761149410, -0.2108490392565730, -0.3047053441405300, -0.1534761991351840, -0.5576932951807980
2038, -2.3318687379360200, -0.7431611567735670, -0.2995272092521190, -0.4394434653222560, -0.2558737266808750, -0.5938631705939770
2039, -2.8373703211545900, -0.9100460782647130, -0.3830790519714360, -0.5664970725774770, -0.3529520761221650, -0.6247960403561590
2040, -3.3082640022039400, -1.0656900741159900, -0.4615045860409740, -0.6858661770820620, -0.4447112623602150, -0.6504919137805700
2041, -3.7445497363805800, -1.2100930996239200, -0.5348037946969270, -0.7975507639348510, -0.5311512686312200, -0.6709507778286930
2042, -4.1462274491787000, -1.3432552069425600, -0.6029766928404570, -0.9015508405864240, -0.6122721023857590, -0.6861726474016900
2043, -4.5132973045110700, -1.4651763364672700, -0.6660232674330470, -0.9978664182126520, -0.6880737617611890, -0.6961575150489810
2044, -4.8457591682672500, -1.5758565217256500, -0.7239435184746980, -1.0864974707365000, -0.7585562486201520, -0.7009053714573380
2045, -5.1436130404472400, -1.6752957776188900, -0.7767374552786350, -1.1674440205097200, -0.8237195629626510, -0.7004162408411500
2046, -5.4068590253591500, -1.7634940817952200, -0.8244050778448580, -1.2407060600817200, -0.8835637029260400, -0.6946900896728040
2047, -5.6354970186948800, -1.8404514230787800, -0.8669463768601420, -1.3062835931778000, -0.9380886685103180, -0.6837269570678470
2048, -5.8295270651578900, -1.9061678312718900, -0.9043613560497760, -1.3641766160726500, -0.9872944597154860, -0.6675268094986680
2049, -5.9889491796493500, -1.9606432765722300, -0.9366500228643420, -1.4143851250410100, -1.0311810765415400, -0.6460896618664260
2050, -6.1137633323669400, -2.0038777962327000, -0.9638123642653230, -1.4569091312587300, -1.0697485245764300, -0.6194155160337690
2051, -6.2039695084095000, -2.0358713641762700, -0.9858483951538800, -1.4917486160993600, -1.1029968000948400, -0.5875043626874690
2052, -6.2595677971839900, -2.0566239617764900, -1.0027580969035600, -1.5189036019146400, -1.1309258937835700, -0.5503562167286870
2053, -6.2805580645799600, -2.0661356337368500, -1.0145414900034700, -1.5383740738034200, -1.1535358205437700, -0.5079710558056830
2054, -6.2669404149055500, -2.0644063465297200, -1.0211985632777200, -1.5501600392162800, -1.1708265691995600, -0.4603489041328430
2055, -6.2187148183584200, -2.0514361262321500, -1.0227293130010400, -1.5542614832520500, -1.1827981472015400, -0.4074897505342960
2056, -6.1358812600374200, -2.0272249393165100, -1.0191337428987000, -1.5506784319877600, -1.1894505545496900, -0.3493935856968160
2057, -6.0184397697448700, -1.9917728193104300, -1.0104118585586500, -1.5394108667969700, -1.1907837819308000, -0.2860604319721460
2058, -5.8663902729749700, -1.9450797401368600, -0.9965636581182480, -1.5204587876796700, -1.1867978367954500, -0.2174902614206080
