"SOURCE ID: Author/Org, Date, Info",Link,World / Drawdown Region,Specific Geographic Location,Source Validation Code,Year / Date,License Code,Raw Data Input,Original Units,Conversion calculation,Common Units,Weight,Assumptions,Closest Matching Standard Crop (by Revenue/ha),Exclude Data?
"Upretey, R. 2006",http://sri.ciifad.cornell.edu/countries/nepal/nepupretyecon05.pdf,Asia (Sans Japan),Nepal,4 - Independently Verified,2006,,,Nepali rupees/ha/yr,0.0,US$2014/ ha/ yr ,0.0017312945689949154,"Refer table, 1/ 1 NPR=0.014 USD in 2006 (http://www.x-rates.com/)","Rice, paddy",
Adusumilli et al 2011,http://link.springer.com/article/10.1007/s10333-010-0230-6,Asia (Sans Japan),India,1  - Peer Reviewed,2011,,,Indian rupees/ha/yr,0.0,US$2014/ ha/ yr ,0.053924504021064336,Refer table 3 / 1 INR= 0.019 USD in 2011 (http://www.x-rates.com/),"Rice, paddy",
Dill et al 2013,http://infoagro.net/archivos_Infoagro/Regatta/biblioteca/VN-GIZreportonLesson.pdf,Asia (Sans Japan),Vietnam,2 - Public Sector/ Multilateral Agency,2013,,,USD/ha/yr,0.0,US$2014/ ha/ yr ,0.22361337689076227,Refer table 5,"Rice, paddy",
Devi et al 2009,http://ageconsearch.umn.edu/bitstream/57473/2/2-Sitadevi.pdf,Asia (Sans Japan),India,1  - Peer Reviewed,2009,,,Indian rupees/ha/yr,0.0,US$2014/ ha/ yr ,0.053924504021064336,Refer tabe 1 / 1 INR= 0.020 USD in 2011 (http://www.x-rates.com/),"Rice, paddy",
Oxfam 2014,http://www.oxfam.org.nz/sites/default/files/reports/20141114_SRI%20in%20Timor-Leste%20report%20FINAL_lowres_0.pdf,Asia (Sans Japan),"East Timor, Indonesia",2 - Public Sector/ Multilateral Agency,2014,,,USD/ha/yr,,US$2014/ ha/ yr ,0.02430254762576777,Refer page 1,"Rice, paddy",
"Geethalakshmi, V. et al. 2016",https://www.researchgate.net/publication/311614918_System_of_Rice_Intensification_Climate-smart_Rice_Cultivation_System_to_Mitigate_Climate_Change_Impacts_in_India,Asia (Sans Japan),India,1  - Peer Reviewed,2013,,,Indian rupees/ha/yr,0.0,US$2014/ ha/ yr ,0.053924504021064336,Refer table 11.9 /  1 Indian Rupee is equivalent to 0.0157 US $ in year of reference,"Rice, paddy",
"Geethalakshmi, V. et al. 2016",https://www.researchgate.net/publication/311614918_System_of_Rice_Intensification_Climate-smart_Rice_Cultivation_System_to_Mitigate_Climate_Change_Impacts_in_India,Asia (Sans Japan),India,1  - Peer Reviewed,2013,,,Indian rupees/ha/yr,0.0,US$2014/ ha/ yr ,0.053924504021064336,Refer table 11.9 /  1 Indian Rupee is equivalent to 0.0157 US $ in year of reference,"Rice, paddy",
"Geethalakshmi, V. et al. 2016",https://www.researchgate.net/publication/311614918_System_of_Rice_Intensification_Climate-smart_Rice_Cultivation_System_to_Mitigate_Climate_Change_Impacts_in_India,Asia (Sans Japan),India,1  - Peer Reviewed,,,,Indian rupees/ha/yr,0.0,US$2014/ ha/ yr ,0.0539245040210643,Refer table 11.9 /  1 Indian Rupee is equivalent to 0.0157 US $ in year of reference,"Rice, paddy",
"Geethalakshmi, V. et al. 2016",https://www.researchgate.net/publication/311614918_System_of_Rice_Intensification_Climate-smart_Rice_Cultivation_System_to_Mitigate_Climate_Change_Impacts_in_India,Asia (Sans Japan),India,1  - Peer Reviewed,,,,Indian rupees/ha/yr,0.0,US$2014/ ha/ yr ,0.0539245040210643,Refer table 11.9 /  1 Indian Rupee is equivalent to 0.0157 US $ in year of reference,"Rice, paddy",
