"SOURCE ID: Author/Org, Date, Info",Link,World / Drawdown Region,Specific Geographic Location,Source Validation Code,Year / Date,License Code,Raw Data Input,Original Units,Conversion calculation,Common Units,Weight,Assumptions,Closest Matching Standard Crop (by Revenue/ha),Exclude Data?
"Upretey, R. 2006",http://sri.ciifad.cornell.edu/countries/nepal/nepupretyecon05.pdf,Asia (Sans Japan),Nepal,4 - Independently Verified,2006,,23205.0,Nepali rupees/ha,380.0979,US$2014/ ha/ yr ,0.0017312945689949154,"Refer table, 1/ 1 NPR=0.014 USD in 2006 (http://www.x-rates.com/)","Rice, paddy",
Adusumilli et al 2011,http://link.springer.com/article/10.1007/s10333-010-0230-6,Asia (Sans Japan),India,1  - Peer Reviewed,2011,,19289.0,Indian rupees/ha,384.81555,US$2014/ ha/ yr ,0.053924504021064336,Refer table 3 / 1 INR= 0.019 USD in 2011 (http://www.x-rates.com/),"Rice, paddy",
Dill et al 2013,http://infoagro.net/archivos_Infoagro/Regatta/biblioteca/VN-GIZreportonLesson.pdf,Asia (Sans Japan),Vietnam,2 - Public Sector/ Multilateral Agency,2013,,782.0,USD/ha,797.64,US$2014/ ha/ yr ,0.22361337689076227,Refer table 5,"Rice, paddy",
Devi et al 2009,http://ageconsearch.umn.edu/bitstream/57473/2/2-Sitadevi.pdf,Asia (Sans Japan),India,1  - Peer Reviewed,2009,,21655.0,Indian rupees/ha,476.4100000000001,US$2014/ ha/ yr ,0.053924504021064336,Refer tabe 1 / 1 INR= 0.020 USD in 2011 (http://www.x-rates.com/),"Rice, paddy",
Oxfam 2014,http://www.oxfam.org.nz/sites/default/files/reports/20141114_SRI%20in%20Timor-Leste%20report%20FINAL_lowres_0.pdf,Asia (Sans Japan),"East Timor, Indonesia",2 - Public Sector/ Multilateral Agency,2014,,850.0,USD/ha,,US$2014/ ha/ yr ,0.02430254762576777,Refer page 1,"Rice, paddy",
"Geethalakshmi, V. et al. 2016",https://www.researchgate.net/publication/311614918_System_of_Rice_Intensification_Climate-smart_Rice_Cultivation_System_to_Mitigate_Climate_Change_Impacts_in_India,Asia (Sans Japan),India,1  - Peer Reviewed,2013,,36250.0,Indian rupees/ha/yr,580.5074999999999,US$2014/ ha/ yr ,0.053924504021064336,Refer table 11.9 /  1 Indian Rupee is equivalent to 0.0157 US $ in year of reference / land lease cost is not included,"Rice, paddy",
"Geethalakshmi, V. et al. 2016",https://www.researchgate.net/publication/311614918_System_of_Rice_Intensification_Climate-smart_Rice_Cultivation_System_to_Mitigate_Climate_Change_Impacts_in_India,Asia (Sans Japan),India,1  - Peer Reviewed,2013,,37430.0,Indian rupees/ha/yr,599.40402,US$2014/ ha/ yr ,0.053924504021064336,Refer table 11.9 /  1 Indian Rupee is equivalent to 0.0157 US $ in year of reference / land lease cost is not included,"Rice, paddy",
"Geethalakshmi, V. et al. 2016",https://www.researchgate.net/publication/311614918_System_of_Rice_Intensification_Climate-smart_Rice_Cultivation_System_to_Mitigate_Climate_Change_Impacts_in_India,Asia (Sans Japan),India,1  - Peer Reviewed,2013,,34820.0,Indian rupees/ha/yr,546.674,US$2014/ ha/ yr ,0.0539245040210643,Refer table 11.9 /  1 Indian Rupee is equivalent to 0.0157 US $ in year of reference / land lease cost is not included,"Rice, paddy",
"Geethalakshmi, V. et al. 2016",https://www.researchgate.net/publication/311614918_System_of_Rice_Intensification_Climate-smart_Rice_Cultivation_System_to_Mitigate_Climate_Change_Impacts_in_India,Asia (Sans Japan),India,1  - Peer Reviewed,2013,,37310.0,Indian rupees/ha/yr,585.7669999999999,US$2014/ ha/ yr ,0.0539245040210643,Refer table 11.9 /  1 Indian Rupee is equivalent to 0.0157 US $ in year of reference / land lease cost is not included,"Rice, paddy",
"Gathorne-Hardy et al., 2016",http://agri.ckcest.cn/ass/49098144-7dc6-4a94-84e1-0761b6389bc8.pdf,Asia (Sans Japan),India,1  - Peer Reviewed,2016,,38265.0,Indian rupees/ha/yr,600.7605,US$2014/ ha/ yr ,0.0539245040210643,Refer to Table 5,"Rice, paddy",
