"SOURCE ID: Author/Org, Date, Info",Link,World / Drawdown Region,Specific Geographic Location,Source Validation Code,Year / Date,License Code,Raw Data Input,Original Units,Conversion calculation,Common Units,Weight,Assumptions,Exclude Data?
Jain et al 2014,http://link.springer.com/article/10.1007/s10333-013-0390-2,Asia (Sans Japan),India,1  - Peer Reviewed,2014,,,kg CO2-eq/ha,0.0,t CO2-eq / ha,,Refer abstract,
Hardy et al. 2013,https://works.bepress.com/venkatanarayana_motkuri/9/,Asia (Sans Japan),India,1  - Peer Reviewed,2013,,,kg CO2-eq/ha,0.0,t CO2-eq / ha,,Refer table 2a,
FAO 2010,http://www.fao.org/fileadmin/templates/ex_act/pdf/Climate_Mitigation_Potential_of_Rice_Value_Chain_EN_Mar.pdf,Asia (Sans Japan),India,2 - Public Sector/ Multilateral Agency,2010,,,t CO2-eq / ha,,t CO2-eq / ha,,Refer section 4.3,
FAO 2010,http://www.fao.org/fileadmin/templates/ex_act/pdf/Climate_Mitigation_Potential_of_Rice_Value_Chain_EN_Mar.pdf,Asia (Sans Japan),India,2 - Public Sector/ Multilateral Agency,2010,,,t CO2-eq / ha,,t CO2-eq / ha,,Refer section 4.3,
