"SOURCE ID: Author/Org, Date, Info",Link,World / Drawdown Region,Specific Geographic Location,Thermal-Moisture Regime,Source Validation Code,Year / Date,License Code,Raw Data Input,Original Units,Conversion calculation,Common Units,Weight,Assumptions,Exclude Data?
Various Sources (see Space Heating and Cooling Input Variables),,,,,,,,,TWh/million hh/yr,,TWh/Million Households ,,,
