id,"SOURCE ID: Author/Org, Date, Info",Link,World / Drawdown Region,Specific Geographic Location,Thermal-Moisture Regime,Source Validation Code,Year / Date,License Code,Raw Data Input,Original Units,Conversion Calculation,Common Units,Assumptions,Exclude Data?,ReasonForExclusion
1,"Mann, K.H., 1973. Seaweeds: Their Productivity and Strategy for Growth. Science 182: 975-981.",https://www.jstor.org/stable/1737803,World,,,1  - Peer Reviewed,,,0.10,ratio from dry:wet, 0.10 ,ratio from dry:wet,No original measurements of dry-wet conversion here,Y,
2,"Chung, I.K., Oak, J.H., Lee, A.L., Shin, J.A., Kim, J.G., Park, K.-S. 2013. Installing kelp forests/seaweed beds for mitigationand adaptation against global warming: Korean Project Overview. ICES Journal of Marine Science, 70: 1038–1044.",https://www.researchgate.net/publication/273406142_Installing_kelp_forestsseaweed_beds_for_mitigation_and_adaptation_against_global_warming_Korean_Project_Overview,Asia (Sans Japan),South Korea,Shallow,1  - Peer Reviewed,2013,,0.13,ratio from dry:wet, 0.13 ,ratio from dry:wet,This value is associated with Eklonia spp. ,N,
3,"Gevaert, F., Janquin, M.A., Davoult, D. 2008. Biometrics in Laminaria digitata: A useful tool to assess biomass, carbon, and nitrogen contents. ",https://www.sciencedirect.com/science/article/abs/pii/S1385110108000671,ABNJ,,Shallow,1  - Peer Reviewed,2001,,0.11,ratio from dry:wet, 0.11 ,ratio from dry:wet,This value is associated with Laminaria saccarina. ,N,
4,"Roberts, D. A., Paul, N. A., Dworjanyn, S. A., Bird, M. I., and de Nys, R. (2015). Biochar from commercially cultivated seaweed for soil amelioration. Sci. Rep. 5:9665. doi: 10.1038/srep09665 ",,,,,1  - Peer Reviewed,2015,,0.10,ratio from dry:wet, 0.10 ,ratio from dry:wet,No original measurements of dry-wet conversion here,Y,
5,"Chung, K., Beardall, J., Mehta, S., Sahoo, D. & Stojkovic, S. Using marine macroalgae for carbon sequestration: a critical appraisal. J. Appl. Phycol. 23, 877–886 (2011). ",https://www.researchgate.net/profile/John_Beardall/publication/226703429_Using_marine_macroalgae_for_carbon_sequestration_A_critical_appraisal/links/09e41504aafea3dd4d000000/Using-marine-macroalgae-for-carbon-sequestration-A-critical-appraisal.pdf,World,,,1  - Peer Reviewed,2011,,0.10,ratio from dry:wet, 0.10 ,ratio from dry:wet,No original measurements of dry-wet conversion here,Y,
6,"Wickham, S. B., Darimont, C. T., Reynolds, J. D., & Starzomski, B. M. (2019). Species-specific wet-dry mass calibrations for dominant Northeastern Pacific Ocean macroalgae and seagrass. Aquatic Botany, 152, 27–31. https://doi.org/10.1016/j.aquabot.2018.09.006",https://doi.org/10.1016/j.aquabot.2018.09.006 ,World,,,1  - Peer Reviewed,2019,,0.12,ratio from dry:wet, 0.12 ,ratio from dry:wet,Table 1- Macrosystis Pyrifera mixed,N,
7,"Hasselström, L., Thomas, J.-B., Nordström, J., Cervin, G., Nylund, G. M., Pavia, H., & Gröndahl, F. (2020). Socioeconomic prospects of a seaweed bioeconomy in Sweden. Scientific Reports, 10(1), 1610. https://doi.org/10.1038/s41598-020-58389-6",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6994625/#CR20,EU,Sweden,,1  - Peer Reviewed,2020,,0.15,ratio from dry:wet, 0.15 ,ratio from dry:wet,Table 1- Saccharina latissima,N,
