id,"SOURCE ID: Author/Org, Date, Info",Link,World / Drawdown Region,Specific Geographic Location,Thermal-Moisture Regime,Source Validation Code,Year / Date,License Code,Raw Data Input,Original Units,Conversion Calculation,Common Units,Assumptions,Exclude Data?,ReasonForExclusion
1,"Valderrama, D., Cai, J., Hishamunda, N. & Ridler, N., eds. 2013. Social and economic dimensions of carrageenan seaweed farming. Fisheries and Aquaculture Technical Paper No. 580. Rome, FAO. 204 pp.",http://eprints.cmfri.org.in/9876/1/Social_and_Economic_dimensions_of_carrageenan_seaweed_farming_in_India.pdf,Middle East and Africa,"Zamboanga, Philippenes",,2 - Public Sector/ Multilateral Agency,2013,,24360,USD (2009) per ha,,US$2014/ ha,,Y,Corresponds to an earlier version of Valderrama et al (2015) (added as data points 15 to 22) or the calculations don't add up.
2,"Valderrama, D., Cai, J., Hishamunda, N. & Ridler, N., eds. 2013. Social and economic dimensions of carrageenan seaweed farming. Fisheries and Aquaculture Technical Paper No. 580. Rome, FAO. 204 pp.",http://eprints.cmfri.org.in/9876/1/Social_and_Economic_dimensions_of_carrageenan_seaweed_farming_in_India.pdf,Middle East and Africa,"Zamboanga, Philippenes",,2 - Public Sector/ Multilateral Agency,2013,,12352,USD (2009) per ha,,US$2014/ ha,,Y,Corresponds to an earlier version of Valderrama et al (2015) (added as data points 15 to 22) or the calculations don't add up.
3,"Camus, C., Infante, J., & Buschmann, A. H. (2019). Revisiting the economic profitability of giant kelp Macrocystis pyrifera (Ochrophyta) cultivation in Chile. Aquaculture, 502, 80-86.",https://www.sciencedirect.com/science/article/abs/pii/S0044848618317940,OECD90,Chile,,1  - Peer Reviewed,2019,,81920,USD (2018) per 10 ha system,8192,US$2014/ ha,,Y,"Doesn´t account for the 12,500 USD one-time cost of culture system deployment (page 82). "
4,"Valderrama, D., Cai, J., Hishamunda, N., Ridler, N., Neish, I. C., Hurtado, A. Q., ... & Robledo, D. (2015). The economics of Kappaphycus seaweed cultivation in developing countries: a comparative analysis of farming systems. Aquaculture Economics & Management, 19(2), 251-277.",http://eprints.cmfri.org.in/9876/1/Social_and_Economic_dimensions_of_carrageenan_seaweed_farming_in_India.pdf,Latin America,"Yucatan, Mexico",,2 - Public Sector/ Multilateral Agency,2015,,10325.18,USD (2009) per ha,,US$2014/ ha,,Y,Corresponds to an earlier version of Valderrama et al (2015) (added as data points 15 to 22) or the calculations don't add up.
5,"Valderrama, D., Cai, J., Hishamunda, N. & Ridler, N., eds. 2013. Social and economic dimensions of carrageenan seaweed farming. Fisheries and Aquaculture Technical Paper No. 580. Rome, FAO. 204 pp.",http://eprints.cmfri.org.in/9876/1/Social_and_Economic_dimensions_of_carrageenan_seaweed_farming_in_India.pdf,Asia (Sans Japan),Philippines,,2 - Public Sector/ Multilateral Agency,2015,,5750,USD (2009) per ha,,US$2014/ ha,,Y,Corresponds to an earlier version of Valderrama et al (2015) (added as data points 15 to 22) or the calculations don't add up.
6,"Valderrama, D., Cai, J., Hishamunda, N. & Ridler, N., eds. 2013. Social and economic dimensions of carrageenan seaweed farming. Fisheries and Aquaculture Technical Paper No. 580. Rome, FAO. 204 pp.",http://eprints.cmfri.org.in/9876/1/Social_and_Economic_dimensions_of_carrageenan_seaweed_farming_in_India.pdf,Asia (Sans Japan),Philippines,,2 - Public Sector/ Multilateral Agency,2015,,11440,USD (2009) per ha,,US$2014/ ha,,Y,Corresponds to an earlier version of Valderrama et al (2015) (added as data points 15 to 22) or the calculations don't add up.
7,"Valderrama, D., Cai, J., Hishamunda, N. & Ridler, N., eds. 2013. Social and economic dimensions of carrageenan seaweed farming. Fisheries and Aquaculture Technical Paper No. 580. Rome, FAO. 204 pp.",http://eprints.cmfri.org.in/9876/1/Social_and_Economic_dimensions_of_carrageenan_seaweed_farming_in_India.pdf,Asia (Sans Japan),Philippines,,2 - Public Sector/ Multilateral Agency,2015,,9956,USD (2009) per ha,,US$2014/ ha,,Y,Corresponds to an earlier version of Valderrama et al (2015) (added as data points 15 to 22) or the calculations don't add up.
8,"Valderrama, D., Cai, J., Hishamunda, N. & Ridler, N., eds. 2013. Social and economic dimensions of carrageenan seaweed farming. Fisheries and Aquaculture Technical Paper No. 580. Rome, FAO. 204 pp.",http://eprints.cmfri.org.in/9876/1/Social_and_Economic_dimensions_of_carrageenan_seaweed_farming_in_India.pdf,Asia (Sans Japan),Philippines,,2 - Public Sector/ Multilateral Agency,2015,,1290,USD (2009) per ha,,US$2014/ ha,,Y,Corresponds to an earlier version of Valderrama et al (2015) (added as data points 15 to 22) or the calculations don't add up.
9,"Valderrama, D., Cai, J., Hishamunda, N. & Ridler, N., eds. 2013. Social and economic dimensions of carrageenan seaweed farming. Fisheries and Aquaculture Technical Paper No. 580. Rome, FAO. 204 pp.",http://eprints.cmfri.org.in/9876/1/Social_and_Economic_dimensions_of_carrageenan_seaweed_farming_in_India.pdf,India,India,,2 - Public Sector/ Multilateral Agency,2015,,12336,USD (2009) per ha,,US$2014/ ha,,Y,Corresponds to an earlier version of Valderrama et al (2015) (added as data points 15 to 22) or the calculations don't add up.
10,BiM. Business plan for the establishment of a seaweed hatchery and grow-out farm. part 2. Bord iascaigh Mhara; 2013.,"http://www.bim.ie/media/bim/content/publications/Business,Plan,fot,the,Establishment,of,a,Seaweed,Hatchery,and,Grow-out,Farm.pdf",OECD90,Ireland,,2 - Public Sector/ Multilateral Agency,2013,,15774,Euro (2013) per ha,,US$2014/ ha,,Y,Cannot find values in the source.
11,"Correa, T., Gutiérrez, A., Flores, R., Buschmann, A. H., Cornejo, P., & Bucarey, C. (2016). Production and economic assessment of giant kelp M acrocystis pyrifera cultivation for abalone feed in the south of Chile. Aquaculture research, 47(3), 698-707.",https://onlinelibrary.wiley.com/doi/abs/10.1111/are.12529,OECD90,Chile,,1  - Peer Reviewed,2016,,109396,USD (2013) per 10 ha system,10939.6,US$2014/ ha,,Y,Not a first cost value but an operating cost (which has been added as such on variable 3).
12,"Florentinus, A., C. Hamelick, S. de Lint, & S. van Iersel (2008) Worldwide potential of aquatic biomass. Utrecht. Ecofys.",https://edepot.wur.nl/212309,OECD91,North Sea,,2 - Public Sector/ Multilateral Agency,2008,,55200,USD (2007) per ha,,US$2014/ ha,,Y,Cannot find values in the source.
13,"Lenstra, J., H. Reith, & J. van Hal (2011) Economic perspectives of seaweed. Petten, ECN. ECN-L-11–004.",https://publicaties.ecn.nl/PdfFetch.aspx?nr=ECN-L--11-004,OECD92,North Sea,,2 - Public Sector/ Multilateral Agency,2011,,"345,000",USD (2011) per 50 ha system,6900,US$2014/ ha,,Y,"Calculation is incorrect. The value is for 1 hectare, not 50."
14,"van den Burg, S. W., van Duijn, A. P., Bartelings, H., van Krimpen, M. M., & Poelman, M. (2016). The economic feasibility of seaweed production in the North Sea. Aquaculture Economics & Management, 20(3), 235-252.",https://www.tandfonline.com/doi/full/10.1080/13657305.2016.1177859,OECD93,North Sea,,1  - Peer Reviewed,2016,,138000,USD (2016) per ha,0,US$2014/ ha,"Page 240, last paragraph",Y,
15,"Valderrama et al. (2015). Full reference: Diego Valderrama, Junning Cai, Nathanael Hishamunda, Neil Ridler, Iain C. Neish, Anicia Q. Hurtado, Flower E. Msuya, M. Krishnan, R. Narayanakumar, Mechthild Kronen, Daniel Robledo, Eucario Gasca-Leyva & Julia Fraga (2015) The Economics of Kappaphycus Seaweed Cultivation in Developing Countries: A Comparative Analysis of Farming Systems, Aquaculture Economics & Management, 19:2, 251-277, DOI: 10.1080/13657305.2015.",https://www.tandfonline.com/doi/abs/10.1080/13657305.2015.1024348,Asia (Sans Japan),Indonesia,,1  - Peer Reviewed,2013,,3233,USD (2009) / ha,0,US$2014/ ha,"See ""Economics"" sheet for detailed references and calculations",N,
