# The value for CONVENTIONAL First Cost is calculated by taking the weighted
# average of first cost values for conventional electricity generating
# technologies that will be directly replaced by the solution. The weight is
# the percentage share, for the given technology, of total global generatiion
# in 2014. These figures on historical generation were collected from The World
# Bank Data in The Shift Project Data Portal
# (http://www.tsp-data-portal.org/Breakdown-of-Electricity-Generation-by-Energy-Source#tspQvChart).
# NOTE: the IPCC uses the following sources for calculating minimum, median,
# and maximum First Cost for coal and natural gas:
# Coal PC (Pulverized Coal): Black and Veatch (2012), DEA (2012), IEA/NEA (2010),
#   IEA (2013a), IEA-RETD (2013), Schmidt et al. (2012), US EIA (2013).
# Gas Combined Cycle: Black and Veatch (2012), DEA (2012), IEA/NEA (2010),
#   IEA (2011),IEA (2013a), IEA-RETD (2013), Schmidt et al. (2012), US EIA (2013).
# NOTE: Lazard's LCOE Analysis Version 10.0 includes carbon capture and storage
# coal technology in its high estimate for costs, which is why these are not
# included.
#
Source ID, Link, Region, Specific Geographic Location, Source Validation Code, Year, License Code, Raw Data Input, Original Units, Weight
"Schmidt T. S., R. Born, and M. Schneider (2012). Assessing the costs of photovoltaic and wind power in six developing countries.Nature Climate Change 2, 548 – 553.  doi:  10.1038 / nclimate1490. - light fuel oil based generation", http://www.nature.com/nclimate/journal/v2/n7/full/nclimate1490.html?foxtrotcallback=true, World, , 1  - Peer Reviewed, 2012, , 700000, €2012/MW, @energy_mix_oil@
"Schmidt T. S., R. Born, and M. Schneider (2012). Assessing the costs of photovoltaic and wind power in six developing countries. Nature Climate Change 2, 548 – 553.  doi:  10.1038 / nclimate1490. - heavy fuel oil based generation", http://www.nature.com/nclimate/journal/v2/n7/full/nclimate1490.html?foxtrotcallback=true, World, , 1  - Peer Reviewed, 2012, , 750000, €2012/MW, @energy_mix_oil@
"OECD/NEA 2015 -  Combined Cycle natural gas (Minimum)", https://www.oecd-nea.org/ndd/pubs/2015/7057-proj-costs-electricity-2015.pdf, World, , 2 - Public Sector/ Multilateral Agency, 2015, , 627, US$2015/kW, @energy_mix_natural_gas@
"OECD/NEA 2015 - Combined Cycle natural gas (Maximum)", https://www.oecd-nea.org/ndd/pubs/2015/7057-proj-costs-electricity-2015.pdf, World, , 2 - Public Sector/ Multilateral Agency, 2015, , 1289, US$2015/kW, @energy_mix_natural_gas@
"OECD/NEA 2015 - Pulverised Coal fired technology (minimum)", https://www.oecd-nea.org/ndd/pubs/2015/7057-proj-costs-electricity-2015.pdf, World, , 2 - Public Sector/ Multilateral Agency, 2015, , 813, US$2015/kW, @energy_mix_coal@
"OECD/NEA 2015 - Pulverised Coal fired technology (Maximum)", https://www.oecd-nea.org/ndd/pubs/2015/7057-proj-costs-electricity-2015.pdf, World, , 2 - Public Sector/ Multilateral Agency, 2015, , 3067, US$2015/kW, @energy_mix_coal@
"US EIA (2013) Conventional Natural gas Combined Cycle", https://www.eia.gov/outlooks/capitalcost/pdf/updated_capcost.pdf, USA, , 2 - Public Sector/ Multilateral Agency, 2012, , 917, US$2012/kW, @energy_mix_natural_gas@
"US EIA (2013) Coal Dual Unit IGCC", https://www.eia.gov/outlooks/capitalcost/pdf/updated_capcost.pdf, USA, , 2 - Public Sector/ Multilateral Agency, 2012, , 4440, US$2012/kW, @energy_mix_coal@
"EnergyNet.DK - advanced pulverized coal fired powerplant", https://energiatalgud.ee/img_auth.php/4/42/Energinet.dk._Technology_Data_for_Energy_Plants._2012.pdf, EU, Denmark, 2 - Public Sector/ Multilateral Agency, 2012, , 2040, €2011/kW, @energy_mix_coal@
"EnergyNet.DK - gas turbine combined cycle (back pressure)", https://energiatalgud.ee/img_auth.php/4/42/Energinet.dk._Technology_Data_for_Energy_Plants._2012.pdf, EU, Denmark, 2 - Public Sector/ Multilateral Agency, 2012, , 1350, €2011/kW, @energy_mix_natural_gas@
