Year,World
2012,
2013,
2014,15846.690762545904
2015,16047.867614457753
2016,16291.180502440851
2017,16535.679720508568
2018,16780.567427278584
2019,17023.297300090246
2020,17265.42152101507
2021,17506.69484395906
2022,17746.995634120434
2023,17986.490653431556
2024,18225.492045870644
2025,18464.253057513477
2026,18702.808788599796
2027,18941.11926266898
2028,19179.2961664248
2029,19417.468874730326
2030,19655.74873494918
2031,19833.064019700185
2032,20009.751406316824
2033,20185.886919682056
2034,20361.534556229322
2035,20536.74483962107
2036,20711.56338004976
2037,20886.015829093252
2038,21060.099057483658
2039,21233.790984787214
2040,21407.06629843802
2041,21579.927253399077
2042,21752.35813881664
2043,21924.286582975255
2044,22095.615412248786
2045,22266.26133501145
2046,22436.192638557677
2047,22605.38919942738
2048,22773.79275274865
2049,22941.34231198256
2050,23107.994342183392
2051,
2052,
2053,
2054,
2055,
2056,
2057,
2058,
2059,
2060,
