VMA number,Title on xls,Fixed Mean,Fixed High,Fixed Low
1,Current Adoption,490.5239834755743,490.5239834755743,490.5239834755743
3,SOLUTION First Cost per Implementation Unit,18028435.066958193,33656843.171043545,2400026.9628728367
4,CONVENTIONAL Lifetime Capacity,10.500501677840942,11.191723746004946,9.809279609676938
5,SOLUTION Lifetime Capacity,10.500501677840942,11.191723746004946,9.809279609676938
6,CONVENTIONAL Average Annual Use,0.39109939299118024,0.751247373336775,0.03095141264558543
7,SOLUTION Average Annual Use,0.39109939299118024,0.751247373336775,0.03095141264558543
15,CONVENTIONAL Fuel Consumed per Functional Unit,64340127.99612951,71471535.78652185,57208720.20573718
16,SOLUTION Fuel Efficiency Factor,0.14916666666666664,0.16610200119408464,0.13223133213924865
23,Average Seat Capacity - Single Aisle,150.0,150.0,150.0
24,Average Stage Length Flown of Total Operating Fleet in the world (Distances traveled from takeoff to landing),1791.0215714285714,2253.0923006378116,1328.9508422193312
25,Average fleet-wide working hours per day,12.5,12.5,12.5
26,Average time (hrs) between consecutive flights),1.5,1.5,1.5
27,Average Cruise Speed - Single Aisle,822.0,822.0,822.0
28,Solution Load Factor,0.7827333333333334,0.8438872012041031,0.7215794654625637
29,Discount Rate - Commercial,0.09219999999999999,0.1231735370921695,0.06122646290783049
32,Average Seat Capacity - Twin Aisle,325.0,325.0,325.0
33,Average Cruise Speed - Twin Aisle,950.0,950.0,950.0
