VMA number,Title on xls,Fixed Mean,Fixed High,Fixed Low
1,Current Adoption,134986978787.70717,138395733632.55026,131578223942.86407
4,CONVENTIONAL Lifetime Capacity,18.156082559999998,18.156082559999998,18.156082559999998
5,SOLUTION Lifetime Capacity,41.9405507136,41.9405507136,41.9405507136
6,CONVENTIONAL Average Annual Use,18.156082559999998,18.156082559999998,18.156082559999998
7,SOLUTION Average Annual Use,41.9405507136,41.9405507136,41.9405507136
8,CONVENTIONAL Variable Operating Cost (VOM) per Functional Unit,0.026439498120628405,0.038135192130050344,0.014743804111206469
9,SOLUTION Variable Operating Cost (VOM) per Functional Unit,0.010437363715801258,0.015726693834590494,0.005148033597012025
15,CONVENTIONAL Fuel Consumed per Functional Unit,0.08330689018636556,0.09963849223122345,0.06697528814150766
16,SOLUTION Fuel Efficiency Factor,0.5670995670995671,0.5670995670995671,0.5670995670995671
25,Annual Commuting Days,250.0,250.0,250.0
26,Average Carpool Occupancy,2.31,2.31,2.31
27,Average One-way North American Commuting Travel Distance,18.156082559999998,21.95245383971865,14.359711280281346
28,Current Labor Force,178250000.0,178250000.0,178250000.0
29,Commuting by Car Mode Share,0.86,0.86,0.86
30,Car Lifetime,198570.06401066668,247971.61415765597,149168.5138636774
31,Discount Rates - Households,0.04,0.04999999999999999,0.030000000000000013
