"SOURCE ID: Author/Org, Date, Info",Link,World / Drawdown Region,Specific Geographic Location,Source Validation Code,Year / Date,License Code,Raw Data Input,Original Units,Conversion calculation,Common Units,Weight,Assumptions,Exclude Data?
(Same as Average Trip Length * Average Vehicle Occupancy),,World,,5 - Not Verified,,,,"one-way commuter trip distance, km",,passenger-km/trip,,,
