"SOURCE ID: Author/Org, Date, Info",Link,World / Drawdown Region,Specific Geographic Location,Source Validation Code,Year / Date,License Code,Raw Data Input,Original Units,Conversion calculation,Common Units,Weight,Assumptions,Closest Matching Standard Crop (by Revenue/ha),Exclude Data?
A Ngwira et al 2013,https://www.cambridge.org/core/services/aop-cambridge-core/content/view/S1742170512000257,Middle East and Africa,Malawi ,1  - Peer Reviewed,2011,,445.9,US$2011/ha,468.195,US$2014/ ha/ yr ,0.0006738847846652728,"Same weight as used in conventional operational cost. Table 2, total variable cost CA maize (Lemu)",Maize,
B Ngwira et al 2013,https://www.cambridge.org/core/services/aop-cambridge-core/content/view/S1742170512000257,Middle East and Africa,Malawi  ,1  - Peer Reviewed,2011,,482.8,US$2011/ha,506.94000000000005,US$2014/ ha/ yr ,0.0006738847846652728,"Same weight as used in conventional operational cost. Table 2, total variable cost CA maize with legume as intercrop (Lemu)",Maize,
C Ngwira et al 2013,https://www.cambridge.org/core/services/aop-cambridge-core/content/view/S1742170512000257,Middle East and Africa,Malawi ,1  - Peer Reviewed,2011,,426.1,US$2011/ha,447.40500000000003,US$2014/ ha/ yr ,0.0006738847846652728,"Same weight as used in conventional operational cost. Table 2, total variable cost CA maize (Zidyana)",Maize,
D Ngwira et al 2013,https://www.cambridge.org/core/services/aop-cambridge-core/content/view/S1742170512000257,Middle East and Africa,Malawi  ,1  - Peer Reviewed,2011,,472.1,US$2011/ha,495.70500000000004,US$2014/ ha/ yr ,0.0006738847846652728,"Same weight as used in conventional operational cost. Table 2, total variable cost CA maize with legume as intercrop (Zidyana)",Maize,
E SCHMITZ et al 2015,http://www.agribusiness.de/images/stories/Forschung/Agribusiness_Forschung_33_Conservation_Tillage.pdf,OECD90,Germany,1  - Peer Reviewed,2014,,499.0,Euro2014/ha,663.6700000000001,US$2014/ ha/ yr ,3.087280764564752e-06,"Same weight as used in conventional operational cost. Table 5.3: Working Cost Region North-East (intensive cultivation, conservation);  Rape ",Soybeans,
F SCHMITZ et al 2015,http://www.agribusiness.de/images/stories/Forschung/Agribusiness_Forschung_33_Conservation_Tillage.pdf),OECD90,Germany,1  - Peer Reviewed,2014,,478.0,Euro2014/ha,635.74,US$2014/ ha/ yr ,0.0013615741247492423,"Same weight as used in conventional operational cost. Table 5.3: Working Cost Region North-East (intensive cultivation, conservation);  Wheat ",Wheat,
G SCHMITZ et al 2015,http://www.agribusiness.de/images/stories/Forschung/Agribusiness_Forschung_33_Conservation_Tillage.pdf),OECD90,Germany,1  - Peer Reviewed,2014,,482.0,Euro2014/ha,641.0600000000001,US$2014/ ha/ yr ,0.0013615741247492423,"Same weight as used in conventional operational cost. Table 5.3: Working Cost Region North-East (intensive cultivation, conservation);  Barley",Wheat,
H SCHMITZ et al 2015,http://www.agribusiness.de/images/stories/Forschung/Agribusiness_Forschung_33_Conservation_Tillage.pdf),OECD90,Germany,1  - Peer Reviewed,2014,,514.0,Euro2014/ha,683.62,US$2014/ ha/ yr ,3.087280764564752e-06,Same weight as used in conventional operational cost. Table 5.7: Working Cost Region “Low Mountain range” (conservation);  Rape ,Soybeans,
I SCHMITZ et al 2015,http://www.agribusiness.de/images/stories/Forschung/Agribusiness_Forschung_33_Conservation_Tillage.pdf),OECD90,Germany,1  - Peer Reviewed,2014,,522.0,Euro2014/ha,694.26,US$2014/ ha/ yr ,0.0013615741247492423,Same weight as used in conventional operational cost. Table 5.7: Working Cost Region “Low Mountain range” (conservation);   Wheat ,Wheat,
J SCHMITZ et al 2015,http://www.agribusiness.de/images/stories/Forschung/Agribusiness_Forschung_33_Conservation_Tillage.pdf),OECD90,Germany,1  - Peer Reviewed,2014,,522.0,Euro2014/ha,694.26,US$2014/ ha/ yr ,0.0013615741247492423,Same weight as used in conventional operational cost. Table 5.7: Working Cost Region “Low Mountain range” (conservation);  Wheat,Wheat,
K SCHMITZ et al 2015,http://www.agribusiness.de/images/stories/Forschung/Agribusiness_Forschung_33_Conservation_Tillage.pdf),OECD90,Germany,1  - Peer Reviewed,2014,,500.0,Euro2014/ha,665.0,US$2014/ ha/ yr ,0.0013615741247492423,Same weight as used in conventional operational cost. Table 5.7: Working Cost Region “Low Mountain range” (conservation);  Barley,Wheat,
L SCHMITZ et al 2015,http://www.agribusiness.de/images/stories/Forschung/Agribusiness_Forschung_33_Conservation_Tillage.pdf),OECD90,Germany,1  - Peer Reviewed,2014,,561.0,Euro2014/ha,746.13,US$2014/ ha/ yr ,7.922099654351579e-05,Same weight as used in conventional operational cost. Table 5.9: Working Cost Region “Low Mountain range” (conservation); Sugar Beet,"Beans, dry",
M SCHMITZ et al 2015,http://www.agribusiness.de/images/stories/Forschung/Agribusiness_Forschung_33_Conservation_Tillage.pdf),OECD90,Germany,1  - Peer Reviewed,2014,,507.0,Euro2014/ha,674.3100000000001,US$2014/ ha/ yr ,0.0013615741247492423,Same weight as used in conventional operational cost. Table 5.9: Working Cost Region “Low Mountain range” (conservation); Wheat,Wheat,
N SCHMITZ et al 2015,http://www.agribusiness.de/images/stories/Forschung/Agribusiness_Forschung_33_Conservation_Tillage.pdf),OECD90,Germany,1  - Peer Reviewed,2014,,500.0,Euro2014/ha,665.0,US$2014/ ha/ yr ,0.0013615741247492423,Same weight as used in conventional operational cost. Table 5.9: Working Cost Region “Low Mountain range” (conservation); Barley,Wheat,
