year," Based on ETP 2016, URBAN 6 DS + Non-motorized Travel Adjustment"," Based on ICCT, 2012, ""Global Transportation Roadmap Model"" + Non-motorized Travel Adjustment", [Source 3 - Base]," Based on ETP 2016, URBAN 4 DS + Non-motorized Travel Adjustment", Based on ITDP/UC Davis (2014)  'A Global High Shift Scenario' Updated Report Data - Baseline Scenario, [Source 3 - Conservative]," Based on ETP 2016, URBAN 2 DS + Non-motorized Travel Adjustment", Based on ITDP/UC Davis (2014)  'A Global High Shift Scenario' Updated Report Data - HighShift Scenario
2012,27148.91755848,25197.39614941,,27086.26188584,25062.11621633,,27000.80579773,24276.53814910
2013,27984.50333321,26470.67601573,,27984.50333321,25572.20218092,,28016.62434743,24828.09232587
2014,28758.65096469,27802.94240239,,28709.25470484,26093.51108868,,28916.12958124,25384.85072326
2015,29599.30179685,29022.10682320,,29548.86609481,26503.57370847,,29492.51004635,25760.69792145
2016,30386.21339473,30303.84803001,,30329.70360692,27168.40822981,,30738.20671344,26513.07548513
2017,31205.26919462,31544.45860460,,31137.70926910,27721.30171124,,31616.51005550,27084.08950222
2018,32027.08869159,32782.53442245,,31943.56116803,28284.02863197,,32474.18045899,27659.40304514
2019,32851.10736602,34020.87759456,,32746.75337571,28856.24161602,,33312.11083198,28238.78994021
2020,33603.52785252,35435.09018193,,33331.31294771,29312.01339960,,33527.13541606,28771.43631317
2021,34503.48416877,36510.15836017,,34343.13500529,30027.73627021,,34932.32311883,29408.87909195
2022,35330.71325783,37767.56009627,,35135.31257117,30626.32318842,,35716.39084885,29999.12900123
2023,36157.88344586,39037.92564882,,35922.80673379,31233.00666608,,36484.29018072,30592.54756786
2024,36984.43021322,40324.69741659,,36705.11156512,31847.43932721,,37236.91402252,31188.90861814
2025,37795.46637103,41504.71068136,,37456.93693651,32525.75685041,,38035.74662405,31866.22252860
2026,38633.39540746,42961.05460184,,38252.12952192,33098.16269606,,38699.90686824,32389.55347483
2027,39454.68479509,44317.23620357,,39015.83079138,33733.75865183,,39412.06168833,32993.38493386
2028,40273.09268356,45703.22025863,,39772.31901754,34375.71428721,,40112.51265069,33599.25418173
2029,41088.05455325,47122.40241273,,40521.08827239,35023.68222624,,40802.15266340,34206.93504477
2030,41912.34963933,48615.29590783,,41437.22661753,35867.44251276,,41686.78086963,34948.05940960
2031,42705.38215777,50073.95399916,,41993.44615615,36336.26551133,,42152.57147222,35426.82692150
2032,43506.61885336,51613.10854785,,42716.02292905,37000.18610547,,42815.13608449,36038.58558781
2033,44302.15145167,53199.10211664,,43428.85701862,37668.72949937,,43470.46137945,36651.25117448
2034,45091.41543307,54835.41555632,,44131.44249686,38341.54831708,,44119.44026519,37264.59750782
2035,45992.07141851,56426.25472843,,44963.54131174,39074.19847335,,45033.77330507,37900.32523663
2036,46648.87946667,58272.86215371,,45503.84390730,39698.62272001,,45401.93044131,38492.42771968
2037,47415.95047961,60080.85648847,,46172.64798351,40382.18355331,,46037.22754787,39106.45925082
2038,48174.49479715,61953.00440484,,46829.17973635,41068.63030653,,46669.74987755,39720.26683383
2039,48923.94789967,63892.82296547,,47472.93323784,41757.61560371,,47300.39033841,40333.62429500
2040,49573.04047964,65896.46533297,,47945.49877937,42321.43482215,,48044.74748785,40876.42427590
2041,50393.32238112,67989.42996371,,48720.08177470,43141.81232608,,48559.59728607,41558.08415709
2042,51112.11472081,70153.10225454,,49322.46495407,43836.32899933,,49189.94958903,42168.73421060
2043,51819.55776698,72398.17172967,,49910.04617006,44531.99471267,,49821.99165552,42778.02944748
2044,52515.08700000,74727.93223649,,50482.31949465,45228.46209012,,50456.61639363,43385.74369405
2045,53176.13240606,77297.07375693,,50946.22463541,45805.70728490,,51071.76562929,43868.03246083
2046,53868.14594809,79654.78866472,,51578.91875766,46622.41233352,,51737.18551704,44595.52452144
2047,54524.54662392,82258.62142418,,52102.23284007,47319.20044752,,52384.91571851,45197.13875486
2048,55166.77540811,84960.51278178,,52608.21531906,48015.40072177,,53038.80022393,45796.26730317
2049,55794.26778103,87763.77667664,,53096.36026664,48710.66578030,,53699.73194140,46392.68399267
2050,56430.76499842,90596.98483739,,53643.16807209,49500.35888593,,54199.02110715,47073.65064485
2051,57002.78521456,93687.68591832,,54017.11385552,50097.00074631,,55046.30864478,47576.47710045
2052,57582.68123592,96814.99175285,,54448.71064082,50787.37590187,,55733.73944686,48163.40117133
2053,58145.58276752,100056.67637444,,54860.44618269,51475.42633782,,56431.78909332,48746.70868861
2054,58690.92528973,103415.66387062,,55251.81455311,52160.80467822,,57141.35049225,49326.17347859
2055,59218.14428293,106894.95779137,,55622.30982408,52843.16354708,,57863.31655172,49901.56936757
2056,59726.67522748,110497.75431342,,55971.42606760,53522.15556844,,58598.58017982,50472.67018185
2057,60215.95360377,114227.43273207,,56298.65735566,54197.43336634,,59348.03428463,51039.24974773
2058,60685.41489218,118087.40597690,,56603.49776026,54868.64956480,,60112.57177424,51601.08189152
2059,61134.49457307,122081.19577592,,56885.44135339,55535.45678786,,60893.08555674,52157.94043952
2060,61562.62812683,126212.34659892,,57143.98220705,56197.50765955,,61690.46854020,52709.59921803
