year, Based on IEA (2016) ETP 6DS/4DS Projection of BUSINESS Air Travel + Telepresence Adjustment, Based on Airbus (2015) Global Market Forecast BUSINESS  Air Travel 2016-2035 with projections extended + Telepresence Adjustment, Based on Boeing (2017) Current Market Outlook BUSINESS  Air Travel 2017-2036 + Telepresence Adjustment, [Source 1 - Conservative], [Source 2 - Conservative], [Source 3 - Conservative], Based on IEA (2016) ETP 2DS Projection of BUSINESS Air Travel + Telepresence Adjustment,
2012,2102.26203354,1974.59462968,1981.32503940,,,,2118.92906626,
2013,2195.51580855,2103.76476155,2079.24956222,,,,2211.59063878,
2014,2292.68880770,2200.64236044,2191.66212995,,,,2302.60358433,
2015,2437.55231117,2329.81249231,2341.11681640,,,,2437.55231117,
2016,2498.62686511,2299.08402078,2499.13838891,,,,2479.93530959,
2017,2607.30911671,2403.64426783,2607.26814331,,,,2566.37994683,
2018,2719.74497913,2515.72087038,2720.47999617,,,,2651.42767218,
2019,2835.89304903,2635.31382844,2839.01280611,,,,2735.14141440,
2020,2943.04332139,2762.42314200,2963.11665812,,,,2807.33860385,
2021,3079.16019797,2897.04881107,3093.05339117,,,,2898.81866455,
2022,3206.19647035,3039.19083565,3229.09715068,,,,2978.90803001,
2023,3336.77933688,3188.84921573,3371.53496688,,,,3057.91512742,
2024,3470.86739425,3346.02395132,3520.66736045,,,,3135.90288555,
2025,3594.63679507,3510.71504241,3676.80897651,,,,3190.11274785,
2026,3749.39346814,3682.92248901,3840.28924852,,,,3289.07209904,
2027,3893.74867801,3862.64629111,4011.45309333,,,,3364.37941194,
2028,4041.44346537,4049.88644872,4190.66163883,,,,3438.91910065,
2029,4192.43642691,4244.64296183,4378.29298598,,,,3512.75409391,
2030,4339.22589637,4461.11966804,4574.74300644,,,,3583.61842317,
2031,4504.15125917,4656.70505457,4780.42617787,,,,3658.56170922,
2032,4664.79032324,4874.01063420,4995.77645835,,,,3730.66018880,
2033,4828.56194814,5098.83256934,5221.24820201,,,,3802.30568802,
2034,4995.42473056,5331.17085998,5457.31711763,,,,3873.56113565,
2035,5166.81127840,5365.31059108,5704.48127228,,,,3948.46962939,
2036,5338.25815462,5818.39650778,5963.26214220,,,,4015.15359124,
2037,5514.14598959,6073.28386493,6195.48183146,,,,4085.61645672,
2038,5692.95936875,6335.68757760,6461.03296392,,,,4155.94098570,
2039,5874.65688877,6605.60764576,6736.37698762,,,,4226.19010693,
2040,6064.26400635,6883.04406944,7021.75918641,,,,4301.80165670,
2041,6246.53873804,7167.99684862,7317.42484409,,,,4366.71384125,
2042,6436.64026063,7460.46598330,7623.61924451,,,,4437.11431187,
2043,6629.46031075,7760.45147349,7940.58767150,,,,4507.69108983,
2044,6824.95748507,8067.95331919,8268.57540888,,,,4578.50710389,
2045,7035.73649658,8382.97152039,8607.82774048,,,,4658.15083110,
2046,7223.81759298,8705.50607709,8958.58995013,,,,4721.10855541,
2047,7427.09771991,9035.55698931,9321.10732166,,,,4793.01985040,
2048,7632.88935770,9373.12425702,9695.62513890,,,,4865.42209658,
2049,7841.15110304,9718.20788025,10082.38868568,,,,4938.37822270,
2050,8042.64391172,10146.05719574,10481.64324583,,,,5004.56621194,
2051,8264.91930300,10430.92419321,10893.63410318,,,,5086.20382988,
2052,8480.34295097,10798.55688295,11318.60654155,,,,5161.19916847,
2053,8698.07109315,11173.70592819,11756.80584479,,,,5237.00010210,
2054,8918.06232621,11556.37132894,12208.47729670,,,,5313.66955951,
2055,9140.27524683,11946.55308520,12673.86618113,,,,5391.27046950,
2056,9364.66845166,12344.25119696,13153.21778191,,,,5469.86576081,
2057,9591.20053738,12749.46566422,13646.77738286,,,,5549.51836224,
2058,9819.83010065,13162.19648699,14154.79026782,,,,5630.29120254,
2059,10050.51573815,13582.44366527,14677.50172060,,,,5712.24721048,
2060,10283.21604655,14010.20719905,15215.15702505,,,,5795.44931483,
