year," Based on IEA (2016), ""Energy Technology Perspectives - 6DS"", IEA/OECD + Telepresence Adjustment"," Based on ICCT (2012) ""Global Transport Roadmap Model"", http://www.theicct.org/global-transportation-roadmap-model + Telepresence Adjustment", [Source 3 - Base]," Based on IEA (2016), ""Energy Technology Perspectives - 4DS"", IEA/OECD + Telepresence Adjustment", [Source 2 - Conservative], [Source 3 - Conservative]," Based on IEA (2016), ""Energy Technology Perspectives - 2DS"", IEA/OECD + Telepresence Adjustment",
2012,24232.57669897,23654.71177256,,23930.22758274,,,23745.17057305,
2013,25024.62199074,24437.65162255,,24848.05924321,,,24802.90623635,
2014,25958.91323937,25306.72635233,,25786.24671925,,,25743.03510142,
2015,26844.68668264,25890.47753863,,26720.94724505,,,26711.21358122,
2016,27744.56861911,26951.34750429,,27659.58031748,,,27659.62609828,
2017,28657.83783215,27796.27307738,,28601.74986772,,,28588.82507275,
2018,29583.77310510,28657.73919423,,29547.05982698,,,29499.36292477,
2019,30521.65322133,29536.65313613,,30495.11412645,,,30391.79207449,
2020,31633.02989367,30851.83408137,,31466.61985309,,,31124.72898076,
2021,32430.36311710,31351.06185999,,32397.87147077,,,32124.53394757,
2022,33399.75046335,32289.21275123,,33351.78237801,,,32965.95151122,
2023,34378.19778633,33249.89490248,,34306.85335024,,,33791.47005314,
2024,35364.98386940,34234.61914922,,35262.68831864,,,34601.64199346,
2025,36384.74398315,35424.03574578,,36217.54539220,,,35425.28472519,
2026,37360.68744925,36282.05044250,,37175.06596874,,,36178.15574991,
2027,38368.16251276,37347.49292574,,38130.81651283,,,36945.60240633,
2028,39381.09146980,38442.63605858,,39085.74677787,,,37699.91214172,
2029,40398.75310374,39568.92923737,,40039.46069505,,,38441.63737623,
2030,41224.37994276,40916.98571195,,40967.02082416,,,39284.29390727,
2031,42445.38953576,41920.75698509,,41941.65521062,,,39889.54402321,
2032,43472.92190055,43149.16942911,,42889.34367139,,,40596.83027596,
2033,44502.30207570,44414.55091769,,43834.23150908,,,41293.74170840,
2034,45532.80884454,45718.41115338,,44775.92265489,,,41980.83074068,
2035,46549.00703708,46772.04198227,,45736.71230308,,,42701.22825127,
2036,47594.31729679,48447.53150000,,46648.13059562,,,43327.75128534,
2037,48623.87654692,49875.70326420,,47577.85525292,,,43988.68763799,
2038,49651.67752419,51348.27553263,,48502.79894312,,,44642.01127106,
2039,50676.99901198,52866.77050227,,49422.56559739,,,45288.27460469,
2040,51731.94953028,54259.92858351,,50297.91706654,,,45823.54992802,
2041,52717.31865254,56047.49794215,,51244.98352297,,,46561.83005417,
2042,53730.87437203,57712.62147241,,52146.84265665,,,47190.22701032,
2043,54739.06573547,59429.41537164,,53041.94047919,,,47813.77334759,
2044,55741.17152624,61199.18903160,,53929.88092178,,,48433.02148614,
2045,56867.48953471,63073.28560811,,54855.98913513,,,49030.26294527,
2046,57724.24152317,64902.97934407,,55682.70539188,,,49660.83284760,
2047,58703.76329606,66839.73370595,,56546.79728179,,,50270.50091081,
2048,59674.31462972,68834.85235712,,57402.14751652,,,50878.08045587,
2049,60635.17430750,70889.65376978,,58248.36002726,,,51484.12390290,
2050,61508.25067615,73077.55649506,,59068.06794654,,,52121.68585913,
2051,62524.93382888,75183.58237685,,59911.78760159,,,52693.81218351,
2052,63452.39123921,77425.37119532,,60728.21052756,,,53298.56185736,
2053,64367.27212711,79731.90578881,,61533.91145432,,,53903.98511377,
2054,65268.85527594,82104.18612797,,62328.49431307,,,54510.63437288,
2055,66156.41946906,84543.28442950,,63111.56303501,,,55119.06205483,
2056,67029.24348984,87050.43595515,,63882.72155132,,,55729.82057977,
2057,67886.60612164,89627.02739279,,64641.57379319,,,56343.46236784,
2058,68727.78614782,92274.47256630,,65387.72369183,,,56960.53983918,
2059,69552.06235174,94994.27194663,,66120.77517843,,,57581.60541394,
2060,70358.71351675,97787.94170430,,66840.33218418,,,58207.21151225,
