"IRIN (Adoption of SRI in China)","IRIN (Adoption of SRI in India)","IRIN (Adoption of SRI in Indonesia)"
0.90000000000000, 1.76053700000000, 0.45000000000000
1.13000000000000, 3.40842960000000, 0.80000000000000
1.36571793425505, 5.16758862984991, 1.15131637072949
1.64938949144883, 6.85404773109954, 1.50200902418137
1.96224203839197, 8.54352348336355, 1.85302544627087
2.30429095376639, 10.23665744621850, 2.20443104278592
2.67550249422043, 11.93362140249320, 2.55622743626951
3.07577733029596, 13.63377136828470, 2.90833126607914
3.50499612051377, 15.33627371643560, 3.26063926847432
3.96307739237288, 17.04074338818190, 3.61308980280737
4.44998695885444, 18.74738944220950, 3.96568532029108
4.96567867453691, 20.45642668355000, 4.31844152847246
5.51013271866653, 22.16840369293960, 4.67141945196107
6.08333682514444, 23.88384302388120, 5.02468190825542
6.68525736425191, 25.60294931190790, 5.37825017417648
7.31585616692981, 27.32562973824700, 5.73212028652847
7.97513420590966, 29.05182950786080, 6.08631680227905
8.66311621148335, 30.78135948177400, 6.44086536302333
9.37984221270531, 32.51402747310640, 6.79579281634858
10.12533479768270, 34.24984560842390, 7.15113008528829
10.89964095078980, 35.98882171536820, 7.50690745329757
11.70288352620300, 37.73068848513130, 7.86315029086306
12.53523954207810, 39.47506952267280, 8.21988141943095
13.39689263929330, 41.22166567445810, 8.57712602168661
14.28799927071840, 42.97022493323400, 8.93490346653128
15.20868087752970, 44.72077751707230, 9.29324504816425
16.15905759308340, 46.47368070090300, 9.65220394573149
17.13922494256640, 48.22954810152590, 10.01184612974670
18.14927738425060, 49.98889138572220, 10.37222622514400
19.18930189123980, 51.75195388160070, 10.73337605854510
20.25940801461940, 53.51867848270490, 11.09530107983410
21.35972962949410, 55.28893992922600, 11.45799465582360
22.49041378356940, 57.06245368777220, 11.82143145720930
23.65155734513990, 58.83900058901410, 12.18558191092060
24.84321673789380, 60.61846868633170, 12.55043118921990
26.06530813476740, 62.40096630565930, 12.91595764856870
27.31756618590270, 64.18674157558430, 13.28210612228900
28.59955625107330, 65.97617622239380, 13.64880410100160
29.91080121818580, 67.76953114839770, 14.01597661454110
31.25106898859050, 69.56691439654210, 14.38358573852500
32.62002282264240, 71.36812559634750, 14.75157509368560
34.01682733150410, 73.17272136786820, 15.11982000264560
35.44038250859500, 74.98003688229900, 15.48816570134790
36.88967722510630, 76.78949145468010, 15.85648239674850
38.36391773875340, 78.60084886160980, 16.22468668353190
39.86269763704990, 80.41400753609290, 16.59275156671150
41.38587451225540, 82.22864733778450, 16.96067628488130
42.93363717003720, 84.04444043175720, 17.32849711030770
44.50617053788170, 85.86111863401550, 17.69624938139100
