"SOURCE ID: Author/Org, Date, Info",Link,World / Drawdown Region,Specific Geographic Location,Source Validation Code,Year / Date,License Code,Raw Data Input,Original Units,Conversion calculation,Common Units,Weight,Assumptions,Closest Matching Standard Crop (by Revenue/ha),Exclude Data?
Ngwira et al 2013,http://journals.cambridge.org/article_S1742170512000257,Middle East and Africa,Malawi ,1  - Peer Reviewed,2011,,435.5,US$2011/ha,457.27500000000003,US$2014/ ha/ yr ,0.0013477695693305456,"Table 2, net returns CA maize (Lemu)",Maize,
Ngwira et al 2013,http://journals.cambridge.org/article_S1742170512000257,Middle East and Africa,Malawi  ,1  - Peer Reviewed,2011,,497.1,US$2011/ha,521.955,US$2014/ ha/ yr ,0.0013477695693305456,"Table 2, net returns CA maize with legume as intercrop (Lemu)",Maize,
Ngwira et al 2013,http://journals.cambridge.org/article_S1742170512000257,Middle East and Africa,Malawi ,1  - Peer Reviewed,2011,,883.3,US$2011/ha,927.465,US$2014/ ha/ yr ,0.0013477695693305456,"Table 2, net returns CA maize (Zidyana)",Maize,
Ngwira et al 2013,http://journals.cambridge.org/article_S1742170512000257,Middle East and Africa,Malawi  ,1  - Peer Reviewed,2011,,821.9,US$2011/ha,862.995,US$2014/ ha/ yr ,0.0013477695693305456,"Table 2, net returns CA maize with legume as intercrop (Zidyana)",Maize,
Kundu et al 2013,https://www.researchgate.net/profile/Srinivasrao_Ch/publication/258931512_Conservation_agriculture_in_maize_(Zea_mays_L.)-horsegram_(Macrotyloma_uniflorum_L.)_system_in_rainfed_Alfisols_for_carbon_sequestration_and_climate_change_mitigation/links/02e7e534a6f49111d9000000.pdf,Asia (Sans Japan),India,1  - Peer Reviewed,2010,,26571.0,INR2010/ha,637.17258,US$2014/ ha/ yr ,0.00134776956933055,"On page 1, (1 INR = 0.22 USD in 2010)",Maize,
"Indicative estimates from Wangu, Kenya investment crops officer","Indicative estimates from Wangu, Kenya investment crops officer",Middle East and Africa,Kenya,5 - Not Verified,2007,,480.0,US$2007/ha,547.1999999999999,US$2014/ ha/ yr ,,Excluded as the source of the values are not verified,Other,1.0
"Indicative estimates from Wangu, Kenya investment crops officer","Indicative estimates from Wangu, Kenya investment crops officer",Middle East and Africa,Kenya,5 - Not Verified,2007,,612.0,US$2007/ha,697.68,US$2014/ ha/ yr ,,Excluded as the source of the values are not verified,Other,1.0
 SCHMITZ et al 2015,http://www.agribusiness.de/images/stories/Forschung/Agribusiness_Forschung_33_Conservation_Tillage.pdf,OECD90,Germany,1  - Peer Reviewed,2014,,607.0,Euro2014/ha,807.3100000000001,US$2014/ ha/ yr ,3.087280764564752e-06,"Table 5.3: Profit Margin Region North-East (intensive cultivation, conservation);  Rape ",Soybeans,
 SCHMITZ et al 2015,http://www.agribusiness.de/images/stories/Forschung/Agribusiness_Forschung_33_Conservation_Tillage.pdf),OECD90,Germany,1  - Peer Reviewed,2014,,371.0,Euro2014/ha,493.43,US$2014/ ha/ yr ,0.0019062037746489392,"Table 5.3: Profit Margin Region North-East (intensive cultivation, conservation);  Wheat ",Wheat,
 SCHMITZ et al 2015,http://www.agribusiness.de/images/stories/Forschung/Agribusiness_Forschung_33_Conservation_Tillage.pdf),OECD90,Germany,1  - Peer Reviewed,2014,,282.0,Euro2014/ha,375.06,US$2014/ ha/ yr ,0.0019062037746489392,"Table 5.3: Profit Margin Region North-East (intensive cultivation, conservation);  Barley",Wheat,
 SCHMITZ et al 2015,http://www.agribusiness.de/images/stories/Forschung/Agribusiness_Forschung_33_Conservation_Tillage.pdf),OECD90,Germany,1  - Peer Reviewed,2014,,399.0,Euro2014/ha,530.6700000000001,US$2014/ ha/ yr ,3.087280764564752e-06,Table 5.7: Profit Margin Region “Low Mountain range” (conservation);  Rape ,Soybeans,
 SCHMITZ et al 2015,http://www.agribusiness.de/images/stories/Forschung/Agribusiness_Forschung_33_Conservation_Tillage.pdf),OECD90,Germany,1  - Peer Reviewed,2014,,301.0,Euro2014/ha,400.33000000000004,US$2014/ ha/ yr ,0.0019062037746489392,Table 5.7: Profit Margin Region “Low Mountain range” (conservation);   Wheat ,Wheat,
 SCHMITZ et al 2015,http://www.agribusiness.de/images/stories/Forschung/Agribusiness_Forschung_33_Conservation_Tillage.pdf),OECD90,Germany,1  - Peer Reviewed,2014,,238.0,Euro2014/ha,316.54,US$2014/ ha/ yr ,0.0019062037746489392,Table 5.7: Profit Margin Region “Low Mountain range” (conservation);  Wheat,Wheat,
