Year,"Project Drawdown Updated AEZ Model - Jan 2020, all new adoption are allocated on grassland AEZs"
2012,717.9727216437761
2013,717.9727216437761
2014,717.9727216437761
2015,717.9727216437761
2016,717.9727216437761
2017,717.9727216437761
2018,717.9727216437761
2019,717.9727216437761
2020,717.9727216437761
2021,717.9727216437761
2022,717.9727216437761
2023,717.9727216437761
2024,717.9727216437761
2025,717.9727216437761
2026,717.9727216437761
2027,717.9727216437761
2028,717.9727216437761
2029,717.9727216437761
2030,717.9727216437761
2031,717.9727216437761
2032,717.9727216437761
2033,717.9727216437761
2034,717.9727216437761
2035,717.9727216437761
2036,717.9727216437761
2037,717.9727216437761
2038,717.9727216437761
2039,717.9727216437761
2040,717.9727216437761
2041,717.9727216437761
2042,717.9727216437761
2043,717.9727216437761
2044,717.9727216437761
2045,717.9727216437761
2046,717.9727216437761
2047,717.9727216437761
2048,717.9727216437761
2049,717.9727216437761
2050,717.9727216437761
2051,717.9727216437761
2052,717.9727216437761
2053,717.9727216437761
2054,717.9727216437761
2055,717.9727216437761
2056,717.9727216437761
2057,717.9727216437761
2058,717.9727216437761
2059,717.9727216437761
2060,717.9727216437761
