,Total Area (km2),"AEZ1: Forest, prime, minimal","AEZ2: Forest, good, minimal","AEZ3:  Forest, good, moderate","AEZ4: Forest, good, steep","AEZ5: Forest, marginal, minimal","AEZ6: Forest, marginal, moderate","AEZ7: Forest, marginal, steep","AEZ8: Grassland, prime, minimal","AEZ9: Grassland, good, minimal","AEZ10: Grassland, good, moderate","AEZ11: Grassland, good, steep","AEZ12: Grassland, marginal, minimal","AEZ13: Grassland, marginal, moderate","AEZ14: Grassland, marginal, steep","AEZ15: Irrigated Cropland, prime, minimal","AEZ16: Irrigated Cropland, good, minimal","AEZ17: Irrigated Cropland, good, moderate","AEZ18: Irrigated Cropland, good, steep","AEZ19: Irrigated Cropland, marginal, minimal","AEZ20: Irrigated Cropland, marginal, moderate","AEZ21: Irrigated Cropland, marginal, steep","AEZ22: Rainfed Cropland, prime, minimal","AEZ23: Rainfed Cropland, good, minimal","AEZ24: Rainfed Cropland, good, moderate","AEZ25: Rainfed Cropland, good, steep","AEZ26: Rainfed Cropland, marginal, minimal","AEZ27: Rainfed Cropland, marginal, moderate","AEZ28: Rainfed Cropland, marginal, steep",AEZ29: All Barren Land
OECD90,1414145.5800000003,78632.21,56737.1,148993.61,98238.62,241833.73,79255.97,30518.92,108794.23,28238.12,55861.93,31935.55,204456.05,48008.01,21474.96,2002.98,3862.3,4035.76,1043.07,1424.55,1965.24,790.51,4878.37,7293.82,12690.58,5981.26,3995.88,9788.72,5747.76,0.0
Eastern Europe,3236810.9199999995,224383.27,134143.06,223625.81,67959.35,858120.94,659265.72,218771.68,210354.98,33120.7,45118.3,20706.08,219825.69,125747.11,68453.79,6524.43,507.33,3588.9,2096.73,508.59,1641.09,2873.46,13828.63,1629.75,7029.27,3328.11,2821.87,2673.18,4119.58,0.0
Asia (Sans Japan),3047643.789999999,155612.39,4015.16,279136.92,254517.19,48570.66,114368.12,108428.78,716879.79,32899.85,311008.26,110373.15,82437.95,121355.13,106842.77,109644.9,5882.63,5573.94,1487.45,2801.51,868.17,781.26,135723.31,7769.54,89276.76,33813.25,7290.15,13287.08,8552.23,0.0
Middle East and Africa,146007.73,17.49,37.53,277.55,663.87,63.95,184.41,165.44,4827.45,7714.82,15055.31,20108.19,7723.94,16103.0,13851.17,56.31,43.55,17.84,6.57,22.04,15.23,5.22,2413.03,3798.7,7972.92,6602.85,5158.14,9097.35,5848.63,0.0
Latin America,51524.30999999999,1493.02,213.31,3389.63,4048.45,119.57,267.82,251.81,6606.65,2996.53,10365.29,6833.39,1889.07,4259.39,5315.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119.11,12.52,194.23,226.2,20.11,19.59,19.72,0.0
TOTAL,7896132.329999999,460138.38,195146.16,655423.52,425427.48000000004,1148708.8499999999,853342.0399999999,358136.63,1047463.1,104970.01999999999,437409.08999999997,189956.36000000002,516332.7,315472.64,215938.07000000004,118228.62,10295.81,13216.439999999999,4633.82,4756.69,4489.73,4450.450000000001,156962.44999999998,20504.33,117163.75999999998,49951.67,19286.15,34865.92,24287.920000000002,0.0
China,2234973.9,149824.73,1567.04,245137.93,228808.18,35070.67,52147.76,32817.3,610882.28,19626.01,234934.73,93124.03,18056.92,18081.94,24447.48,108435.64,5615.42,5065.43,1377.36,2128.15,180.21,296.41,130080.54,6632.89,80070.57,31303.32,2314.74,1790.96,1765.68,0.0
India,32716.54,61.37,44.87,841.74,6343.88,170.4,1163.99,9320.54,36.86,54.01,431.49,2734.55,201.65,1060.84,7507.94,0.3,0.65,6.61,32.01,3.09,15.38,108.85,2.64,2.84,40.18,223.75,37.27,140.47,956.37,0.0
EU,12829.399999999996,11.23,50.93,581.55,851.63,364.7,2392.12,3629.41,8.88,21.32,133.83,155.43,218.29,1017.84,1770.66,0.03,0.4,3.31,4.48,3.76,27.96,51.46,3.82,12.71,51.02,31.39,44.0,224.39,256.11,0.0
USA,558694.2399999999,51093.54,18998.15,78004.03,58607.2,49132.38,19686.71,6252.73,100929.87,12277.95,24961.1,14208.38,82652.53,13920.07,2949.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1807.47,387.11,888.26,714.65,53.42,226.63,409.47,0.0
