,Total Area (km2),"AEZ1: Forest, prime, minimal","AEZ2: Forest, good, minimal","AEZ3: Forest, good, moderate","AEZ4: Forest, good, steep","AEZ5: Forest, marginal, minimal","AEZ6: Forest, marginal, moderate","AEZ7: Forest, marginal, steep","AEZ8: Grassland, prime, minimal","AEZ9: Grassland, good, minimal","AEZ10: Grassland, good, moderate","AEZ11: Grassland, good, steep","AEZ12: Grassland, marginal, minimal","AEZ13: Grassland, marginal, moderate","AEZ14: Grassland, marginal, steep","AEZ15: Irrigated Cropland, prime, minimal","AEZ16: Irrigated Cropland, good, minimal","AEZ17: Irrigated Cropland, good, moderate","AEZ18: Irrigated Cropland, good, steep","AEZ19: Irrigated Cropland, marginal, minimal","AEZ20: Irrigated Cropland, marginal, moderate","AEZ21: Irrigated Cropland, marginal, steep","AEZ22: Rainfed Cropland, prime, minimal","AEZ23: Rainfed Cropland, good, minimal","AEZ24: Rainfed Cropland, good, moderate","AEZ25: Rainfed Cropland, good, steep","AEZ26: Rainfed Cropland, marginal, minimal","AEZ27: Rainfed Cropland, marginal, moderate","AEZ28: Rainfed Cropland, marginal, steep",AEZ29: All Barren Land
OECD90,4656366.460000002,81188.65,23040.46,2612.5,1344.88,4930.98,1261.64,465.16,3058034.61,699561.1,107043.41,27468.93,211304.92,30743.06,6578.7,602.24,1224.06,24.65,2.09,34.31,2.44,0.28,4653.75,2161.03,502.86,89.07,331.91,122.33,25.73,0.0
Eastern Europe,1833576.0200000003,864.96,239.54,23.63,7.01,83.77,3.57,1.04,569779.35,77961.92,8616.6,1568.81,130040.63,2400.87,959.85,84983.42,8076.93,287.74,23.8,4648.29,102.61,6.89,8299.64,218.87,81.5,14.66,208.16,9.97,5.05,0.0
Asia (Sans Japan),3634277.75,2987.63,381.01,843.94,783.74,563.51,1289.78,813.03,327064.35,58127.69,48505.8,36843.37,257659.7,73051.0,65105.92,241040.62,18333.83,1180.18,325.9,24369.36,356.13,199.5,48108.6,6368.03,1273.3,717.73,37672.58,1077.91,672.92,0.0
Middle East and Africa,16954435.1,70664.41,16842.2,1957.79,1133.43,21961.07,4287.9,2468.15,1607504.25,476043.58,46806.62,15798.58,593312.16,97673.83,47164.07,46657.25,13532.56,273.25,108.66,32491.77,499.53,460.14,226323.07,28770.23,1964.96,520.2,26813.24,1839.52,844.85,0.0
Latin America,1851795.81,4827.7,2543.09,1885.6,1363.75,1497.43,1451.86,1877.12,624645.16,228151.97,167216.12,77338.72,130944.48,69351.95,48692.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7391.38,2584.8,245.63,79.34,1665.64,149.36,106.09,0.0
TOTAL,28930451.140000004,160533.35000000003,43046.3,7323.460000000001,4632.81,29036.760000000002,8294.75,5624.5,6187027.720000001,1539846.26,378188.55,159018.41,1323261.8900000001,273220.71,168500.56,373283.53,41167.38,1765.8200000000002,460.44999999999993,61543.729999999996,960.71,666.81,294776.44,40102.96000000001,4068.25,1421.0,66691.53,3199.09,1654.6399999999999,0.0
China,1967441.51,191.91,10.85,91.26,239.57,9.19,14.86,38.11,221420.24,28229.63,33373.59,23122.3,48823.34,27854.57,40478.45,87107.8,2628.94,965.29,248.22,2962.16,93.21,87.91,11643.88,390.98,304.68,224.26,253.1,107.15,176.8,0.0
India,233436.26000000007,540.23,112.12,22.94,7.65,85.03,4.01,5.58,38024.63,5741.17,894.54,2675.39,89884.88,1797.45,2226.98,18467.73,2486.82,27.95,12.37,6991.14,12.11,2.21,19748.61,3119.35,116.91,39.76,32586.78,164.85,4.25,0.0
EU,8686.119999999999,224.35,1197.93,86.25,10.02,36.23,13.4,3.45,662.65,687.36,661.14,160.37,156.82,199.21,74.15,181.45,802.01,21.55,1.87,32.64,2.38,0.28,252.21,294.66,85.07,7.24,43.37,12.97,3.55,0.0
USA,650722.2399999999,2176.17,925.3,1438.84,1068.57,211.32,251.76,215.01,316566.25,131626.31,77469.89,24588.17,21001.27,8520.59,3944.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2063.13,601.09,329.99,70.9,22.12,7.09,7.12,0.0
