,Total Area (km2),"AEZ1: Forest, prime, minimal","AEZ2: Forest, good, minimal","AEZ3:  Forest, good, moderate","AEZ4: Forest, good, steep","AEZ5: Forest, marginal, minimal","AEZ6: Forest, marginal, moderate","AEZ7: Forest, marginal, steep","AEZ8: Grassland, prime, minimal","AEZ9: Grassland, good, minimal","AEZ10: Grassland, good, moderate","AEZ11: Grassland, good, steep","AEZ12: Grassland, marginal, minimal","AEZ13: Grassland, marginal, moderate","AEZ14: Grassland, marginal, steep","AEZ15: Irrigated Cropland, prime, minimal","AEZ16: Irrigated Cropland, good, minimal","AEZ17: Irrigated Cropland, good, moderate","AEZ18: Irrigated Cropland, good, steep","AEZ19: Irrigated Cropland, marginal, minimal","AEZ20: Irrigated Cropland, marginal, moderate","AEZ21: Irrigated Cropland, marginal, steep","AEZ22: Rainfed Cropland, prime, minimal","AEZ23: Rainfed Cropland, good, minimal","AEZ24: Rainfed Cropland, good, moderate","AEZ25: Rainfed Cropland, good, steep","AEZ26: Rainfed Cropland, marginal, minimal","AEZ27: Rainfed Cropland, marginal, moderate","AEZ28: Rainfed Cropland, marginal, steep",AEZ29: All Barren Land
OECD90,1268442.1400000004,84091.92,53014.27,149519.18,90085.32,33343.29,67288.43,48780.45,175323.03,90177.79,92961.01,23531.06,46831.86,40027.82,19668.24,23981.1,15584.8,2134.69,222.01,5278.06,1029.59,243.36,33608.77,36123.31,33505.74,5914.05,19880.77,15671.24,4833.39,0.0
Eastern Europe,68293.85,361.32,462.26,2360.18,1768.0,1290.98,2528.84,1647.19,10169.33,1302.59,6009.04,1971.17,2963.01,1841.42,814.8,13362.94,49.33,477.04,106.95,85.97,15.43,8.45,2972.18,878.97,3232.06,1209.02,1663.06,1185.15,462.67,0.0
Asia (Sans Japan),34369.0,543.91,62.6,358.33,796.11,81.56,532.43,2207.66,1782.65,398.33,2606.71,1292.63,330.74,996.33,1914.49,690.29,142.77,125.92,39.45,205.92,121.44,116.81,1948.5,512.3,2332.14,757.9,728.83,1046.03,1409.13,0.0
Middle East and Africa,552906.23,9006.75,7343.48,32959.09,17226.67,6376.69,10472.15,7374.54,62187.43,35108.57,50529.75,17867.1,34700.39,24381.46,14557.37,1356.68,358.12,71.03,30.16,214.17,58.41,45.93,36047.14,26361.95,42214.3,10405.35,31077.18,20114.97,6569.15,0.0
Latin America,231124.06000000003,13182.04,9724.54,29468.65,21690.35,2767.09,5551.85,6483.1,27554.74,13093.26,24954.3,10106.16,13758.34,13603.92,13463.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7292.52,3904.28,1793.76,764.01,2285.03,981.74,735.84,0.0
TOTAL,2155135.2800000003,107185.94,70607.15,214665.42999999996,131566.45,43859.61,86373.69999999998,66492.94,277017.18,140080.54,177060.81,54768.12000000001,98584.34,80850.95,50418.78,39391.01,16135.02,2808.6800000000003,398.57,5784.120000000001,1224.8700000000001,414.55,81869.11,67780.81,83077.99999999999,19050.329999999998,55634.87,38999.13,14010.18,0.0
China,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
India,3335.5699999999997,512.5,43.94,221.88,128.57,7.33,23.92,137.02,505.61,45.02,102.12,48.27,6.63,9.73,33.42,156.23,10.83,12.83,2.28,0.95,1.32,3.1,813.71,51.54,186.69,36.6,7.68,9.68,23.28,0.0
EU,524078.6800000001,13009.81,35046.14,43677.72,16430.81,28454.13,52768.92,34825.5,14758.23,48870.74,34541.87,7412.82,34637.53,30249.3,14954.02,4475.44,7256.62,486.2,49.57,2327.01,326.02,103.2,7512.64,22920.94,14689.84,2125.01,15144.09,9457.47,2780.75,0.0
USA,303977.71,19037.83,8442.03,72947.83,60010.02,959.6,3767.34,4650.67,43085.38,14591.05,35343.93,11944.8,888.11,2337.21,1958.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2240.94,1426.53,3293.31,1051.91,103.41,311.01,252.31,0.0
