,Total Area (km2),"AEZ1: Forest, prime, minimal","AEZ2: Forest, good, minimal","AEZ3:  Forest, good, moderate","AEZ4: Forest, good, steep","AEZ5: Forest, marginal, minimal","AEZ6: Forest, marginal, moderate","AEZ7: Forest, marginal, steep","AEZ8: Grassland, prime, minimal","AEZ9: Grassland, good, minimal","AEZ10: Grassland, good, moderate","AEZ11: Grassland, good, steep","AEZ12: Grassland, marginal, minimal","AEZ13: Grassland, marginal, moderate","AEZ14: Grassland, marginal, steep","AEZ15: Irrigated Cropland, prime, minimal","AEZ16: Irrigated Cropland, good, minimal","AEZ17: Irrigated Cropland, good, moderate","AEZ18: Irrigated Cropland, good, steep","AEZ19: Irrigated Cropland, marginal, minimal","AEZ20: Irrigated Cropland, marginal, moderate","AEZ21: Irrigated Cropland, marginal, steep","AEZ22: Rainfed Cropland, prime, minimal","AEZ23: Rainfed Cropland, good, minimal","AEZ24: Rainfed Cropland, good, moderate","AEZ25: Rainfed Cropland, good, steep","AEZ26: Rainfed Cropland, marginal, minimal","AEZ27: Rainfed Cropland, marginal, moderate","AEZ28: Rainfed Cropland, marginal, steep",AEZ29: All Barren Land
OECD90,4810616.65,2087.93,2827.69,11084.6,14004.54,27185.26,46020.48,28387.11,25383.74,15804.59,28624.11,23031.56,622346.43,303612.82,87785.86,0.0,0.1,0.51,0.69,0.06,0.65,1.08,32.45,18.18,146.27,140.97,26.66,115.56,173.64,0.0
Eastern Europe,1895470.82,425.34,1090.2,2920.62,2759.05,96735.41,65589.95,26954.46,3886.63,1537.14,2348.65,3357.03,800680.53,267417.02,101639.46,1.07,8.99,39.33,94.33,161.78,989.22,1875.73,1.21,15.31,45.42,71.98,1276.39,2004.31,1756.03,0.0
Asia (Sans Japan),1737866.6800000002,228.59,476.34,4619.04,14683.67,2174.88,9520.89,31583.0,3343.07,10048.56,9967.79,25952.56,337800.25,371262.44,418458.05,26.78,30.38,34.35,167.1,599.12,1933.67,3488.57,135.41,178.08,303.26,988.68,7890.28,15695.23,14774.5,0.0
Middle East and Africa,6171.91,104.15,74.3,599.08,310.97,11.36,125.09,197.01,415.24,241.09,1761.93,696.97,72.04,398.44,212.04,1.04,0.25,0.7,0.38,0.0,0.03,0.06,51.35,10.56,67.87,19.95,7.61,52.29,15.67,0.0
Latin America,553389.1600000001,10569.77,1868.41,16350.66,24086.48,6623.66,16682.08,31015.89,33986.59,8410.8,61394.46,47927.7,19525.09,55370.9,64558.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2140.3,393.07,2325.59,1201.02,1409.03,2853.09,1971.95,0.0
TOTAL,9003515.22,13415.78,6336.9400000000005,35574.0,55844.71000000001,132730.57,137938.49,118137.47,67015.26999999999,36042.18,104096.94,100965.82,1780424.34,998061.62,672653.56,28.89,39.72,74.89,262.5,760.96,2923.57,5365.4400000000005,2360.7200000000003,615.2,2888.41,2422.6,10609.970000000001,20720.48,18691.789999999997,0.0
China,1470134.0699999998,80.8,125.77,1720.42,10936.25,835.68,4602.23,23386.3,3128.53,9752.33,7718.51,17968.99,324244.69,329404.22,338996.34,26.4,29.93,28.98,147.08,586.28,1862.22,3316.44,130.62,173.76,256.2,847.44,7343.17,14457.16,13201.11,0.0
India,80664.67,2.88,4.71,59.96,273.69,29.57,202.09,937.22,49.34,80.71,743.28,4297.89,1332.37,6020.84,21806.63,0.36,0.22,3.17,16.89,3.54,19.47,80.7,1.33,0.83,14.95,66.83,15.21,104.57,527.52,0.0
EU,51430.05,2.26,124.31,160.34,513.81,283.69,459.57,1488.93,44.59,1128.53,1216.81,1885.2,6536.34,7015.73,8225.03,0.0,0.0,0.02,0.13,0.0,0.05,0.36,1.03,0.61,14.7,23.56,5.03,21.46,75.3,0.0
USA,343468.17999999993,488.1,247.88,1535.13,1440.63,3054.81,6027.26,1714.54,5125.36,1104.74,7785.03,7850.79,65469.78,47380.53,7572.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.71,4.33,108.3,98.99,2.76,17.67,25.52,0.0
