,Total Area (km2),"AEZ1: Forest, prime, minimal","AEZ2: Forest, good, minimal","AEZ3: Forest, good, moderate","AEZ4: Forest, good, steep","AEZ5: Forest, marginal, minimal","AEZ6: Forest, marginal, moderate","AEZ7: Forest, marginal, steep","AEZ8: Grassland, prime, minimal","AEZ9: Grassland, good, minimal","AEZ10: Grassland, good, moderate","AEZ11: Grassland, good, steep","AEZ12: Grassland, marginal, minimal","AEZ13: Grassland, marginal, moderate","AEZ14: Grassland, marginal, steep","AEZ15: Irrigated Cropland, prime, minimal","AEZ16: Irrigated Cropland, good, minimal","AEZ17: Irrigated Cropland, good, moderate","AEZ18: Irrigated Cropland, good, steep","AEZ19: Irrigated Cropland, marginal, minimal","AEZ20: Irrigated Cropland, marginal, moderate","AEZ21: Irrigated Cropland, marginal, steep","AEZ22: Rainfed Cropland, prime, minimal","AEZ23: Rainfed Cropland, good, minimal","AEZ24: Rainfed Cropland, good, moderate","AEZ25: Rainfed Cropland, good, steep","AEZ26: Rainfed Cropland, marginal, minimal","AEZ27: Rainfed Cropland, marginal, moderate","AEZ28: Rainfed Cropland, marginal, steep",AEZ29: All Barren Land
OECD90,836696.5099999999,131246.54,23892.74,59579.97,19285.72,16881.49,3168.64,648.87,283873.69,102235.09,22106.62,3128.45,129423.36,19804.68,2236.13,2603.31,314.24,45.7,9.28,36.74,0.0,0.0,3696.74,956.28,2463.95,838.47,478.2,54.21,5.09,0.0
Eastern Europe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Asia (Sans Japan),5317968.56,912902.83,150204.55,724163.64,462724.28,76475.79,74371.09,61308.51,488915.56,90087.66,188059.49,71531.06,46364.66,18787.23,8293.31,228934.73,25425.69,3935.58,1252.79,81516.23,1187.61,337.95,951813.68,184343.72,125176.59,36242.97,214124.44,19008.42,4707.34,0.0
Middle East and Africa,9630334.420000002,3773147.49,696222.71,699578.04,104635.77,307117.58,77980.79,30482.83,1197066.42,449126.4,171764.67,29561.23,421256.34,50589.06,20401.42,40340.89,9312.77,787.17,128.19,7066.97,227.64,76.13,798757.36,328527.15,98777.21,13444.3,143285.22,27740.03,8172.32,0.0
Latin America,12049402.38,4332299.13,964102.59,810016.77,287246.91,537926.21,330631.23,137197.26,2001715.59,551115.26,363432.89,89918.55,363389.64,70761.98,18780.87,55.88,0.0,0.02,0.0,0.0,0.0,0.0,483063.67,226682.94,75001.56,11555.02,139370.41,20888.1,3056.66,0.0
TOTAL,27834401.870000005,9149595.99,1834422.5899999999,2293338.42,873892.6799999999,938401.07,486151.75,229637.47000000003,3971571.26,1192564.4100000001,745363.67,194139.28999999998,960434.0000000001,159942.95,49711.729999999996,271934.81,35052.7,4768.47,1390.26,88619.94,1415.25,414.08,2237331.45,740510.0900000001,301419.31,62080.76000000001,497258.27,67690.76,15941.41,0.0
China,27942.579999999994,1192.32,2784.24,3649.95,1513.81,132.73,11.11,2.3,1591.72,4262.79,1166.01,395.79,72.25,2.4,0.51,1044.53,462.08,48.12,10.72,10.52,0.12,0.01,4533.12,3826.3,518.55,79.91,76.81,0.91,0.09,0.0
India,1153235.5799999996,81273.62,27791.14,67930.94,29918.17,46102.15,23161.83,10391.11,42234.89,12804.73,18781.0,6935.75,21863.31,5462.44,1739.81,77870.4,18902.16,1861.49,691.62,78645.03,1040.2,289.03,259786.02,82240.22,17690.69,3875.37,184983.08,8743.91,1327.9,0.0
EU,96549.45000000004,46048.5,6469.06,29158.52,4713.56,2163.53,1294.69,187.36,818.02,965.44,1268.36,548.1,133.7,15.49,3.35,0.3,4.73,2.46,2.09,0.0,0.0,0.0,457.1,498.71,687.99,314.64,373.58,25.89,0.5,0.0
USA,39217.42999999999,8559.99,860.49,3963.42,1521.91,212.93,143.18,137.42,13072.8,787.82,932.74,162.95,656.59,251.21,36.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1113.39,307.35,196.0,20.71,7.06,2.55,0.45,0.0
