Year,World
2012,31940.82252886398
2013,33155.301078379336
2014,22221.936155392275
2015,23232.964741504595
2016,24258.676823645976
2017,25318.700078072743
2018,26423.543169597408
2019,26882.394689812485
2020,27688.690261553682
2021,28638.042215876627
2022,29416.64044874384
2023,30209.87703627118
2024,31018.880927197555
2025,31821.018927729063
2026,32684.439772158476
2027,33542.63770603284
2028,34418.715422129055
2029,35313.28400564819
2030,36197.164641158866
2031,37034.572258455446
2032,37589.04393868978
2033,38163.585094369555
2034,38759.69860691621
2035,39342.40897351941
2036,40032.09951858574
2037,40711.39849621555
2038,41408.25887266096
2039,42202.35967010925
2040,43111.09551724224
2041,44153.05407843643
2042,45280.371243004
2043,46473.16759002352
2044,47803.45101862995
2045,49209.46534309915
2046,50540.43968309759
2047,51947.897954803855
2048,53381.708993827575
2049,54847.907621130966
2050,56323.77659121035
2051,57898.50107545433
2052,59477.541557907214
2053,61095.652324283496
2054,62752.95277478174
2055,64449.57511224662
2056,66185.65721340865
2057,67961.4023201611
2058,69777.08795646213
2059,71633.05065735913
2060,73538.34505054334
