Year,World
2012,31940.82252886398
2013,33155.301078379336
2014,22221.936155392275
2015,23212.02045681594
2016,24218.137238019648
2017,25259.017190435494
2018,26345.114996359778
2019,26784.38810517884
2020,27357.683826636425
2021,28229.09302870259
2022,29410.727193428946
2023,29942.753004852693
2024,30492.136551500644
2025,31053.31646313825
2026,31645.628356151894
2027,32252.120164306994
2028,32879.893052396365
2029,33529.95642055255
2030,33793.81218122851
2031,34056.45377295326
2032,34330.67484624132
2033,34629.7797058165
2034,34955.40208062629
2035,35286.75507240725
2036,35703.34694374063
2037,36129.51103722541
2038,36578.9997022115
2039,37138.32222940531
2040,37806.63988075183
2041,38664.77800932405
2042,39601.06941101271
2043,40614.62754720045
2044,41783.576148295746
2045,43025.4257080383
2046,44226.88696979149
2047,45502.919985140805
2048,46816.2116802276
2049,48173.73776254492
2050,49564.048717056714
2051,51045.99436011177
2052,52555.80927262915
2053,54118.82444080734
2054,55735.60326151684
2055,57406.71686122571
2056,59132.73946695578
2057,60914.29886186053
2058,62752.07393094296
2059,64646.79057353126
2060,66608.58047541486
