Year,World
2012,31940.82252886398
2013,33155.301078379336
2014,22221.936155392275
2015,23198.87977991809
2016,24170.229006344012
2017,25176.699218285117
2018,26228.406842400345
2019,26466.45179182915
2020,26995.80533621215
2021,27606.48466178466
2022,26445.76800400354
2023,26738.440405191657
2024,26661.63416215004
2025,26460.252377400546
2026,26721.585265651825
2027,26975.460765980206
2028,27230.42007396601
2029,27488.934579602712
2030,27749.801224179315
2031,28045.14525499552
2032,28340.622131884797
2033,28651.10218372424
2034,28979.84484956752
2035,29317.05236547454
2036,29704.031062553895
2037,30104.51281081278
2038,30533.457287726298
2039,30992.707012545154
2040,31481.850221478468
2041,32009.962882200045
2042,32572.420488465847
2043,33119.63866007233
2044,33659.28291215374
2045,34274.60911553854
2046,34853.498022416476
2047,35512.052657380635
2048,36214.09036765683
2049,36961.412461479194
2050,37736.088768003516
2051,38599.034972181136
2052,39492.92400513802
2053,40439.2108438659
2054,41439.613938181734
2055,42495.81462461376
2056,43609.42582892421
2057,44782.05305120174
2058,46015.34534938299
2059,47310.96764542844
2060,48670.55354380802
