# Required pass-km after Higher Priority Mode Adoption in PDS2 from Drawdown Integration of Solutions (in Billions)
# Higher Priority Urban Solutions: Walkable Cities, Bike Infrastructure, E-Bikes, Mass Transit, Ridesharing
# Higher Priority NonUrban Solutions: Telepresence, HSR, Airplane Fuel Efficiency
Year, URBAN, NONURBAN
2012, 15527.47879544780, 24093.21521522320 
2013, 15527.47879544780, 24093.21521522320 
2014, 15527.47879544780, 24093.21521522320 
2015, 15686.03621659800, 24282.85768603960 
2016, 16215.01561112290, 24633.10712134860 
2017, 16204.59995859590, 24910.26209696250 
2018, 16542.79837867010, 25187.62858336020 
2019, 16871.26657816050, 25465.21965211600 
2020, 17257.51685387360, 25901.92266831930 
2021, 17528.79511640560, 26021.41804223830 
2022, 17856.09783730650, 26312.65020972440 
2023, 18164.22913967660, 26617.05080757880 
2024, 18475.24952012500, 26934.92188859150 
2025, 18732.65531317410, 27356.82572602890 
2026, 18984.78750436590, 27588.84923538660 
2027, 19355.08068048700, 27937.03641749660 
2028, 19719.68314272040, 28299.71137401850 
2029, 20096.76078376240, 28677.14862682420 
2030, 20489.44989863700, 29152.82066364200 
2031, 20866.04654694370, 29477.40875852770 
2032, 21259.40418166710, 29918.19402027940 
2033, 21675.42445364990, 30374.86400698680 
2034, 22102.08106098650, 30847.73610518580 
2035, 22572.95590838300, 31160.33684085120 
2036, 23007.00155982610, 31793.74819257780 
2037, 23496.37581661380, 32292.28858695810 
2038, 23982.95596775560, 32808.29228519240 
2039, 24521.48850768710, 33342.11356325340 
2040, 25008.81933542790, 34277.70759282860 
2041, 25673.53749492680, 35416.38073042720 
2042, 26302.61869613720, 36490.31121545370 
2043, 26958.24042732860, 37595.60169550060 
2044, 27658.22534645400, 38732.55503226980 
2045, 28473.93707787200, 39991.94338241500 
2046, 29164.32363508930, 41102.77035712350 
2047, 29986.28572594240, 42336.77660300940 
2048, 30853.18281912230, 43591.69598900170 
2049, 31750.97298624410, 44867.91786980270 
2050, 32685.55484207730, 46163.11661776510 
2051, 33706.14282886590, 47497.58634312540 
2052, 34761.95095801760, 48851.91267067510 
2053, 35871.82146227010, 50229.16946095780 
2054, 37037.56920387790, 51629.67336233180 
2055, 38261.04876493200, 53053.79440287020 
2056, 39544.21124793370, 54502.00116534860 
2057, 40889.09954746140, 55974.85383721750 
2058, 42297.77347569120, 57472.94004347050 
2059, 43772.34738049360, 58996.90340428280 
2060, 45314.94687812780, 60547.40582606140 
