Year,URBAN,NONURBAN
2012, 25182.237861384200, 23276.848934826300 
2013, 25927.297655681800, 23988.620136568700 
2014, 15448.983620656200, 24087.306996752700 
2015, 15280.317517758100, 24207.840858064000 
2016, 15167.948511786000, 24406.215389424500 
2017, 14686.639625423700, 24570.151065701200 
2018, 14302.887858274000, 24733.279294564100 
2019, 13848.919881871000, 24895.584649039100 
2020, 13748.258730725200, 25193.211379834300 
2021, 12792.694859470400, 25217.986164488200 
2022, 12226.568215725600, 25378.490961957300 
2023, 11619.526835506500, 25550.838520068900 
2024, 10974.043215650200, 25735.342037412100 
2025, 10295.946266893900, 26019.458134263500 
2026, 9587.220575027380, 26112.435718920700 
2027, 8861.560664050400, 26320.366093166200 
2028, 8129.782622586960, 26541.634773190800 
2029, 7407.816766313330, 26776.592761531500 
2030, 5980.395704262160, 27123.952038375700 
2031, 6312.648034640890, 27289.061754551500 
2032, 6054.325992675980, 27586.906300928700 
2033, 5982.910479595590, 27900.034692798900 
2034, 6147.166892308180, 28228.926482228600 
2035, 7125.171578727190, 28464.264918730600 
2036, 7170.992110151660, 28902.392836340400 
2037, 7522.555096877080, 29309.957789253100 
2038, 7972.329875299250, 29753.803043648300 
2039, 8528.166416176240, 30534.241074994200 
2040, 9171.100007282720, 31382.291556194000 
2041, 9354.026981666820, 32462.650903039300 
2042, 9534.099626674170, 33474.937006349800 
2043, 9739.799097632200, 34520.085613549200 
2044, 9971.915757888800, 35598.692887887300 
2045, 10276.658769314500, 36801.825547832500 
2046, 10520.844220166100, 37858.779746699500 
2047, 10839.290497287900, 39041.583212437900 
2048, 11188.886320100400, 40248.481547549700 
2049, 11570.681341895500, 41480.129618023200 
2050, 11963.383614213000, 42749.248673930900 
2051, 12433.570501195200, 44049.895621812200 
2052, 12917.024901033900, 45374.532974875300 
2053, 13436.792055621700, 46726.416188691400 
2054, 13993.538536840200, 48106.015293885400 
2055, 14587.707616856900, 49513.823310055800 
2056, 15221.308004488100, 50950.399702754000 
2057, 15894.910805235100, 52416.362216976300 
2058, 16609.141822504200, 53912.322023608000 
2059, 17360.320891322500, 55438.912135194300 
2060, 18154.482734663500, 57013.549870252200 
