Year,PDS1,PDS2,PDS3
2014,110.5436684,110.5436684,110.5436684
2015,121.0420855,121.0420855,121.0420855
2016,131.5405026,131.5405026,131.5405026
2017,142.0389197,142.0389197,142.0389197
2018,152.5373368,152.5373368,152.5373368
2019,158.8348137,167.3909946,207.7701776
2020,165.8199786,177.8866636,236.6554571
2021,172.8389552,188.5352396,266.3364812
2022,180.0128863,199.4649949,296.9762121
2023,187.2840536,210.6115734,328.4775899
2024,194.650926,221.9709987,360.824378
2025,201.8424605,233.2279673,393.4755146
2026,210.3889386,246.1591861,429.4684431
2027,219.1288503,259.440833,466.6554186
2028,228.0044103,273.0043728,504.9134773
2029,237.014496,286.8468187,544.2305686
2030,246.4420252,301.3125324,585.2696117
2031,255.4342798,315.3574572,625.9969411
2032,264.7513133,329.9073271,668.195889
2033,274.1961864,344.7200097,711.3910049
2034,283.7690902,359.7944976,755.5756398
2035,293.4830357,375.1462645,800.7787102
2036,303.296269,390.7208315,864.9583233
2037,313.252168,406.5726459,902.613111
2038,323.3395477,422.68657,940.9387722
2039,333.5600696,439.0640048,979.9383241
2040,343.5248712,455.1889939,1013.697303
2041,354.3944117,472.5985072,1041.078079
2042,364.8788651,489.5806364,1067.124965
2043,375.5007062,506.8273235,1092.491277
2044,386.2629955,524.3423803,1118.12177
2045,397.181755,542.1474227,1144.063291
2046,408.2080483,560.1754079,1164.227966
2047,419.3465924,578.4319074,1181.416834
2048,430.6068383,596.9292381,1196.38334
2049,441.9890917,615.667274,1211.284651
2050,453.4038758,634.5202812,1225.881767
2051,465.1210725,653.8654702,1240.907086
2052,476.8716387,673.3258842,1255.635696
2053,488.745889,693.0275078,1270.314091
2054,500.7443537,712.9707102,1284.945822
2055,512.8676068,733.1559551,1299.534368
2056,525.1162659,753.5837997,1314.083144
2057,537.490992,774.2548936,1328.595503
2058,549.9924897,795.169978,1343.07474
2059,562.6215066,816.3298852,1357.524097
2060,575.3788339,837.735538,1371.946763
