Year,PDS1,PDS2,PDS3
2014,175.2510563,175.2510563,203.7305465
2015,175.904272,175.904272,204.4899142
2016,177.6018941,177.6018941,206.4634115
2017,180.3482668,180.3482668,209.6560885
2018,176.7026391,177.1125946,205.8945975
2019,190.8235638,198.3881919,230.6276242
2020,197.8381329,205.7187474,239.1494449
2021,205.0063445,213.8807971,248.6378833
2022,212.1917328,222.5671301,258.7358045
2023,219.7344056,231.8996185,269.5848858
2024,227.6418619,241.8567167,281.1600804
2025,236.8385308,253.2331578,294.3852706
2026,244.5820759,263.6246352,306.4654339
2027,253.6308084,275.4457367,320.2075449
2028,266.1140881,297.7550861,329.084
2029,272.9270394,301.0205835,335.143
2030,283.1918091,314.8045503,341.64
2031,293.4514203,328.8073479,348.575
2032,304.1058667,343.4765787,355.948
2033,315.1623677,358.8288851,363.759
2034,327.7290908,372.008,372.008
2035,338.5111531,380.695,380.695
2036,350.8186334,389.82,389.82
2037,363.5585691,399.383,399.383
2038,375.736,409.384,409.384
2039,385.317,419.823,419.823
2040,395.3,430.7,430.7
2041,405.685,442.015,442.015
2042,416.472,453.768,453.768
2043,427.661,465.959,465.959
2044,439.252,478.588,478.588
2045,451.245,491.655,491.655
2046,463.64,505.16,505.16
2047,476.437,519.103,519.103
2048,489.636,533.484,533.484
2049,503.237,548.303,548.303
2050,517.24,563.56,563.56
2051,531.645,579.255,579.255
2052,546.452,595.388,595.388
2053,561.661,611.959,611.959
2054,577.272,628.968,628.968
2055,593.285,646.415,646.415
2056,609.7,664.3,664.3
2057,626.517,682.623,682.623
2058,643.736,701.384,701.384
2059,661.357,720.583,720.583
2060,679.38,740.22,740.22
