,PDS1,PDS1,PDS1,PDS1,PDS1,PDS1,PDS1,PDS1,PDS1,PDS1,PDS2,PDS2,PDS2,PDS2,PDS2,PDS2,PDS2,PDS2,PDS2,PDS2,PDS3,PDS3,PDS3,PDS3,PDS3,PDS3,PDS3,PDS3,PDS3,PDS3
,other biomass,other biomass,coal,coal,natural gas,natural gas,oil products,oil producdts,large hydro,large hydro,other biomass,other biomass,coal,coal,natural gas,natural gas,oil products,oil producdts,large hydro,large hydro,other biomass,other biomass,coal,coal,natural gas,natural gas,oil products,oil producdts,large hydro,large hydro
Year,total,percent,total,percent,total,percent,total,percent,total,percent,total,percent,total,percent,total,percent,total,percent,total,percent,total,percent,total,percent,total,percent,total,percent,total,percent
2022,186.52033021,0.00647885,7485.66187454,0.26001704,7831.98388926,0.27204666,684.17529360,0.02376506,4562.12407162,0.15846695,173.03279631,0.00623430,7485.66187454,0.26970533,3232.14367552,0.11645281,684.17529360,0.02465056,4562.12407162,0.16437146,172.30670285,0.00620814,7485.66187454,0.26970533,4398.89447881,0.15849037,684.17529360,0.02465056,4562.12407162,0.16437146
2023,190.66466175,0.00647885,7148.06218697,0.24289350,8183.62083723,0.27808213,639.38791118,0.02172661,4642.15813204,0.15774206,179.55141963,0.00623430,7148.06218697,0.24819169,3065.72824684,0.10644679,639.38791118,0.02220053,4642.15813204,0.16118285,178.79797223,0.00620814,7148.06218697,0.24819169,4369.92579224,0.15173053,639.38791118,0.02220053,4642.15813204,0.16118285
2024,194.77078241,0.00647885,6810.46249939,0.22654297,8505.25706181,0.28291855,594.60052877,0.01977877,4718.43362845,0.15695380,186.57932316,0.00623430,6810.46249939,0.22756258,2879.93398434,0.09622918,594.60052877,0.01986779,4718.43362845,0.15766020,185.79638473,0.00620814,6810.46249939,0.22756258,4319.98592016,0.14434660,594.60052877,0.01986779,4718.43362845,0.15766020
2025,198.54628685,0.00647885,6472.86281182,0.21121872,8750.56278956,0.28554332,549.81314635,0.01794119,4791.14863447,0.15634200,193.72199945,0.00623430,6472.86281182,0.20830764,2602.70239318,0.08375935,549.81314635,0.01769391,4791.14863447,0.15418725,192.90908837,0.00620814,6472.86281182,0.20830764,4169.12379977,0.13416944,549.81314635,0.01769391,4791.14863447,0.15418725
2026,202.87173744,0.00647885,6135.26312424,0.19593383,9053.08100111,0.28911634,505.02576394,0.01612834,4860.50122376,0.15522344,202.03517412,0.00623430,6135.26312424,0.18931889,2466.17899614,0.07610012,505.02576394,0.01558383,4860.50122376,0.14998293,201.18737866,0.00620814,6135.26312424,0.18931889,4134.16411874,0.12756998,505.02576394,0.01558383,4860.50122376,0.14998293
2027,206.87020502,0.00647885,5797.66343667,0.18157366,9276.84610703,0.29053616,460.23838152,0.01441394,4926.68946995,0.15429613,210.39883886,0.00623430,5797.66343667,0.17178981,2234.21872858,0.06620185,460.23838152,0.01363726,4926.68946995,0.14598210,209.51594715,0.00620814,5797.66343667,0.17178981,4005.68637909,0.11869197,460.23838152,0.01363726,4926.68946995,0.14598210
2028,210.83640145,0.00647885,5460.06374909,0.16778375,9465.56183317,0.29086977,415.45099911,0.01276650,4989.91144668,0.15333632,219.14357126,0.00623430,5460.06374909,0.15533050,1986.76910988,0.05652055,415.45099911,0.01181895,4989.91144668,0.14195538,218.22398423,0.00620814,5460.06374909,0.15533050,3851.15525115,0.10955950,415.45099911,0.01181895,4989.91144668,0.14195538
2029,214.77215377,0.00647885,5122.46406151,0.15452499,9618.01847565,0.29013854,370.66361669,0.01118149,5050.36522760,0.15235005,228.23736398,0.00623430,5122.46406151,0.13992004,1673.65777703,0.04571594,370.66361669,0.01012467,5050.36522760,0.13795066,227.27961688,0.00620814,5122.46406151,0.13992004,3617.45751232,0.09881081,370.66361669,0.01012467,5050.36522760,0.13795066
2030,218.27162617,0.00647885,4784.86437394,0.14202674,9670.49187495,0.28704439,325.87623428,0.00967282,5108.24888635,0.15162561,236.75101524,0.00623430,4784.86437394,0.12599855,1323.06750939,0.03483998,325.87623428,0.00858121,5108.24888635,0.13451414,235.75754251,0.00620814,4784.86437394,0.12599855,3324.45090432,0.08754187,325.87623428,0.00858121,5108.24888635,0.13451414
2031,222.57331082,0.00647885,4447.26468636,0.12945466,9811.41298405,0.28559872,281.08885187,0.00818217,5163.76049656,0.15031101,247.34405511,0.00623430,4447.26468636,0.11209320,1408.87390943,0.03551063,281.08885187,0.00708484,5163.76049656,0.13015245,246.30613106,0.00620814,4447.26468636,0.11209320,3459.86084835,0.08720571,281.08885187,0.00708484,5163.76049656,0.13015245
