Year,PDS1,PDS2,PDS3
2014,0,76.323108,76.323108
2015,0,89.9620491,94.59427631
2016,0,95.96615288,103.2386719
2017,0,102.1158724,112.7069726
2018,0,108.4025083,122.9458659
2019,0,114.8173611,133.9020394
2020,0,121.3517313,145.5221809
2021,0,127.9969196,157.7529778
2022,0,134.7442265,170.5411179
2023,0,141.5849525,183.8332886
2024,0,148.5103984,197.5761778
2025,0,155.5118645,211.7164728
2026,0,162.5806515,226.2008615
2027,0,169.70806,240.9760313
2028,0,176.8853905,255.9886699
2029,0,184.1039437,271.185465
2030,0,191.35502,286.5131041
2031,0,198.62992,301.9182748
2032,0,205.9199444,317.3476648
2033,0,213.2163936,332.7479617
2034,0,220.5105683,348.065853
2035,0,227.793769,363.2480265
2036,0,235.0572963,378.2411697
2037,0,242.2924508,392.9919702
2038,0,249.490533,407.4471157
2039,0,256.6428435,421.5532938
2040,0,263.7406829,435.257192
2041,0,270.7753518,448.5054981
2042,0,277.7381506,461.2448995
2043,0,284.6203801,473.422084
2044,0,291.4133407,484.9837392
2045,0,298.108333,495.8765526
2046,0,304.6966576,506.0472119
2047,0,311.1696151,515.4424047
2048,0,317.5185061,524.0088185
2049,0,323.734631,531.6931411
2050,0,329.8092905,538.4420601
2051,0,335.7337852,544.202263
2052,0,341.4994156,548.9204375
2053,0,347.0974823,552.5432711
2054,0,352.5192858,555.0174516
2055,0,357.7561268,556.2896664
2056,0,362.7993058,556.3066033
2057,0,367.6401233,555.0149499
2058,0,372.26988,552.3613937
2059,0,376.6798764,548.2926224
2060,0,380.8614131,542.7553236
