Year,PDS1,PDS2,PDS3
2014,206.0294923,206.0294923,206.0294923
2015,235.5266904,235.5266904,235.5266904
2016,266.8,266.8,266.8
2017,283.9499106,284.587442,286.4851585
2018,292.6063434,293.8964136,297.736519
2019,301.3030589,303.260134,309.0856888
2020,310.0944871,312.7329928,320.5869375
2021,318.789827,322.1220432,332.0409308
2022,327.6139219,331.6536847,343.6787011
2023,336.4581347,341.2178332,355.3858558
2024,345.3187123,350.8101868,367.1564607
2025,354.0401069,360.2719836,378.822186
2026,364.3256905,371.3381677,392.2119554
2027,375.0714122,382.888686,406.1580828
2028,385.8533381,394.4915736,420.2046973
2029,396.6673687,406.1420983,434.3451843
2030,407.9795184,418.3175629,449.090447
2031,418.3756853,429.5675199,462.8818501
2032,429.1147426,441.1818272,477.1014827
2033,439.8680895,452.8230694,491.3856907
2034,450.6333513,464.488338,505.7299772
2035,461.4282075,476.1954345,520.1525061
2036,472.1842003,487.8732713,534.574363
2037,482.9666069,499.5887924,549.0674525
2038,493.7547184,511.3202299,563.6068542
2039,504.54789,523.0665396,578.1903359
2040,514.760167,534.2192586,592.1424344
2041,526.1272658,546.5793537,607.4583457
2042,536.7167783,558.1406064,621.9121426
2043,547.3080427,569.7115164,636.3991281
2044,557.9019152,581.2926909,650.919169
2045,568.5176544,592.9039464,665.4937417
2046,579.0815634,604.4681542,680.0355029
2047,589.5978804,615.989347,694.5478735
2048,600.0771862,627.4782238,709.0419037
2049,610.5169532,638.9318189,723.5133243
2050,620.79171,650.2184013,737.8117716
2051,624.0993679,653.6828484,741.7429274
2052,627.1667247,656.8956036,745.388485
2053,630.1184081,659.9872024,748.8965646
2054,632.956021,662.9593235,752.2690714
2055,635.6811324,665.8136102,755.5078698
2056,638.2952771,668.5516704,758.6147844
2057,640.7999565,671.1750762,761.5915991
2058,643.1966376,673.6853645,764.4400578
2059,645.4867537,676.0840364,767.1618639
2060,647.6717043,678.3725578,769.7586806
