,Residential LED (Excludes Commercial LED),Smart Thermostats (Residential Only),Commercial LED (Excludes Household LED),Telepresence,Heat Pumps,Electric Cars,Public Transit,Electric Bicycles,Bicycle  Infrastructure,Electric Trains,Smart Glass (Commercial Only),High Performance Static Glass-Residential Model,High Performance Static Glass- Commercial Model,Carpooling,High Speed Rail,Building Automation (Commercial Only),District Heating,Water Saving - Home (WaSH),Solar Hot Water (SHW),Water Distribution Efficiency,GreenRoofs,CoolRoofs,Insulation (Residential Only),Alternative Cement,FarmWater Use EFF
2033,577.5633406,140.8447512,362.8268597,-7.094482903,-175.4840007,-851.3507496,-57.54290281,-12.25544786,11.35314062,-59.42549092,27.3583679,63.93105071,67.09502429,25.646136,-31.29582875,343.2351344,379.7472563,19.42913114,182.7197785,48.13236859,0.608458672,35.51402501,239.9773155,17.49689879,123.485773
2034,616.0675633,155.8107962,386.5442698,-7.589829822,-183.4249283,-956.5581849,-61.89454701,-12.84154288,11.7492497,-66.54229331,29.08242381,67.00004142,71.96116428,27.8326644,-33.48538489,382.1737877,411.3505128,20.78930055,193.1744864,50.66565114,0.723904995,41.22773841,253.7521275,18.66335871,127.2624824
2035,654.571786,171.4802203,410.2042041,-8.079705032,-185.6848003,-1068.913287,-65.77566293,-13.36828912,12.08549543,-74.12981657,29.35152228,69.94726182,76.85621467,30.53608526,-35.77162307,421.4499706,442.9146266,22.17220714,203.413368,53.1989337,0.853728569,47.55676533,267.2837144,19.82981863,131.0739383
2036,693.0760087,187.8530234,433.8069105,-8.564076772,-198.4124251,-1188.581544,-70.7864389,-13.83498824,12.5418039,-82.20357208,29.61682478,72.77856352,81.78308074,33.12998217,-38.15418956,462.7972339,474.2695001,23.58016241,213.4364232,55.73221626,0.999252906,54.53863405,280.5773245,20.99627855,134.9180653
2037,731.5802314,204.9292055,457.352637,-9.042914462,-205.5051255,-1315.728444,-75.30893498,-14.24235259,12.93637371,-90.77958239,29.87810179,75.49946876,86.74449061,36.32621633,-40.63278907,506.2349068,505.2450356,25.01534528,223.2436521,58.26549882,1.161902671,62.21015847,293.6377827,22.16273847,138.7928995
2038,770.0844541,222.7087667,480.8416315,-9.516188702,-212.3612145,-1450.519475,-79.87074714,-14.59224239,13.3285551,-99.87439801,30.1351335,78.11524113,91.74306286,39.94448645,-43.20718633,551.4244083,535.6711355,26.48012375,232.8350547,60.79878137,1.343208732,70.60692022,306.4699004,23.32919839,142.6965868
2039,808.5886768,241.1917069,504.274142,-9.983871264,-219.0037577,-1593.120124,-84.46313101,-14.88739604,13.71741042,-109.5051149,30.38772439,80.6308664,96.78127775,44.02865057,-45.87720774,598.0611926,565.3777022,27.97686105,242.2106309,63.33206393,1.544813023,79.76270925,319.0782427,24.4956583,146.6273814
2040,847.0928995,260.3780262,527.6504165,-10.44593509,-223.9333947,-1743.695879,-89.15301593,-15.13117407,14.18742133,-119.6893922,30.63561717,83.05105815,101.678513,47.95925463,-48.64274306,645.918307,594.1946382,29.46138268,251.3703808,65.86534649,1.76847312,89.70893198,331.467079,25.66211822,150.5836424
2041,885.5971222,280.2677245,550.9707028,-10.90235427,-231.740469,-1902.412229,-93.70397139,-15.32733038,14.48139216,-130.4454711,30.87877059,85.38031157,106.9858737,53.77459891,-51.50374713,694.8632249,621.9518457,31.07474189,260.3143044,68.39862904,2.016066414,100.4739987,343.640686,26.82857814,154.5638303
2042,924.1013449,300.8608018,574.235249,-11.35310407,-237.8807683,-2069.434661,-98.33414918,-15.47981854,14.85464327,-141.7921939,31.11678695,87.62283386,112.1565452,59.5295567,-54.46024169,744.8186543,648.4792272,32.680454,269.0424016,70.9319116,2.289593764,112.0827047,355.6027644,27.99503806,158.5665026
2043,962.6055676,322.1572581,597.444303,-11.79816089,-243.8997839,-2244.928663,-102.958223,-15.5926353,15.22081764,-153.7490238,31.34942085,89.78251188,117.3754751,65.93722949,-57.51231716,795.6458329,673.6066851,34.32652517,277.5546725,73.46519416,2.751623073,128.8623308,367.3561277,29.16149798,162.590309
2044,1001.10979,344.1570935,620.5981127,-12.23750228,-249.8205815,-2429.059723,-107.5664588,-15.66970064,15.57897763,-166.3360653,31.57634925,91.86297379,122.6445359,73.04840277,-60.66013454,846.9689767,697.1641218,36.01487799,285.8511171,75.99847672,3.235692854,146.0974685,378.9030748,30.3279579,166.6339868
