Year,PDS1,PDS2,PDS3
2014,1.67,1.67,1.67
2015,2.03,2.03,2.03
2016,2.05,2.05,2.05
2017,2.27,2.27,2.27
2018,2.11,2.11,2.11
2019,2.2112,2.212,2.908571429
2020,2.3124,2.314,3.707142857
2021,2.4136,2.416,4.505714286
2022,2.5148,2.518,5.304285714
2023,2.616,2.62,6.102857143
2024,3.666790941,6.565035058,6.901428571
2025,4.567813256,9.903950646,7.7
2026,5.667542824,14.04704351,10.01507232
2027,6.966175411,18.99510608,12.79617468
2028,8.463906783,24.74893077,16.5572587
2029,10.16093271,31.30931001,21.47516677
2030,12.05744895,38.67703623,27.72674081
2031,14.15365127,46.85290184,35.48882338
2032,16.44973545,55.83769928,44.93825659
2033,18.94589724,65.63222097,56.25188258
2034,21.64233241,76.23725934,69.60654375
2035,24.53923673,87.6536068,85.17908224
2036,27.63680597,99.88205578,103.1463402
2037,30.93523589,112.9233987,123.68516
2038,34.43472225,126.778428,146.9723838
2039,38.13546083,141.4479361,173.1848539
2040,42.03764738,156.9327154,202.4994123
2041,46.14147769,173.2335584,235.0929014
2042,50.4471475,190.3512575,271.1421637
2043,54.95485259,208.286605,310.8240409
2044,59.66478873,227.0403934,354.3153755
2045,64.57715168,246.6134152,401.7930098
2046,69.6921372,267.0064628,453.433786
2047,75.00994106,288.2203286,509.4145462
2048,80.53075904,310.2558049,569.9121326
2049,86.25478689,333.1136844,635.1033876
2050,92.18222038,356.7947593,705.1651534
2051,98.31325527,381.299822,780.2742723
2052,104.6480873,406.6296651,784
2053,111.1869124,432.785081,784
2054,117.9299261,459.766862,784
2055,124.8773243,487.5758006,784
2056,132.0293027,516.2126892,784
2057,139.3860571,545.6783202,784
2058,146.9477833,575.9734862,784
2059,154.7146771,607.0989794,784
2060,162.6869341,639.0555923,784
