Year,World
2014,404.087316
2015,406.925884
2016,409.341317
2017,415.224035
2018,408.843143
2019,407.3724772
2020,415.8810404
2021,424.6032444
2022,432.6035921
2023,440.6018182
2024,448.5613751
2025,456.9757282
2026,465.6151986
2027,474.4915527
2028,483.6167222
2029,493.0028091
2030,502.7846285
2031,512.6757532
2032,522.9867365
2033,533.6076345
2034,544.5512228
2035,555.8304647
2036,567.4585163
2037,579.4487329
2038,591.8146745
2039,604.5701124
2040,617.7290351
2041,631.305655
2042,645.3144154
2043,659.7699972
2044,674.6873261
2045,690.0815801
2046,705.9681972
2047,722.3628828
2048,739.2816187
2049,756.7406705
2050,774.7061404
2051,793.2800674
2052,811.7532295
2053,830.6380781
2054,849.9346131
2055,869.6428346
2056,889.7627426
2057,910.294337
2058,931.2376179
2059,952.5925853
2060,974.3592391
