Year,Residential LED (Excludes Commercial LED),Smart Thermostats (Residential Only),Commercial LED (Excludes Household LED),Telepresence,Heat Pumps,Electric Cars,Public Transit,Electric Bicycles,Electric Trains,Smart Glass (Commercial Only),High Performance Static Glass-Residential Model,High Performance Static Glass- Commercial Model,Carpooling,High Speed Rail,Building Automation (Commercial Only),District Heating,Water Saving - Home (WaSH),Solar Hot Water (SHW),Water Distribution Efficiency,GreenRoofs,CoolRoofs,Insulation (Residential Only),Alternative Cement,FarmWater Use EFF
2024,243.6646796,31.65007418,156.0366519,-8.2544498,-84.23809979,-150.9813478,-38.17498139,-4.885774474,-155.9016234,3.406255985,40.63866856,31.1858391,40.21632495,-37.11145369,225.9503261,135.9398126,12.81653684,196.6672732,37.25415525,0.57933375,19.06583245,135.0708602,6.998759516,104.1477064
2025,284.2754595,42.92183921,181.8314703,-9.723730268,-105.9128368,-194.2104787,-44.34372812,-5.700070219,-181.8852273,5.082871054,45.90273757,36.13954413,40.70456969,-41.30384175,263.6087138,166.3217687,14.6554398,224.7065338,40.97957078,0.900448222,26.78907756,155.5840238,8.165219435,114.562477
2026,324.8862394,56.66242183,207.5665814,-11.17291125,-106.6185248,-240.3197292,-50.48588513,-6.514365965,-207.8688312,7.212342104,50.82183826,41.06154802,42.54444204,-45.79365535,301.2671014,199.3002545,16.43758275,251.3919035,44.7049863,1.350182339,36.5207238,175.566269,9.331679354,124.9772477
2027,365.4970194,73.27453679,233.242233,-12.60174038,-117.0796057,-288.9411798,-56.6065371,-7.32866171,-233.8524351,9.847112861,55.42222789,45.96363419,43.24469541,-50.59120691,338.9254891,234.7248114,18.17144714,276.7233822,48.43040183,1.967855914,48.485296,195.0306837,10.49813927,135.3920183
2028,406.1077993,93.16795504,258.8586731,-14.00998196,-127.0845925,-339.3111252,-62.71076872,-8.142957456,-259.836039,13.03962705,59.72844983,50.85673271,43.68944182,-55.70744802,376.5838768,272.3517955,19.86465961,300.7009699,52.15581735,2.798300305,62.82774052,213.9930427,11.66459919,145.806789
2029,446.7185792,116.7280839,284.4161497,-15.39741685,-136.65598,-391.6980791,-68.80366468,-8.957253202,-285.8196429,16.8423284,63.76316959,55.75096571,43.92349688,-61.1540014,412.4307318,311.8440722,21.52408593,323.3246667,55.88123288,3.888660398,79.58144442,232.4690207,12.83105911,156.2215596
2030,487.3293592,144.270939,309.9149107,-16.76384236,-142.4621744,-500.0335915,-75.22175727,-9.771548947,-311.8032468,21.30766063,67.54726031,60.77626595,44.37332446,-66.9431944,448.4156185,352.7782363,23.1949573,344.5944726,59.6066484,5.282778913,98.64748188,250.4736653,13.99751903,166.6363302
2031,527.9401391,175.9847102,335.355204,-18.10907211,-154.5879378,-609.0572512,-80.97578836,-10.58584469,-337.7868507,26.48806748,71.09986672,65.57765075,43.95602024,-73.08809414,484.8232716,394.6597453,24.76739386,364.5103875,63.33206393,7.013342561,119.7923016,268.0208422,15.16397895,169.2415236
2032,568.550919,211.8619756,360.7372776,-19.43293586,-162.9934981,-721.635238,-87.06518547,-11.40014044,-363.7704546,32.43599266,74.42872612,70.48994397,43.86121984,-79.60254454,521.6536912,436.9452101,26.36397738,383.0724115,67.05747946,9.093090905,142.6669128,285.123929,16.33043887,171.846717
2033,609.161699,251.6321798,386.0613795,-20.73527931,-171.0554396,-832.2225918,-93.16358566,-12.21443618,-389.7540585,39.20387991,77.54626701,75.37987228,43.76977092,-86.50120502,558.9068772,479.0699046,27.95199093,400.2805445,70.78289498,11.50760793,166.844589,301.7965596,17.49689879,174.4519104
2034,649.7724789,294.7101487,411.3277576,-22.01596391,-178.7962571,-944.6644217,-99.27607363,-13.02873193,-415.7376624,43.54836447,80.46895929,80.25619909,43.74442772,-93.79959125,596.5828296,520.4776309,29.53738804,416.1347866,74.50831051,14.21272114,191.8687185,318.0521098,18.66335871,177.0571038
2035,690.3832588,340.1805585,436.5366599,-23.27486665,-181.0235293,-1057.054864,-104.8713858,-13.84302768,-441.7212663,43.95128986,83.21194039,85.12697262,44.02220019,-101.5141179,634.6815485,560.6496379,31.12569958,430.6351378,78.23372603,17.13853332,217.3000999,333.9033064,19.82981863,179.6622972
2036,730.9940387,386.8366577,461.6883343,-24.51187978,-193.404501,-1169.093058,-111.5636517,-14.65732342,-467.7048702,44.34854942,85.78908243,89.99953768,44.16014565,-109.6621436,673.2030337,599.1294679,32.72177966,443.781598,81.95914156,20.19966707,242.754487,349.3619657,20.99627855,182.2674906
2037,771.6048187,433.2811395,486.7830288,-25.72691059,-200.3169174,-1280.446894,-117.7489111,-15.47161917,-493.6884741,44.73980053,88.21311962,94.88062264,44.74337014,-118.2620179,712.1472855,635.541348,34.33009872,455.5741673,85.68455708,23.30867552,267.9253596,364.4392489,22.16273847,184.872684
2038,812.2155986,478.0785255,511.8209913,-26.91988112,-206.9981902,-1390.735374,-123.968597,-16.28591491,-519.672078,45.12471513,90.49578983,99.77644639,45.67804802,-127.3331309,751.5143036,669.6008459,35.95515415,466.0128456,89.40997261,26.38841416,292.5915742,379.1460795,23.32919839,187.4778774
2039,852.8263785,519.9282239,536.8024698,-28.09072786,-213.4708144,-1503.148403,-130.2277942,-17.10021066,-545.6556819,45.50300136,92.64788375,104.6927256,47.04488188,-136.8959652,790.8261413,701.1177041,37.60125005,475.097633,93.13538813,29.38011555,316.612948,393.4929182,24.4956583,190.0830708
2040,893.4371585,557.8159328,561.7277122,-29.23940146,-218.2336016,-1733.675793,-136.607394,-17.9145064,-571.6392858,45.87427523,94.6793121,109.4517432,47.89617659,-146.9721504,828.484529,729.9917866,39.2161264,482.8285295,96.86080366,32.24611218,339.9182726,407.4897204,25.66211822,192.6882642
2041,934.0479384,591.1061349,586.5969666,-30.36586644,-225.8800976,-1963.477209,-142.885061,-18.72880215,-597.6228898,46.23847512,96.59921353,114.6072087,51.41451282,-157.5845204,866.1429167,756.2037466,40.97244786,489.205535,100.5862192,34.9681652,362.4900608,421.1462462,26.82857814,195.2934576
2042,974.6587183,619.5588713,611.4104808,-31.47010082,-231.8617466,-2192.075843,-149.2932999,-19.54309789,-623.6064937,46.59500747,98.41593957,119.6146386,54.59485504,-168.7571734,903.8013043,779.8023115,42.7045097,494.2286495,104.3116347,37.54329905,384.3492371,434.4714839,27.99503806,197.898651
2043,1015.269498,643.2792757,636.1685027,-32.55209582,-237.7247274,-2418.705288,-155.7613888,-20.35739364,-649.5900976,46.94350598,100.1370708,124.6610629,58.56185772,-180.5155353,941.459692,800.890013,44.47199607,497.8978731,108.0370502,40.6574241,412.1467677,447.4733452,29.16149798,200.5038444
2044,1055.880278,662.6260594,660.8712804,-33.61185551,-243.491535,-2644.161426,-162.2944124,-21.17168939,-675.5737015,47.28348848,101.769519,129.7502115,63.4111729,-192.8864257,979.1180797,819.6088917,46.27796815,497.0088716,111.7624658,43.46428273,437.3939022,460.1590442,30.3279579,203.1090378
