,PDS1,PDS1,PDS1,PDS1,PDS1,PDS1,PDS1,PDS1,PDS1,PDS1,PDS1,PDS1,PDS1,PDS1,PDS2,PDS2,PDS2,PDS2,PDS2,PDS2,PDS2,PDS2,PDS2,PDS2,PDS2,PDS2,PDS2,PDS2,PDS3,PDS3,PDS3,PDS3,PDS3,PDS3,PDS3,PDS3,PDS3,PDS3,PDS3,PDS3,PDS3,PDS3
,WIND ONSHORE,WIND OFFSHORE,Utility Scale Solar Photovoltaics,Distributed Solar Photovoltaics,Concentrated Solar Power,Geothermal,Ocean Power,Biomass (perennial corps),Microwind,Small Hydro (Small Hydro),Nuclear,Waste to Energy,Landfill Methane Capture,Large Methane Digesters,WIND ONSHORE,WIND OFFSHORE,Utility Scale Solar Photovoltaics,Distributed Solar Photovoltaics,Concentrated Solar Power,Geothermal,Ocean Power,Biomass (perennial corps),Microwind,Small Hydro (Small Hydro),Nuclear,Waste to Energy,Landfill Methane Capture,Large Methane Digesters,WIND ONSHORE,WIND OFFSHORE,Utility Scale Solar Photovoltaics,Distributed Solar Photovoltaics,Concentrated Solar Power,Geothermal,Ocean Power,Biomass (perennial corps),Microwind,Small Hydro (Small Hydro),Nuclear,Waste to Energy,Landfill Methane Capture,Large Methane Digesters
2014,687.04600000,24.68200000,112.63000000,75.00000000,9.00000000,76.06950000,0.99880000,62.54000000,1.22800000,547.67000000,2417.00000000,76.32310800,23.80215996,56.07086004,687.04600000,24.68200000,112.63000000,75.00000000,9.00000000,76.06950000,0.99880000,62.54000000,1.22800000,547.67000000,2417.00000000,76.32310800,23.80215996,56.07086004,687.04600000,24.68200000,112.63000000,75.00000000,12.39877119,76.06950000,0.99880000,62.54000000,1.22800000,547.67000000,2417.00000000,76.32310800,23.80215996,56.07086004
2015,848.49579988,23.57317074,162.20813168,107.90568517,8.60655170,77.35677189,2.07810242,72.92566758,1.61843124,579.08238248,2550.01874665,89.96204910,25.03847411,58.76548062,791.37200000,24.09046588,144.08000000,96.00000000,12.41636229,73.64635894,2.67564575,74.56447042,1.75127212,578.48129594,2570.31509933,94.86221533,25.03847411,58.94314920,791.37200000,36.21000000,144.08000000,96.00000000,12.41636229,80.68000000,1.00810000,74.56447042,1.40400000,578.48129594,2571.00000000,95.12685076,25.03847411,58.94314920
2016,1013.73765891,32.26561837,225.54904372,150.06094039,7.99826488,85.14525571,2.97118262,83.88121881,1.92164516,602.38663650,2639.49961894,95.96615288,27.53206837,65.83547328,913.05400000,32.62204689,188.43600000,125.62000000,28.92667083,83.21005946,4.26328823,87.75689209,2.09941228,607.78992401,2684.55356660,103.70051642,27.53206837,61.28636904,913.05400000,41.59600000,188.43600000,125.62000000,28.92667083,83.11200000,1.02360000,87.75689209,1.90400000,607.78992401,2606.00000000,104.10673909,27.53206837,61.28636904
2017,1183.38058948,43.72767202,291.54694658,193.99376318,10.21073710,95.59450331,3.50808534,95.19110709,2.23907203,624.51117275,2731.26352829,102.11587242,30.00845518,73.43169286,1077.12000000,44.19099063,255.48600000,170.32000000,53.22291333,97.50615596,5.24706050,101.60416316,2.46621488,635.92737652,2801.36816567,113.39623067,30.00845518,62.59811220,1077.12000000,57.33100000,255.48600000,170.32000000,53.22291333,85.97800000,1.04100000,101.60416316,2.49571328,635.92737652,2337.17746552,113.92456904,30.00845518,62.59811220
2018,1357.39430514,57.95047762,361.02577693,240.25326916,15.38251670,108.60429839,3.77689092,106.82962216,2.57050895,645.50202282,2825.16569215,108.40250829,32.46763454,81.51898182,1622.09042948,58.81648436,613.95656255,275.67880724,85.14850229,116.32051750,5.75270754,116.05764821,2.85169076,662.92850030,2920.60034930,123.92417028,32.46763454,63.33817745,1622.09042948,80.31740021,613.95656255,275.67880724,85.14850229,117.56872631,12.14504767,116.05764821,3.23041400,662.92850030,2282.57455865,124.61325079,32.46763454,63.33817745
2019,1535.74851944,74.92518107,434.80947147,289.38857397,23.65215199,124.07442463,3.86567968,118.77105377,2.91575299,665.40521829,2921.06132797,114.81736106,34.90960644,90.06218262,2113.34572716,76.51771532,790.92309092,366.97004918,124.54685018,139.43901318,5.90597430,131.06871179,3.25585072,688.82814219,3042.09157023,135.59210872,34.90960644,93.97323933,2113.34572716,114.72494513,790.92309092,366.97004918,124.54685018,161.14360997,16.01149713,131.06871179,4.11309706,688.82814219,2223.60143414,138.03623736,34.90960644,93.97323933
2020,1718.41294594,94.64292827,513.72196687,341.94879325,35.15819133,141.90466574,3.86253195,130.98969166,3.27460123,684.26679075,3018.80565321,121.35173130,37.33437090,99.02613773,2536.99358414,97.31387078,1059.76773035,521.20808622,171.26136949,166.64751207,5.83260577,146.58871847,3.67870559,713.66114902,3165.68328122,147.79472169,37.33437090,124.60830122,2536.99358414,145.75610597,1059.76773035,521.20808622,171.26136949,222.62122447,20.64978089,146.58871847,5.15020000,713.66114902,2154.54733727,151.48005705,37.33437090,124.60830122
2021,1905.35729818,117.09486514,598.58719982,398.48304262,50.03918303,161.99480540,3.85552807,143.45982557,3.64685075,702.13277179,3118.25388533,127.99691958,39.74192789,108.37568960,2996.08010615,121.22413798,1411.57711732,730.76782875,225.13547270,197.73188326,5.65834692,162.56903283,4.12026619,737.46236761,3291.21693503,160.71959221,39.74192789,136.08692954,2996.08010615,200.29017065,1411.57711732,730.76782875,225.13547270,262.62987235,33.24149587,162.56903283,5.55070471,737.46236761,2085.49324040,165.98786697,39.74192789,136.08692954
2022,2096.55128973,142.27213758,690.22910702,459.54043772,68.43367544,184.24462731,3.93274837,156.15574524,4.03229862,719.04919299,3219.26124178,134.74422647,42.13227744,118.07568070,3487.74048023,148.26770419,1779.59466803,952.00285429,286.01257229,232.47799581,5.50894272,178.96101943,4.58054332,760.26664480,3418.53398441,174.32407318,42.13227744,147.42309653,3487.74048023,250.57768211,1779.59466803,952.00285429,286.01257229,321.18929430,46.94257236,178.96101943,6.43801907,760.26664480,2010.92511783,181.59584811,42.13227744,147.42309653
2023,2291.96463413,170.16589151,789.47162514,525.67009419,90.48021688,208.55391516,4.18227319,169.05174042,4.43074193,735.06208593,3321.68294002,141.58495254,44.50541953,128.09095348,4015.88983801,178.46375665,2182.58850665,1196.77026710,353.73608076,270.67171882,5.51013813,195.71604283,5.05954781,782.10882741,3547.47588210,188.57001280,44.50541953,158.61680218,4015.88983801,306.66716833,2182.58850665,1196.77026710,353.73608076,384.92421359,61.92177395,195.71604283,7.39539016,782.10882741,1933.02807839,198.37033389,44.50541953,158.61680218
2024,2491.56704494,200.76727282,897.13869087,597.42112765,116.31735569,234.82245266,4.69218284,182.12210085,4.84197776,750.21748220,3425.37419749,148.51039836,46.86135418,138.38635041,4580.01543635,211.83148262,2617.94558036,1463.05128977,428.14941059,312.09892136,5.78767813,212.78546762,5.55729047,803.02376228,3677.88408087,203.19717059,46.86135418,169.66804649,4580.01543635,368.61003879,2617.94558036,1463.05128977,428.14941059,453.15582981,78.34786427,212.78546762,8.42281797,803.02376228,1852.06244726,216.48862855,46.86135418,169.66804649
2025,2695.32823570,234.06742743,1014.05424089,675.34265373,146.08364020,262.95002349,5.55055767,195.34111627,5.26580318,764.56141339,3530.19023166,155.51186450,49.20008136,148.92671395,5161.37352440,248.39006936,3108.25320304,1756.19141467,509.09597425,356.54547252,6.46730770,230.12065835,6.07378213,823.04629623,3809.60003346,218.38938670,49.20008136,180.57682947,5161.37352440,452.74577402,3108.25320304,1756.19141467,509.09597425,518.13262318,96.38960691,230.12065835,9.52030251,823.04629623,1767.01457897,236.05467074,49.20008136,180.57682947
