,PDS1,PDS1,PDS1,PDS1,PDS1,PDS1,PDS1,PDS1,PDS1,PDS1,PDS1,PDS1,PDS1,PDS1,PDS2,PDS2,PDS2,PDS2,PDS2,PDS2,PDS2,PDS2,PDS2,PDS2,PDS2,PDS2,PDS2,PDS2,PDS3,PDS3,PDS3,PDS3,PDS3,PDS3,PDS3,PDS3,PDS3,PDS3,PDS3,PDS3,PDS3,PDS3
2026,2903.21791997,270.05750124,1141.04221189,759.98378808,179.91761874,292.83641134,6.84547800,208.68307643,5.70201527,778.13991109,3635.98625998,162.58065153,51.52160110,159.67688656,5798.83513945,288.15870411,3575.29722176,2052.07905506,596.41918423,403.79724136,7.67477180,247.67297960,6.60903359,842.21127610,3942.46519263,233.94161793,51.52160110,191.34315111,5798.83513945,536.88150924,3575.29722176,2052.07905506,596.41918423,617.09511884,130.11576548,247.67297960,10.68784378,842.21127610,1663.89078476,256.83821217,51.52160110,191.34315111
2027,3115.20581130,308.72864017,1278.92654057,851.89364633,217.95783965,324.38139992,8.66502417,222.12227106,6.15041111,790.99900687,3742.61749990,169.70806002,53.82591338,170.60171070,6457.17288876,331.15657414,4092.06568380,2370.78824283,689.96245303,453.64009698,9.53581540,265.39379593,7.16305568,860.55354871,4076.32101114,249.83169215,53.82591338,201.96701141,6457.17288876,635.17468852,4092.06568380,2370.78824283,689.96245303,708.10495735,165.79510360,265.39379593,11.92544178,860.55354871,1557.20540377,278.85789167,53.82591338,201.96701141
2028,3331.26162325,350.07199012,1428.53116359,951.62134410,260.34285126,357.48477291,11.09727651,235.63298992,6.61078779,803.18473232,3849.93916889,176.88539055,56.11301821,181.66602883,7146.33305449,377.40286669,4630.74516964,2702.93593082,789.56919311,505.85990846,12.17618348,283.23447192,7.73585922,878.10796090,4211.00894173,266.25734351,56.11301821,212.44841038,7146.33305449,744.90044333,4630.74516964,2702.93593082,789.56919311,805.07158300,203.59638486,283.23447192,13.23309650,878.10796090,1448.49273184,301.68030929,56.11301821,212.44841038
2029,3551.35506936,394.07869699,1590.68001765,1059.71599704,307.21120190,392.04631401,14.23031535,249.18952273,7.08294237,814.74311904,3957.80648439,184.10394368,58.38291559,192.83468342,7865.45302820,426.91676902,5240.31948227,3046.50334159,895.08281697,560.24254487,15.72162101,301.14637212,8.32745502,894.90935949,4346.37043716,282.38649279,58.38291559,222.78734801,7865.45302820,866.71451913,5240.31948227,3046.50334159,895.08281697,907.80740621,243.68837288,301.14637212,14.61080796,894.90935949,1338.01309417,326.28913131,58.38291559,222.78734801
2030,3775.45586319,440.73990671,1766.19703944,1176.72672076,358.70143990,427.96580691,18.15222102,262.76615925,7.56667194,825.72019859,4066.07466385,191.35501998,60.63560551,204.07251692,8498.48001731,479.71746839,5868.53278949,3393.02940144,1006.34673708,616.57387529,20.29787296,319.08086111,8.93785389,910.99259132,4482.24695018,298.88862658,60.63560551,232.98382431,8498.48001731,992.06279501,5868.53278949,3393.02940144,1006.34673708,1014.12248218,286.24033420,319.08086111,16.05857614,910.99259132,1245.32032493,352.46821263,60.63560551,232.98382431
2031,4003.53371829,490.04676517,1955.90616563,1303.20263092,414.95211360,465.14303531,22.95107385,276.33718922,8.06177357,836.16200258,4174.59892474,198.62992002,62.87108798,215.34437179,9141.94190688,535.82415205,6352.11924168,3759.82222185,1123.20436594,674.63976880,26.03068430,336.98930346,9.56706667,926.39250321,4618.47993355,315.45487148,62.87108798,243.03783927,9141.94190688,1126.25138125,6352.11924168,3759.82222185,1123.20436594,1129.83628687,331.92076614,336.98930346,17.57640104,926.39250321,1152.62755569,381.38643898,53.31972000,243.03783927
2032,4235.55834822,541.99041828,2160.63133292,1439.69284313,476.10177132,503.47778290,28.71495417,289.87690238,8.56804435,846.11456258,4283.23448451,205.91994437,65.08936300,226.61509050,9882.64788884,595.25600725,6952.31229446,4125.53613650,1245.49911603,734.22609449,33.04580000,354.82306373,10.21510415,941.14394199,4754.91084002,331.98203721,65.08936300,252.94939290,9882.64788884,1263.48613322,6952.31229446,4125.53613650,1245.49911603,1248.75416511,387.83465002,354.82306373,19.16428268,941.14394199,1078.24230525,409.60586627,40.45930235,252.94939290
2033,4471.49946652,596.56201195,2381.19647799,1586.74647304,542.28896141,542.86983338,35.53194233,303.35958847,9.08528135,855.62391019,4391.83656062,213.21639361,67.29043057,237.84951551,10643.71124160,658.03222125,7561.35110692,4494.59466429,1373.07439983,795.11872144,41.46896504,372.53350649,10.88197717,955.28175450,4891.38112233,348.40649510,67.29043057,262.71848519,10643.71124160,1420.80385926,7561.35110692,4494.59466429,1373.07439983,1372.69088250,445.09018592,372.53350649,20.82222104,955.28175450,1003.13138982,385.55054606,27.28291882,262.71848519
2034,4711.32678675,653.75269210,2618.42553752,1744.91263628,613.65223219,583.21897044,43.49011864,316.75953724,9.61328166,864.73607698,4500.26037051,220.51056831,69.47429068,249.01248928,11424.17689102,724.17198130,8176.62262624,4864.97902779,1505.77362982,857.10351872,51.42592438,390.07199632,11.56769654,968.84078756,5027.73223326,364.46153482,69.47429068,272.34511614,11424.17689102,1589.72171827,8176.62262624,4864.97902779,1505.77362982,1501.45884942,503.71647661,390.07199632,22.55021613,968.84078756,927.55513458,369.94989691,19.34522439,272.34511614
2035,4955.01002245,713.55360462,2873.14244821,1914.74044847,690.33013200,624.42497778,52.67756343,330.05103843,10.15184234,873.49709454,4608.36113165,227.79376903,71.64094334,260.06885426,12020.90157385,793.69447466,8795.63808464,5233.06191301,1643.44021849,919.96635541,63.04242300,407.38989777,12.27227307,981.85588800,5163.80562553,379.96801588,71.64094334,281.82928576,12020.90157385,1762.93153496,8795.63808464,5233.06191301,1643.44021849,1651.32859509,560.15336608,407.38989777,24.31440000,981.85588800,851.80152003,358.36175644,14.17295158,281.82928576
2036,5202.51888719,775.95589542,3146.17114673,2096.77902525,772.46120917,666.38763908,63.18235705,343.20838177,10.70076049,881.95299445,4715.99406148,235.05729634,73.79038855,270.98345293,12618.67771258,866.61888858,9415.41157414,5601.65015229,1785.91757833,983.49310060,76.44420587,424.43857543,12.99571758,994.36190266,5299.44275192,394.82245219,73.79038855,291.17099404,12618.67771258,1934.47475201,9415.41157414,5601.65015229,1785.91757833,1772.73817347,630.19751076,424.43857543,26.21637650,994.36190266,776.04790547,344.83734952,8.51444635,291.17099404
2037,5453.82309452,840.95071042,3438.33556977,2291.57748226,860.18401203,709.00673804,75.09257982,356.20585702,11.25983317,890.14980832,4823.01437747,242.29245081,75.92262630,281.72112773,13267.46563833,942.96441031,10033.70289709,5963.89935846,1933.04912181,1047.46962336,91.75701796,441.16939384,13.73804090,1006.39367836,5434.48506518,408.98981086,75.92262630,300.37024098,13267.46563833,2083.30522012,10033.70289709,5963.89935846,1933.04912181,1914.87435139,695.05413338,441.16939384,28.15454177,1006.39367836,700.63758197,329.33189273,2.35989330,300.37024098
2038,5708.89235798,908.52919552,3750.45965403,2499.68493513,953.63708891,752.18205836,88.49631208,369.01775392,11.82885747,898.13356770,4929.27729707,249.49053303,78.03765660,292.24672114,13897.84853666,1022.75022711,10647.77471559,6319.39929069,2084.67826142,1111.68179278,109.10660424,457.53371760,14.49925384,1017.98606194,5568.77401805,422.49791400,78.03765660,309.42702659,13897.84853666,2235.10897728,10647.77471559,6319.39929069,2084.67826142,2061.09142044,761.73489038,457.53371760,30.16276378,1017.98606194,625.80321942,311.68246413,0.00000000,309.42702659
2039,5967.69639112,978.68249664,4083.36733617,2721.65049949,1052.95898815,795.81338374,103.48163415,381.61836220,12.40763046,905.95030421,5034.63803773,256.64284355,80.13547945,302.52507561,14506.41206206,1105.99552623,11255.01397683,6666.13117156,2240.64840965,1175.91547794,128.61870969,473.48291125,15.27936721,1029.17390021,5702.15106329,435.57199889,73.71537422,318.34135087,14506.41206206,2408.49957434,11255.01397683,6666.13117156,2240.64840965,2211.20179101,830.29230597,473.48291125,32.24104250,1029.17390021,551.80514301,291.74998241,0.00000000,318.34135087
2040,6230.20490751,1051.40175967,4437.88255290,2958.02329098,1158.28825808,839.80049785,120.13662636,393.98197162,12.99594923,913.64604941,5138.95181691,263.74068294,82.21609485,312.52103361,15018.12929502,1192.71949493,11862.79670994,7062.38976225,2400.80297898,1239.95654791,150.41907927,488.96833938,16.07839183,1039.99204002,5834.45765366,447.76232551,65.53612785,327.11321380,15018.12929502,2545.85941687,11862.79670994,7062.38976225,2400.80297898,2365.07195614,902.80985491,488.96833938,34.38937796,1039.99204002,411.70000000,268.68422895,0.00000000,327.11321380
2041,6496.38762070,1126.67813052,4814.82924089,3209.35242522,1269.76344703,884.04318441,138.54936906,406.08287190,13.59361085,921.26683489,5242.07385206,270.77535178,84.27950279,322.19943759,15535.86396533,1282.94132046,12438.54261623,7325.21566957,2564.98538188,1303.59087178,174.63345796,503.94136655,16.89633852,1050.47532819,5965.53524190,435.97346468,58.09432259,335.74261541,15535.86396533,2685.24678415,12438.54261623,7325.21566957,2564.98538188,2522.35207833,977.79720981,503.94136655,36.60777015,1050.47532819,326.53961999,244.44301543,0.00000000,335.74261541
2042,6766.21424423,1204.50275511,5215.03133683,3476.18701786,1387.52310334,928.44122710,158.80794256,417.89535281,14.20041240,928.85869225,5343.85936064,277.73815064,86.32570328,331.52513002,15965.78182105,1376.68019008,13009.60588875,7633.53073189,2733.03903086,1366.60431862,201.38759073,518.35335732,17.73321810,1060.65861156,6095.22528077,417.58349536,49.90054386,344.22955567,15965.78182105,2854.58745954,13009.60588875,7633.53073189,2733.03903086,2683.01681587,1056.84974649,518.35335732,38.89621906,1060.65861156,241.37923999,216.55072877,0.00000000,344.22955567
2043,7039.65449165,1284.86677934,5639.31277740,3759.07618451,1511.70577533,972.89440962,181.00042720,429.39370407,14.81615097,936.46765306,5444.16356010,284.62038008,88.35469632,340.46295336,16429.40554560,1473.95529103,13563.38439271,7925.00263319,2904.80733839,1428.78275752,230.80722254,532.15567627,18.58904139,1070.57673694,6223.36922302,398.41819885,41.56592000,352.57403460,16429.40554560,3025.71675186,13563.38439271,7925.00263319,2904.80733839,2846.82449652,1137.98903864,532.15567627,41.25472470,1070.57673694,210.96659734,185.80243840,0.00000000,352.57403460
2044,7316.67807653,1367.76134912,6088.49749930,4058.56904083,1642.45001134,1017.30251565,205.21490332,440.55221544,15.44062362,944.13974891,5542.84166790,291.41334068,90.36648190,348.97775006,16886.74309937,1574.78581058,14097.26507529,8197.61259606,3080.13371695,1489.91205755,263.01809838,545.29968796,19.46381920,1080.26455118,6349.80852141,378.48817231,33.09677191,360.77605219,16886.74309937,3197.86095180,14097.26507529,8197.61259606,3080.13371695,3013.58753069,1221.26761047,545.29968796,43.68328707,1080.26455118,180.45430069,152.04898508,0.00000000,360.77605219
2045,7597.25471241,1453.17761036,6563.40943920,4375.21470243,1779.89435971,1061.56532891,231.53945124,451.34517665,16.07362744,951.92101139,5639.74890150,298.10833301,92.36106004,357.03436259,17324.13436168,1679.19093598,14631.73108888,8407.31877698,3258.86157903,1549.77808781,298.14596321,557.73675697,20.35756235,1089.75690110,6474.38462869,357.83792691,24.51214154,368.83560845,17324.13436168,3343.09627846,14631.73108888,8407.31877698,3258.86157903,3176.51092537,1306.73798619,557.73675697,46.18190617,1089.75690110,151.66666667,115.15975123,0.00000000,368.83560845
2046,7881.35411284,1541.10670896,7064.87253380,4709.56228495,1924.17736876,1105.58263307,260.06215130,461.74687745,16.71495951,959.85747208,5734.74047834,304.69665764,94.33843071,364.59763342,17749.65438779,1787.18985447,15164.63698002,8715.09729569,3440.83433712,1608.16671735,336.31656201,569.41824786,21.27028165,1099.08863353,6596.93899761,336.33915930,15.76349871,376.75270337,17749.65438779,3494.66444952,15164.63698002,8715.09729569,3440.83433712,3355.22930116,1394.45269004,569.41824786,48.75058199,1099.08863353,119.13074533,97.98211671,0.00000000,376.75270337
2047,8168.94599138,1631.53979084,7593.71071977,5062.16090404,2075.43758683,1149.25421184,290.87108382,471.73160757,17.36441690,967.99516257,5827.67161588,311.16961514,96.29859394,371.63240499,18130.01220191,1898.80175333,15785.36559074,9021.68118919,3625.89540369,1664.86381528,377.65563974,580.29552519,22.20198793,1108.29459531,6717.31308092,314.01180855,6.85929171,384.52733696,18130.01220191,3652.61241858,15785.36559074,9021.68118919,3625.89540369,3529.73285825,1484.46424621,580.29552519,51.38931454,1108.29459531,88.31948664,97.97309963,0.00000000,384.52733696
2048,8460.00006158,1724.46800190,8150.74793381,5433.55967531,2233.81356225,1192.47984891,324.05432914,481.27365677,18.02179670,976.38011444,5918.39753158,317.51850607,92.32253337,378.10351978,18463.05274938,2014.04581979,16406.74572660,9383.02598949,3813.88819123,1719.65525066,422.28894138,590.31995355,23.15269201,1117.40963325,6835.34833139,290.88696013,0.00000000,392.15950921,18463.05274938,3808.14799851,16406.74572660,9383.02598949,3813.88819123,3706.44141045,1576.82517894,590.31995355,54.09810382,1117.40963325,57.40857393,97.79706070,0.00000000,392.15950921
2049,8754.48603699,1819.88248805,8736.80811260,5824.30771440,2399.44384336,1235.15932796,359.69996759,490.34731478,18.68689597,985.05835928,6006.77344289,323.73463101,86.01206152,383.97582024,18782.79644406,2132.94124112,17028.10063313,9744.02502175,4004.65611223,1772.32689258,470.34221189,599.44289749,24.12240469,1126.46859420,6950.88620175,266.97155489,0.00000000,399.64922012,18782.79644406,3960.79380263,17028.10063313,9744.02502175,4004.65611223,3885.16736815,1671.58801244,599.44289749,56.87694983,1126.46859420,26.39800721,97.45344896,0.00000000,399.64922012
2050,9052.37363117,1917.77439520,9352.71519282,6234.95413695,2572.46697847,1277.19243271,397.89607951,498.92687135,19.35951181,994.07592867,6092.65456727,329.80929054,79.46937716,389.21414884,19091.95454062,2255.50720457,17741.90765134,10105.49930543,4198.04257917,1822.66461012,521.94119626,607.61572158,25.11113680,1135.50632497,7063.76814477,242.05962846,0.00000000,406.99646970,19091.95454062,4107.84868562,17741.90765134,10105.49930543,4198.04257917,4064.83927636,1768.80527092,607.61572158,59.72585256,1135.50632497,0.00000000,96.86009886,0.00000000,406.99646970
2051,9353.63255766,2018.13486925,9999.29311117,6666.04805858,2753.02151594,1318.47894683,438.73074521,506.98661622,20.03944129,1003.47885420,6175.89612217,335.73378521,77.40954216,393.78334803,19382.35489621,2381.76289739,18181.98452182,10420.01590280,4393.89100453,1870.45427236,577.21163945,614.78979039,26.11889915,1144.55767241,7173.83561320,230.40065555,0.00000000,414.20125794,19382.35489621,4255.50653681,18181.98452182,10420.01590280,4393.89100453,4247.92114164,1872.37306297,614.78979039,62.64481202,1144.55767241,0.00000000,96.26175052,0.00000000,414.20125794
2052,9658.23253001,2120.95505612,10677.36580432,7118.13859494,2941.24600409,1358.91865403,482.29204504,514.50083913,20.72648149,1013.31316746,6256.35332505,341.49941560,75.13874815,397.64826028,19661.81287568,2511.72750683,18797.65812830,10789.26159435,4592.04480079,1915.48174837,636.27928644,620.91646850,27.14570256,1153.65748334,7280.93005979,217.46656765,0.00000000,421.26358485,19661.81287568,4396.61869352,18797.65812830,10789.26159435,4592.04480079,4431.57377823,1976.03277402,620.91646850,65.63382821,1153.65748334,0.00000000,95.41299999,0.00000000,421.26358485
2053,9966.14326179,2226.22610171,11387.75720896,7591.77486165,3137.27899125,1398.41133800,528.66805933,521.44382983,21.42042949,1023.62490002,6333.88139336,347.09748228,72.77106760,400.77372805,19927.29149306,2645.42022016,19410.68456034,11160.81138409,4792.34738045,1957.53290724,699.26988219,625.94712046,28.19155786,1162.84060459,7384.89293729,203.80368778,0.00000000,428.18345042,19927.29149306,4532.93152776,19410.68456034,11160.81138409,4792.34738045,4616.49346190,2081.92500484,625.94712046,68.69290113,1162.84060459,0.00000000,94.39534293,0.00000000,428.18345042
2054,10277.33446654,2333.93915194,12131.29126177,8087.50597435,3341.25902576,1436.85678244,577.94686841,527.78987806,22.12108236,1034.46008349,6408.33554455,352.51928583,70.30943891,403.12459379,20178.35661808,2782.86022462,20020.38706348,11534.51072845,4994.64215598,1996.39361805,766.30917167,629.83311085,29.25647585,1172.14188299,7485.56569846,189.41831552,0.00000000,434.96085465,20178.35661808,4663.96765287,20020.38706348,11534.51072845,4994.64215598,4802.49260307,2190.00604320,629.83311085,71.82203078,1172.14188299,0.00000000,93.20864832,0.00000000,434.96085465
2055,10591.77585782,2444.08535270,12908.79189945,8605.88104867,3553.32465595,1474.15477102,630.21655260,533.51327355,22.82823719,1045.86474943,6479.57099609,357.75612680,67.75630469,404.66569998,20414.52146783,2924.06670747,20626.08888324,11911.81090912,5198.77253987,2031.84974987,837.52289987,632.52580424,30.34046735,1181.59616537,7582.78979605,188.14581656,0.00000000,441.59579755,20414.52146783,4789.24968216,20626.08888324,11911.81090912,5198.77253987,4989.38361213,2300.23217685,632.52580424,75.02121715,1181.59616537,0.00000000,91.85286027,0.00000000,441.59579755
2056,10909.43714918,2556.65584990,13721.08305868,9147.44920024,3773.61443014,1510.20508746,685.56519224,538.58830606,23.54169105,1057.88492944,6547.44296543,362.79930578,65.11392327,405.36188906,20635.26603512,3069.05885597,21227.11326516,12287.73990674,5404.58194461,2063.68717180,913.03681175,633.97656519,31.44354319,1191.23829856,7676.40668281,190.28816876,0.00000000,448.08827911,20635.26603512,4908.30022898,21227.11326516,12287.73990674,5404.58194461,5176.97889947,2412.55969356,633.97656519,78.29046025,1191.23829856,0.00000000,90.32799520,0.00000000,448.08827911
2057,11230.28805416,2671.64178946,14568.98867614,9712.75954470,4002.26689669,1544.90751545,744.08086767,542.98926532,24.26124102,1070.56665510,6611.80667001,367.64012333,62.38396270,405.17800351,20840.04529549,3217.85585736,21822.78345479,12666.96065354,5611.91378267,2091.69175290,992.97665227,634.13675828,32.56571417,1201.10312939,7766.25781150,189.97689611,0.00000000,454.43829933,20840.04529549,5020.64190666,21822.78345479,12666.96065354,5611.91378267,5365.09087549,2526.94488107,634.13675828,81.62976008,1201.10312939,0.00000000,88.63413922,0.00000000,454.43829933
2058,11554.29828632,2789.03431729,15453.33268853,10302.36119768,4239.42060390,1578.16183868,805.85165921,546.69044109,24.98668418,1083.95595800,6672.51732730,372.26988002,59.56764798,404.07888578,21028.28692653,3370.47689891,22412.42269765,13047.71278066,5820.61146655,2115.64936227,1077.46816642,632.95774806,33.70699112,1211.22550469,7852.18463487,191.82066971,0.00000000,460.64585822,21028.28692653,5125.79732852,22412.42269765,13047.71278066,5820.61146655,5553.53195059,2643.34402716,632.95774806,85.03911664,1211.22550469,0.00000000,85.28085389,0.00000000,460.64585822
2059,11881.43755922,2908.82457928,16374.93903251,10916.80327481,4485.21410013,1609.86784083,870.96564720,549.66612309,25.71781762,1098.09886972,6729.43015475,376.67987642,56.66584856,402.02937834,21199.40157074,3526.94116786,22995.35423928,13429.84174456,6030.51840871,2135.34586897,1166.63709917,630.39089911,34.86738485,1221.64027129,7934.02860568,195.06078516,0.00000000,466.71095578,21199.40157074,5223.28910791,22995.35423928,13429.84174456,6030.51840871,5742.11453517,2761.71341957,630.39089911,88.51852992,1221.64027129,0.00000000,81.45458417,0.00000000,466.71095578
2060,12211.67558641,3031.00372136,17334.63164479,11556.63489172,4739.78593370,1639.92530562,939.51091196,551.89060108,26.45443840,1113.04142186,6782.40036982,380.86141310,53.67979713,398.99432364,21352.78200498,3687.26785147,23570.90132522,13813.19300164,6241.47802166,2150.56714209,1260.60919548,626.38757600,36.04690619,1232.38227602,8011.63117666,198.25649026,0.00000000,472.63359200,21352.78200498,5312.63985814,23570.90132522,13813.19300164,6241.47802166,5930.65103962,2882.00934607,626.38757600,92.06799994,1232.38227602,0.00000000,79.28242423,0.00000000,472.63359200
