,Total Area (km2),"AEZ1: Forest, prime, minimal","AEZ2: Forest, good, minimal","AEZ3: Forest, good, moderate","AEZ4: Forest, good, steep","AEZ5: Forest, marginal, minimal","AEZ6: Forest, marginal, moderate","AEZ7: Forest, marginal, steep","AEZ8: Grassland, prime, minimal","AEZ9: Grassland, good, minimal","AEZ10: Grassland, good, moderate","AEZ11: Grassland, good, steep","AEZ12: Grassland, marginal, minimal","AEZ13: Grassland, marginal, moderate","AEZ14: Grassland, marginal, steep","AEZ15: Irrigated Cropland, prime, minimal","AEZ16: Irrigated Cropland, good, minimal","AEZ17: Irrigated Cropland, good, moderate","AEZ18: Irrigated Cropland, good, steep","AEZ19: Irrigated Cropland, marginal, minimal","AEZ20: Irrigated Cropland, marginal, moderate","AEZ21: Irrigated Cropland, marginal, steep","AEZ22: Rainfed Cropland, prime, minimal","AEZ23: Rainfed Cropland, good, minimal","AEZ24: Rainfed Cropland, good, moderate","AEZ25: Rainfed Cropland, good, steep","AEZ26: Rainfed Cropland, marginal, minimal","AEZ27: Rainfed Cropland, marginal, moderate","AEZ28: Rainfed Cropland, marginal, steep",AEZ29: All Barren Land
OECD90,520107.5344936428,52650.888951342764,52286.58662430595,24266.23924898448,7019.421932385163,19183.426150559426,8903.040696259632,2575.3557643200875,80226.57104634355,79671.46690461905,36975.580202175755,10695.814706627067,29230.665077705027,13565.970891907331,3924.1875362593782,303.68437780757574,301.5831231521744,139.96492585088035,40.48723249621172,110.64783426798424,51.35173267326531,14.85436102785409,6543.628270918237,6498.351561372792,3015.8892345628847,872.397194370403,2384.180252072866,1106.4996234160324,320.0738130490271,77228.72522280994
Eastern Europe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Asia (Sans Japan),5194253.442940919,287156.08401149197,234919.4595765082,231550.8380448563,113294.1965306594,145300.09759951857,143216.57059751023,70073.6237135887,327076.19073345186,267577.6911777723,263740.7677763817,129044.2247149887,165499.5491376996,163126.3726213354,79815.17784666769,90544.32031007553,74073.38370763531,73011.2103324297,35723.24109119048,45815.148313589416,45158.18317599204,22095.19137528343,266814.9701260364,218278.60205261124,215148.60166822915,105268.83930333666,135007.55637402486,133071.61900145852,65109.857874423615,1047741.8741521708
Middle East and Africa,9489634.173598235,364595.0738149697,443798.89418930345,256422.04809468164,43438.87369000617,162375.79283792537,93818.92092488702,15893.283304109802,814286.3879036584,991180.1460280955,572692.826419926,97016.35071896052,362649.98440458433,209535.11367439808,35496.0480354733,5835.598456029278,7103.310844602714,4104.213730305621,695.2694713744181,2598.9378190622774,1501.637266699473,254.38308461009996,303355.53738260205,369255.81749610865,213351.89031101982,36142.62456605291,135102.19811492276,78060.54227783812,13223.753812809226,3855848.714923219
Latin America,11062563.150252229,1627748.413863102,2055087.4290444148,782144.4124685413,238416.7113659824,385082.5421021643,146558.318827554,44674.55349826202,1324050.8317310186,1671658.9594140223,636215.6160269113,193934.051659443,313235.6670189616,119214.16251310373,36339.38710233663,23790.040265296422,30035.730503118753,11431.279494687398,3484.5330611351483,5628.098976506617,2141.9945959872985,652.9322452451045,238255.56437292532,300805.70871553675,114483.45261879946,34897.35123601008,56365.01170409261,21451.92381599994,6539.070083672063,638239.4019273988
TOTAL,26266558.30128503,2332150.4606409064,2786092.3694345322,1294383.5378570636,402169.20351903315,711941.8586901677,392496.85104621085,133216.81628028062,2545639.9814144727,3010088.263524509,1509624.7904253947,430690.4418000193,870615.8656389506,505441.6197007446,155574.800520737,120473.64340920882,111514.00817850896,88686.66848327362,39943.53085619626,54152.8329434263,48853.16677135207,23017.36106616649,814969.7001524819,894838.4798256294,545999.8338326113,177181.21229977006,328858.9464451131,233690.5847187126,85192.75558395393,5619058.716225598
China,29481.112616193277,900.3887202235329,757.6386936755854,1150.6833411263472,633.9519987703958,552.4448808051143,839.0399362379613,462.25666577008013,1731.4006108848043,1456.899745183623,2212.704129907928,1219.056673289073,1062.3227308630583,1613.4300947245304,888.8954909399488,387.3146901854941,325.90878730760915,494.98239122688636,272.7032408127818,237.64182407846494,360.9246602696046,198.84611309265338,620.5673231553349,522.1809264074722,793.0757735669274,436.93338893478096,380.75692550544835,578.2844182258845,318.5972627649444,8071.281178257004
India,952829.8869488739,56310.80044506897,67115.43348724519,21328.109073101314,6158.602187369353,52733.5548828355,16757.799986008176,4838.901718647348,25449.40835347075,30332.51277085475,9639.141211253209,2783.3520517228876,23832.688605671592,7573.61095169895,2186.9194692108404,50799.500400597026,60546.65292224792,19240.665677624256,5555.842073130807,47572.3701531948,15117.665889561917,4365.3044860313485,98695.08154671775,117632.1971755424,37381.4516499446,10794.088172998763,92425.29778078332,29371.140582099335,8481.069278784744,27810.723965456174
EU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
USA,7815.6182868400865,3.0,998.0583713966431,752.0612082441343,218.47480928908695,172.7408719724959,130.16443988840783,37.81294776157274,1578.7077160175688,1067.186117377441,804.1506427456075,233.60686123370937,184.70528954609554,139.17991893673974,40.43195675198816,18.853257798035294,12.744559860742038,9.603335197716865,2.7897820055881497,2.2057892066668914,1.6621157072971495,0.4828468855825644,102.15909366423307,69.05823377955667,52.03705537060131,15.116835735486093,11.952386615692502,9.00641342952715,2.6163754157572088,1145.0490550061136
