,Total Area (km2),"AEZ1: Forest, prime, minimal","AEZ2: Forest, good, minimal","AEZ3: Forest, good, moderate","AEZ4: Forest, good, steep","AEZ5: Forest, marginal, minimal","AEZ6: Forest, marginal, moderate","AEZ7: Forest, marginal, steep","AEZ8: Grassland, prime, minimal","AEZ9: Grassland, good, minimal","AEZ10: Grassland, good, moderate","AEZ11: Grassland, good, steep","AEZ12: Grassland, marginal, minimal","AEZ13: Grassland, marginal, moderate","AEZ14: Grassland, marginal, steep","AEZ15: Irrigated Cropland, prime, minimal","AEZ16: Irrigated Cropland, good, minimal","AEZ17: Irrigated Cropland, good, moderate","AEZ18: Irrigated Cropland, good, steep","AEZ19: Irrigated Cropland, marginal, minimal","AEZ20: Irrigated Cropland, marginal, moderate","AEZ21: Irrigated Cropland, marginal, steep","AEZ22: Rainfed Cropland, prime, minimal","AEZ23: Rainfed Cropland, good, minimal","AEZ24: Rainfed Cropland, good, moderate","AEZ25: Rainfed Cropland, good, steep","AEZ26: Rainfed Cropland, marginal, minimal","AEZ27: Rainfed Cropland, marginal, moderate","AEZ28: Rainfed Cropland, marginal, steep",AEZ29: All Barren Land
OECD90,2060793.9467451482,217700.19120118747,216193.87881348506,100335.72138012218,29023.81189070288,79319.37378550452,36812.173553970824,10648.546557717045,331719.7525828141,329424.5154045459,152886.13431061953,44224.911545881914,120862.56287591072,56092.39493994623,16225.678121835324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,319324.29978090455
Eastern Europe,1079998.5832181524,152574.56382350822,153430.2502966754,97779.11362563616,23087.638527700376,25374.36628297187,16170.755370363748,3818.244417107732,129358.4043307009,130083.88722904511,82900.77846864371,19574.560823664448,21513.333880901057,13710.169369726002,3237.2499895396163,1.8531686093728625,1.8635617658191284,1.187623804928174,0.2804221484360529,0.30819671313448305,0.19640977821749142,0.04637634556755002,45.95920138900468,46.216955145336115,29.453467617035304,6.954563081160427,7.643381576148358,4.8710281979804515,1.150148882754067,207237.2822769133
Asia (Sans Japan),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Middle East and Africa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Latin America,22096.575714942323,3503.94214012884,4423.845468347284,1683.668522219998,513.2232688733307,828.9407227849351,315.4860204148808,96.16784096412934,2850.1932273209027,3598.4653536927613,1369.5376313800607,417.4685044863427,674.2808926192035,256.6241344007621,78.22530111526231,21.87641239398292,27.619710589530218,10.511768018377763,3.204243515176345,5.175384859848947,1.9696964193817055,0.6004115547104611,12.842328232548834,16.213873769188595,6.170827865429482,1.8810189814408937,3.038157715395088,1.1562905050708188,0.3524655743977248,1373.8940961991464
TOTAL,3162889.105678243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
China,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
India,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EU,27832.21927949553,5439.316764498583,3263.6373923229926,3147.8706703722632,745.3854728407325,1288.7433649193506,1243.029464489293,294.33741159186286,4317.353614881232,2590.449739087061,2498.562118428696,591.6354580878228,1022.9153892091202,986.6308553573355,233.62468908318075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,168.7268743260055
USA,188997.36026027804,31078.217929098195,21008.4757236945,15830.396386555864,4598.751795213895,3636.082336793278,2739.8762976731296,795.937810710097,33230.76452968654,22463.56954875712,16926.844902541783,4917.271588283138,3887.9254988233483,2929.6462331322323,851.06623643362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24102.53344288133
