,Total Area (km2),"AEZ1: Forest, prime, minimal","AEZ2: Forest, good, minimal","AEZ3: Forest, good, moderate","AEZ4: Forest, good, steep","AEZ5: Forest, marginal, minimal","AEZ6: Forest, marginal, moderate","AEZ7: Forest, marginal, steep","AEZ8: Grassland, prime, minimal","AEZ9: Grassland, good, minimal","AEZ10: Grassland, good, moderate","AEZ11: Grassland, good, steep","AEZ12: Grassland, marginal, minimal","AEZ13: Grassland, marginal, moderate","AEZ14: Grassland, marginal, steep","AEZ15: Irrigated Cropland, prime, minimal","AEZ16: Irrigated Cropland, good, minimal","AEZ17: Irrigated Cropland, good, moderate","AEZ18: Irrigated Cropland, good, steep","AEZ19: Irrigated Cropland, marginal, minimal","AEZ20: Irrigated Cropland, marginal, moderate","AEZ21: Irrigated Cropland, marginal, steep","AEZ22: Rainfed Cropland, prime, minimal","AEZ23: Rainfed Cropland, good, minimal","AEZ24: Rainfed Cropland, good, moderate","AEZ25: Rainfed Cropland, good, steep","AEZ26: Rainfed Cropland, marginal, minimal","AEZ27: Rainfed Cropland, marginal, moderate","AEZ28: Rainfed Cropland, marginal, steep",AEZ29: All Barren Land
OECD90,4336538.468325407,389794.64153143193,387097.57225483126,179652.23793496157,51967.4617159938,142022.23112723543,65912.61089523861,19066.34241060528,593947.9489359678,589838.3009462429,273744.343493297,79185.20166505163,216405.77856565887,100434.06419450395,29052.259220389235,18467.48881356014,18339.708461066493,8511.470761527682,2462.0875087936324,6728.65577195878,3122.773570201083,903.3153041816951,185549.81720911112,184265.95987000703,85517.95319472563,24737.520722040455,67605.33936986842,31375.682475616046,9075.949159370006,571753.7512419707
Eastern Europe,2603364.552026823,287122.5427567779,288732.8169061607,184005.688950696,43447.48766898531,47750.76779138856,30430.946573817335,7185.365754510702,243433.19782551826,244798.44829243163,156006.88420100787,36836.400093131306,40484.88143938004,25800.491198620733,6092.021010862329,24141.120186688742,24276.51123401134,15471.106550334964,3653.0430928760347,4014.8607392178183,2558.618809863149,604.1419687896152,160423.28902914276,161322.99363889688,102809.05685120478,24275.310482381872,26679.671854433578,17002.609724647467,4014.6621583538613,389989.6152426918
Asia (Sans Japan),2625709.680988976,146611.88123093505,119941.68267348327,118221.78200827308,57844.06533849553,74185.1621407797,73121.38592161499,35777.1482804688,166993.69541256322,136615.83669400294,134656.8374272684,65885.48040895718,84498.29759128024,83286.63643231518,40750.84606047663,66386.67650370758,54310.26203403488,53531.48143234562,26192.114998083613,33591.454656103844,33109.77085843953,16200.092033329078,109907.19792307678,89913.95612786054,88624.6372729886,43362.64622250811,55612.704986162025,54815.248037352816,26820.24188060868,534940.458401459
Middle East and Africa,6279959.876804531,245360.32454525345,298661.8540171873,172563.48606892905,29232.91320131539,109273.49295241747,63137.004693316325,10695.64958402334,547987.5806281961,667031.1800089934,385403.171482352,65288.76830266963,244051.34424552543,141010.14299734627,23887.656448363246,18506.858997565047,22527.247754874912,13015.992339938935,2204.958783403548,8242.201056710861,4762.251784404937,806.7436294182813,161504.93908937753,196589.91171765438,113587.4569707492,19242.148765224385,71927.72040904572,41559.03411107163,7040.259005976411,2594857.5832132245
Latin America,1427174.2413663699,209079.43585941446,263969.85962138843,100464.12033135553,30623.916501662028,49462.70564684517,18824.979560721164,5738.313343227387,170070.38593298986,214719.6146572404,81720.0010462082,24910.2513444667,40234.18852299362,15312.704120864564,4667.686044185217,4948.640134713064,6247.825551601976,2377.855937514012,724.8285402115148,1170.718341234011,445.5629459990392,135.81846344251983,30628.272317242077,38669.2297632962,14717.097465720852,4486.130595187148,7245.8451586688925,2757.6915825427022,840.6117177215367,81979.95031771138
TOTAL,17272746.819512106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
China,1424976.342012652,45630.79028870749,38396.36322536123,58315.46869513222,32128.046541739433,27997.348185159226,42521.6959235339,23426.700603351666,87745.63297662203,73834.20654985649,112137.60885156266,61780.56006198422,53837.44227593701,81767.00645426442,45048.32504519682,15114.731373518882,12718.401592422493,19316.401023760136,10642.085967870686,9273.834494474733,14084.875746491763,7759.854351572374,24217.280228086383,20377.808100292325,30949.32255362914,17051.07234302832,14858.818406463151,22567.214362021245,12433.073583458148,409044.3722071533
India,627107.2800332296,28697.700943311385,34204.07139792896,10869.454723224153,3138.611463610008,26874.62752694418,8540.285853961836,2466.0518642650063,12969.794503712628,15458.37341108847,4912.400279245471,1418.4810759032669,12145.864822998084,3859.743076550014,1114.5208453525668,37911.062228583025,45185.24608641196,14359.079677389938,4146.258780217577,35502.69335360939,11282.134032234953,3257.7747558852393,73654.96409741696,87787.50798806133,27897.33222807762,8055.499467521511,68975.89913347676,21919.332464918134,6329.321010195474,14173.192941133773
EU,51094.82616967319,5709.387964118007,3425.6824622884546,3304.1677284408443,782.3951116510484,1352.7316343352848,1304.7479620822276,308.95175770980194,4531.717462481074,2719.069913068335,2622.6199179398254,621.0111508119614,1073.7048538117292,1035.6187320015188,245.2245467074363,1499.7984662297533,899.8921311741838,867.9714397455507,205.52728170070546,355.3489171076049,342.74409177405033,81.15850162298936,6217.3285691036435,3730.4512454433548,3598.125848909458,852.0015648904246,1473.0785662736569,1420.825985397324,336.437916245314,177.10444660763395
USA,1493869.2233160238,207126.86281637775,140015.09607565645,105504.77341292595,30649.280933254555,24233.382013094382,18260.441552237182,5304.683238447903,221472.93071071725,149712.85351388188,112812.26903168863,32772.11840205238,25911.840031248794,19525.200409330726,5672.097415739836,14233.714066168812,9621.807695001044,7250.265643751036,2106.212082806335,1665.3128702886418,1254.853669110756,364.5367066395579,77127.43039174822,52137.15125856308,39286.60897363424,11412.813623466953,9023.737717828226,6799.605399282849,1975.2946656000495,160636.0489954805
