VMA number,Title on xls,Fixed Mean,Fixed High,Fixed Low
1,Current Adoption,15670.037319988645,15670.037319988645,15670.037319988645
2,CONVENTIONAL First Cost per Implementation Unit,7.0,7.0,7.0
3,SOLUTION First Cost per Implementation Unit,11520609.511049619,11520609.511049619,11520609.511049619
4,CONVENTIONAL Lifetime Capacity,34.62518245159868,34.62518245159868,34.62518245159868
5,SOLUTION Lifetime Capacity,34.62518245159868,34.62518245159868,34.62518245159868
6,CONVENTIONAL Average Annual Use,1.3850072980639474,1.3850072980639474,1.3850072980639474
7,SOLUTION Average Annual Use,1.3850072980639474,1.3850072980639474,1.3850072980639474
9,SOLUTION Variable Operating Cost (VOM) per Functional Unit,126122.92933096059,126122.92933096059,126122.92933096059
15,CONVENTIONAL Fuel Consumed per Functional Unit,3663130.5135886758,3663130.5135886758,3663130.5135886758
16,SOLUTION Fuel Efficiency Factor,0.5010773206596144,0.5010773206596144,0.5010773206596144
25,Discount Rate: Commercial / Industry,0.09219999999999999,0.1231735370921695,0.06122646290783049
26,Learning Rate,0.1,0.1,0.1
