Year,Project Drawdown Updated AEZ - Jan 2020
2012,330.04196462500005
2013,330.04196462500005
2014,330.04196462500005
2015,330.04196462500005
2016,330.04196462500005
2017,330.04196462500005
2018,330.04196462500005
2019,330.04196462500005
2020,330.04196462500005
2021,330.04196462500005
2022,330.04196462500005
2023,330.04196462500005
2024,330.04196462500005
2025,330.04196462500005
2026,330.04196462500005
2027,330.04196462500005
2028,330.04196462500005
2029,330.04196462500005
2030,330.04196462500005
2031,330.04196462500005
2032,330.04196462500005
2033,330.04196462500005
2034,330.04196462500005
2035,330.04196462500005
2036,330.04196462500005
2037,330.04196462500005
2038,330.04196462500005
2039,330.04196462500005
2040,330.04196462500005
2041,330.04196462500005
2042,330.04196462500005
2043,330.04196462500005
2044,330.04196462500005
2045,330.04196462500005
2046,330.04196462500005
2047,330.04196462500005
2048,330.04196462500005
2049,330.04196462500005
2050,330.04196462500005
2051,330.04196462500005
2052,330.04196462500005
2053,330.04196462500005
2054,330.04196462500005
2055,330.04196462500005
2056,330.04196462500005
2057,330.04196462500005
2058,330.04196462500005
2059,330.04196462500005
2060,330.04196462500005
