VMA number,Title on xls,Fixed Mean,Fixed High,Fixed Low
1,Current Adoption,172.2814014096829,384.28276914051594,-39.71996632115014
2,CONVENTIONAL First Cost per Implementation Unit,310606165.6666667,732492672.8705401,23669304.0
3,SOLUTION First Cost per Implementation Unit,27208664.405802872,35998677.53393008,18418651.277675662
4,CONVENTIONAL Lifetime Capacity,26.934010544521403,26.934010544521403,26.934010544521403
5,SOLUTION Lifetime Capacity,0.7619132726245667,0.7619132726245667,0.7619132726245667
6,CONVENTIONAL Average Annual Use,1.3467005272260701,1.3467005272260701,1.3467005272260701
7,SOLUTION Average Annual Use,0.02176895064641619,0.02176895064641619,0.02176895064641619
8,CONVENTIONAL Variable Operating Cost (VOM) per Functional Unit,103177006.5777112,103177006.5777112,103177006.5777112
9,SOLUTION Variable Operating Cost (VOM) per Functional Unit,150250830.9709442,256309322.784456,44192339.15743238
14,SOLUTION Total Energy Used per Functional Unit,0.062211259271640215,0.08428307126157225,0.040139447281708186
15,CONVENTIONAL Fuel Consumed per Functional Unit,64340127.996129535,71471535.7865218,57208720.20573726
16,SOLUTION Fuel Efficiency Factor,1.0,1.0,1.0
19,CONVENTIONAL Indirect CO2 Emissions per Unit,72997.5,178882.08645354147,4290.0
20,SOLUTION Indirect CO2 Emissions per Unit,11905.970340927155,17509.041504781882,6302.899177072429
23,Discount Rate - Governments,0.06379756793388117,0.10097470327256891,0.02662043259519343
24,Airport Operating Costs,12494748.77852349,15535539.751988655,9453957.805058325
25,Airline Operating Costs,90682257.7991877,116253822.80956763,65110692.78880778
26,HSR Rolling Stock Running Costs- Europe,235752715.39200002,290327609.5493487,181177821.2346513
27,HSR Infrastructure Cost - Europe,4500201.7853634525,7310911.114346751,1689492.456380154
