"Waste category","Waste region","Sort code","Agricultural Production","Postharvest handling and storage","Processing","Packaging","Distribution","Consumption"
"Oilseeds and pulses","Industrialized Asia","22","0.0600000000000000","0.0300000000000000","0.0500000000000000","0.0","0.0100000000000000","0.0400000000000000"
"Other","Industrialized Asia","23","0.0835877338907626","0.0664828787096103","0.0315628225400170","0.0197961976550044","0.0611109454705481","0.1338326628443590"
"Roots and tubers","Industrialized Asia","24","0.2000000000000000","0.0700000000000000","0.1500000000000000","0.0","0.0900000000000000","0.1000000000000000"
"Cereals","Sub-Saharan Africa","25","0.0600000000000000","0.0800000000000000","0.0350000000000000","0.0","0.0200000000000000","0.0100000000000000"
"Fish and seafood","Sub-Saharan Africa","26","0.0570000000000000","0.0600000000000000","0.0900000000000000","0.0","0.1500000000000000","0.0200000000000000"
"Fruits and vegetables","Sub-Saharan Africa","27","0.1000000000000000","0.0900000000000000","0.2500000000000000","0.0","0.1700000000000000","0.0500000000000000"
"Meat","Sub-Saharan Africa","28","0.1500000000000000","0.0070000000000000","0.0500000000000000","0.0","0.0700000000000000","0.0200000000000000"
"Milk and egg","Sub-Saharan Africa","29","0.0600000000000000","0.1100000000000000","0.0010000000000000","0.0","0.1000000000000000","0.0010000000000000"
"Oilseeds and pulses","Sub-Saharan Africa","30","0.1200000000000000","0.0800000000000000","0.0800000000000000","0.0","0.0200000000000000","0.0100000000000000"
"Other","Sub-Saharan Africa","31","0.1012415094841790","0.1121060211469700","0.1170987055052210","0.0","0.0682440657954596","0.0193904943072664"
"Roots and tubers","Sub-Saharan Africa","32","0.1400000000000000","0.1800000000000000","0.1500000000000000","0.0","0.0500000000000000","0.0200000000000000"
"Cereals","North Africa, West and Central Asia","33","0.0600000000000000","0.0800000000000000","0.0200000000000000","0.0700000000000000","0.0400000000000000","0.1200000000000000"
"Fish and seafood","North Africa, West and Central Asia","34","0.0660000000000000","0.0500000000000000","0.0900000000000000","0.0","0.1000000000000000","0.0400000000000000"
"Fruits and vegetables","North Africa, West and Central Asia","35","0.1700000000000000","0.1000000000000000","0.2000000000000000","0.0","0.1500000000000000","0.1200000000000000"
"Meat","North Africa, West and Central Asia","36","0.0660000000000000","0.0020000000000000","0.0500000000000000","0.0","0.0500000000000000","0.0800000000000000"
"Milk and egg","North Africa, West and Central Asia","37","0.0350000000000000","0.0600000000000000","0.0200000000000000","0.0","0.0800000000000000","0.0200000000000000"
"Oilseeds and pulses","North Africa, West and Central Asia","38","0.1500000000000000","0.0600000000000000","0.0800000000000000","0.0","0.0200000000000000","0.0200000000000000"
"Other","North Africa, West and Central Asia","39","0.1012731363875240","0.0788945593568727","0.0930210636291093","0.0221002547891405","0.0828499407813230","0.0870449802395306"
"Roots and tubers","North Africa, West and Central Asia","40","0.0600000000000000","0.1000000000000000","0.1200000000000000","0.0","0.0400000000000000","0.0600000000000000"
"Cereals","South and Southeast Asia","41","0.0600000000000000","0.0700000000000000","0.0350000000000000","0.0","0.0200000000000000","0.0300000000000000"
"Fish and seafood","South and Southeast Asia","42","0.0820000000000000","0.0600000000000000","0.0900000000000000","0.0","0.1500000000000000","0.0200000000000000"
"Fruits and vegetables","South and Southeast Asia","43","0.1500000000000000","0.0900000000000000","0.2500000000000000","0.0","0.1000000000000000","0.0700000000000000"
"Meat","South and Southeast Asia","44","0.0510000000000000","0.0030000000000000","0.0500000000000000","0.0","0.0700000000000000","0.0400000000000000"
"Milk and egg","South and Southeast Asia","45","0.0350000000000000","0.0600000000000000","0.0200000000000000","0.0","0.1000000000000000","0.0100000000000000"
"Oilseeds and pulses","South and Southeast Asia","46","0.0700000000000000","0.1200000000000000","0.0800000000000000","0.0","0.0200000000000000","0.0100000000000000"
"Other","South and Southeast Asia","47","0.0834100283433834","0.0826899113316891","0.1002269632131040","0.0","0.0656047373136043","0.0338784522656477"
"Roots and tubers","South and Southeast Asia","48","0.0600000000000000","0.1900000000000000","0.1000000000000000","0.0","0.1100000000000000","0.0300000000000000"
"Cereals","Latin America","49","0.0600000000000000","0.0400000000000000","0.0200000000000000","0.0700000000000000","0.0400000000000000","0.1000000000000000"
"Fish and seafood","Latin America","50","0.0570000000000000","0.0500000000000000","0.0900000000000000","0.0","0.1000000000000000","0.0400000000000000"
"Fruits and vegetables","Latin America","51","0.2000000000000000","0.1000000000000000","0.2000000000000000","0.0","0.1200000000000000","0.1000000000000000"
"Meat","Latin America","52","0.0530000000000000","0.0110000000000000","0.0500000000000000","0.0","0.0500000000000000","0.0600000000000000"
"Milk and egg","Latin America","53","0.0350000000000000","0.0600000000000000","0.0200000000000000","0.0","0.0800000000000000","0.0400000000000000"
"Oilseeds and pulses","Latin America","54","0.0600000000000000","0.0300000000000000","0.0800000000000000","0.0","0.0200000000000000","0.0200000000000000"
"Other","Latin America","55","0.0987232385591668","0.0633988798236698","0.0788895872655122","0.0164583827300664","0.0678296109825297","0.0673022180289814"
"Roots and tubers","Latin America","56","0.1400000000000000","0.1400000000000000","0.1200000000000000","0.0","0.0300000000000000","0.0400000000000000"
