"Waste category","Waste region","Sort code","Agricultural Production","Postharvest handling and storage","Processing","Packaging","Distribution","Consumption"
"Cereals","Europe incl. Russia","1","0.0200000000000000","0.0400000000000000","0.0050000000000000","0.1000000000000000","0.0200000000000000","0.2500000000000000"
"Fish and seafood","Europe incl. Russia","2","0.0940000000000000","0.0050000000000000","0.0600000000000000","0.0","0.0900000000000000","0.1100000000000000"
"Fruits and vegetables","Europe incl. Russia","3","0.2000000000000000","0.0500000000000000","0.0200000000000000","0.0","0.1000000000000000","0.1900000000000000"
"Meat","Europe incl. Russia","4","0.0310000000000000","0.0070000000000000","0.0500000000000000","0.0","0.0400000000000000","0.1100000000000000"
"Milk and egg","Europe incl. Russia","5","0.0350000000000000","0.0050000000000000","0.0120000000000000","0.0","0.0050000000000000","0.0700000000000000"
"Oilseeds and pulses","Europe incl. Russia","6","0.1000000000000000","0.0100000000000000","0.0500000000000000","0.0","0.0100000000000000","0.0400000000000000"
"Other","Europe incl. Russia","7","0.1005790320909810","0.0311583662879571","0.0316554221551160","0.0183891033259942","0.0437638288085954","0.1421221269948030"
"Roots and tubers","Europe incl. Russia","8","0.2000000000000000","0.0900000000000000","0.1500000000000000","0.0","0.0700000000000000","0.1700000000000000"
"Cereals","North America and Oceania","9","0.0200000000000000","0.0200000000000000","0.0050000000000000","0.1000000000000000","0.0200000000000000","0.2700000000000000"
"Fish and seafood","North America and Oceania","10","0.1200000000000000","0.0050000000000000","0.0600000000000000","0.0","0.0900000000000000","0.3300000000000000"
"Fruits and vegetables","North America and Oceania","11","0.2000000000000000","0.0400000000000000","0.0200000000000000","0.0","0.1200000000000000","0.2800000000000000"
"Meat","North America and Oceania","12","0.0350000000000000","0.0100000000000000","0.0500000000000000","0.0","0.0400000000000000","0.1100000000000000"
"Milk and egg","North America and Oceania","13","0.0350000000000000","0.0050000000000000","0.0120000000000000","0.0","0.0050000000000000","0.1500000000000000"
"Oilseeds and pulses","North America and Oceania","14","0.1200000000000000","0.0","0.0500000000000000","0.0","0.0100000000000000","0.0400000000000000"
"Other","North America and Oceania","15","0.0974899477112171","0.0220364120285823","0.0288323971371618","0.0143719920494849","0.0464885565169281","0.1968240822985420"
"Roots and tubers","North America and Oceania","16","0.2000000000000000","0.1000000000000000","0.1500000000000000","0.0","0.0700000000000000","0.3000000000000000"
"Cereals","Industrialized Asia","17","0.0200000000000000","0.1000000000000000","0.0050000000000000","0.1000000000000000","0.0200000000000000","0.2000000000000000"
"Fish and seafood","Industrialized Asia","18","0.1500000000000000","0.0200000000000000","0.0600000000000000","0.0","0.1100000000000000","0.0800000000000000"
"Fruits and vegetables","Industrialized Asia","19","0.1000000000000000","0.0800000000000000","0.0200000000000000","0.0","0.0800000000000000","0.1500000000000000"
"Meat","Industrialized Asia","20","0.0290000000000000","0.0060000000000000","0.0500000000000000","0.0","0.0600000000000000","0.0800000000000000"
"Milk and egg","Industrialized Asia","21","0.0350000000000000","0.0100000000000000","0.0120000000000000","0.0","0.0050000000000000","0.0500000000000000"
