"FAO commodity","Waste category","Diet category","Demand category","kcal/g","Yield category"
"Marine Fish, Other","Fish and seafood","Fish","Other produce & fish","0.58309037900875","Marine Fish, Other"
"Meat, Aquatic Mammals","Fish and seafood","Red meat","Other produce & fish","0.00000000000000","Meat, Aquatic Mammals"
"Meat, Other","Meat","Red meat","Meat (carcass weight)","1.12359550561798","Meat, Other"
"Milk - Excluding Butter","Milk and egg","Dairy","Milk and dairy, excl. butter","0.55967879304052","Milk - Excluding Butter"
"Millet and products","Cereals","Other grains","Cereals, food","2.99334811529934","Cereals"
"Miscellaneous","Other","Other crops","Other produce & fish","0.03703703703704","Other"
"Molasses","Other","Sugar & sweeteners","Other produce & fish","0.00000000000000","Other"
"Molluscs, Other","Fish and seafood","Fish","Other produce & fish","0.14598540145985","Molluscs, Other"
"Mutton & Goat Meat","Meat","Red meat","Meat (carcass weight)","2.09923664122137","Mutton & Goat Meat"
"Nuts and products","Other","Other crops","Other produce & fish","2.49221183800623","Other"
"Oats","Cereals","Other grains","Cereals, food","1.96078431372549","Cereals"
"Offals, Edible","Meat","Red meat","Meat (carcass weight)","1.14006514657980","Offals, Edible"
"Oilcrops Oil, Other","Oilseeds and pulses","Vegetable oils","Vegetable oils, oilseeds and products","8.69565217391304","Oilseeds and pulses"
"Oilcrops, Other","Oilseeds and pulses","Vegetable oils","Vegetable oils, oilseeds and products","2.56410256410256","Oilseeds and pulses"
"Olive Oil","Oilseeds and pulses","Vegetable oils","Vegetable oils, oilseeds and products","9.17431192660550","Oilseeds and pulses"
"Olives (including preserved)","Oilseeds and pulses","Other crops","Vegetable oils, oilseeds and products","0.92592592592593","Oilseeds and pulses"
"Onions","Fruits and vegetables","Vegetables","Other produce & fish","0.36605657237937","Fruits and vegetables"
"Oranges, Mandarines","Fruits and vegetables","Fruits","Other produce & fish","0.26517383618150","Fruits and vegetables"
"Palm kernels","Oilseeds and pulses","Other crops","Vegetable oils, oilseeds and products","9.02908277404922","Oilseeds and pulses"
"Palm Oil","Oilseeds and pulses","Vegetable oils","Vegetable oils, oilseeds and products","8.72483221476510","Oilseeds and pulses"
"Palmkernel Oil","Oilseeds and pulses","Vegetable oils","Vegetable oils, oilseeds and products","9.33333333333333","Oilseeds and pulses"
"Peas","Fruits and vegetables","Vegetables","Other produce & fish","3.50877192982456","Fruits and vegetables"
"Pelagic Fish","Fish and seafood","Fish","Other produce & fish","0.94228504122497","Pelagic Fish"
"Pepper","Other","Vegetables","Other produce & fish","2.51000000000000","Other"
"Pigmeat","Meat","Red meat","Meat (carcass weight)","2.82524493050809","Pigmeat"
"Pimento","Fruits and vegetables","Vegetables","Other produce & fish","3.25203252032520","Fruits and vegetables"
"Pineapples and products","Fruits and vegetables","Fruits","Other produce & fish","0.36900369003690","Fruits and vegetables"
"Plantains","Fruits and vegetables","Fruits","Other produce & fish","0.89385474860335","Fruits and vegetables"
"Potatoes and products","Roots and tubers","Roots","Roots and tubers","0.68368764020938","Roots and tubers"
"Poultry Meat","Meat","Poultry","Meat (carcass weight)","1.43692157817828","Poultry Meat"
"Pulses, Other and products","Oilseeds and pulses","Pulses","Pulses, dry","3.47091932457786","Oilseeds and pulses"
"Rape and Mustard Oil","Oilseeds and pulses","Vegetable oils","Vegetable oils, oilseeds and products","8.85416666666667","Oilseeds and pulses"
"Rape and Mustardseed","Oilseeds and pulses","Other crops","Vegetable oils, oilseeds and products","5.08000000000000","Oilseeds and pulses"
"Rice (Milled Equivalent)","Cereals","Rice","Cereals, food","3.66233414568102","Cereals"
"Ricebran Oil","Oilseeds and pulses","Vegetable oils","Vegetable oils, oilseeds and products","9.09090909090909","Oilseeds and pulses"
"Roots & Tuber Dry Equiv","Roots and tubers","Roots","Roots and tubers","0.00000000000000","Roots and tubers"
"Roots, Other","Roots and tubers","Roots","Roots and tubers","1.08892921960073","Roots and tubers"
"Rye and products","Cereals","Other grains","Cereals, food","2.77777777777778","Cereals"
"Sesame seed","Oilseeds and pulses","Other crops","Vegetable oils, oilseeds and products","5.35714285714286","Oilseeds and pulses"
"Sesameseed Oil","Oilseeds and pulses","Vegetable oils","Vegetable oils, oilseeds and products","7.14285714285714","Oilseeds and pulses"
"Sorghum and products","Cereals","Other grains","Cereals, food","2.95983086680761","Cereals"
"Soyabean Oil","Oilseeds and pulses","Vegetable oils","Vegetable oils, oilseeds and products","8.60440713536202","Oilseeds and pulses"
"Soyabeans","Oilseeds and pulses","Pulses","Vegetable oils, oilseeds and products","3.35731414868106","Oilseeds and pulses"
"Spices, Other","Other","Other crops","Other produce & fish","3.50000000000000","Other"
"Sugar (Raw Equivalent)","Other","Sugar & sweeteners","Sugar and sugar crops","3.55618776671408","Other"
"Sugar beet","Other","Sugar & sweeteners","Sugar and sugar crops","3.55618776671408","Other"
"Sugar cane","Other","Sugar & sweeteners","Sugar and sugar crops","0.31746031746032","Other"
"Sugar non-centrifugal","Other","Sugar & sweeteners","Sugar and sugar crops","3.39622641509434","Other"
"Sunflower seed","Oilseeds and pulses","Other crops","Vegetable oils, oilseeds and products","4.54545454545455","Oilseeds and pulses"
"Sunflowerseed Oil","Oilseeds and pulses","Vegetable oils","Vegetable oils, oilseeds and products","8.77192982456140","Oilseeds and pulses"
"Sweet potatoes","Roots and tubers","Roots","Roots and tubers","0.98478066248881","Roots and tubers"
"Sweeteners, Other","Other","Sugar & sweeteners","Sugar and sugar crops","2.94478527607362","Other"
"Tea (including mate)","Other","Other crops","Other produce & fish","0.43103448275862","Other"
"Tomatoes and products","Fruits and vegetables","Fruits","Other produce & fish","0.19496632399858","Fruits and vegetables"
"Vegetables, Other","Fruits and vegetables","Vegetables","Other produce & fish","0.24798927613941","Fruits and vegetables"
"Wheat and products","Cereals","Wheat products","Cereals, food","2.93986388485998","Cereals"
"Whey","Milk and egg","Dairy","Milk and dairy, excl. butter","0.00000000000000","Whey"
"Wine","Other","Other crops","Other produce & fish","0.66666666666667","Other"
"Yams","Roots and tubers","Roots","Roots and tubers","1.02120974076984","Roots and tubers"
