"Country","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030","2031","2032","2033","2034","2035","2036","2037","2038","2039","2040","2041","2042","2043","2044","2045","2046","2047","2048","2049","2050","2051","2052","2053","2054","2055","2056","2057","2058","2059","2060","2061","2062","2063","2064","2065","2066","2067","2068","2069","2070","2071","2072","2073","2074","2075","2076","2077","2078","2079","2080","2081","2082","2083","2084","2085","2086","2087","2088","2089","2090","2091","2092","2093","2094","2095","2096","2097","2098","2099","2100"
"Afghanistan","33370804","34413603","35383028","36296111","37171922","38041757","38928341","39835428","40754385","41681232","42608714","43531523","44449106","45363560","46275305","47185165","48093576","49000190","49904008","50803985","51698839","52587415","53468940","54342917","55208543","56065157","56912008","57748480","58573847","59387210","60187566","60974108","61746119","62503158","63245020","63971682","64682976","65378498","66057693","66720061","67365070","67992198","68601077","69191273","69762278","70313576","70844694","71355260","71844941","72313405","72760294","73185287","73588196","73968838","74327012","74662577","74975404","75265446","75532727","75777323","75999471","76199343","76377114","76532930","76666941","76779299","76870229","76940011","76989050","77017762","77026666","77016262","76987010","76939414","76874094","76791721","76692976","76578449","76448745","76304426","76146060","75974263","75789679","75593012","75384972","75166360","74937961"
"Albania","2896307","2890524","2886427","2884169","2882735","2880913","2877800","2867907","2856677","2844128","2830303","2815265","2799104","2781944","2763897","2745152","2725797","2705934","2685573","2664639","2643004","2620598","2597398","2573469","2548855","2523627","2497833","2471500","2444621","2417232","2389355","2360989","2332178","2302941","2273309","2243309","2212989","2182353","2151425","2120258","2088884","2057321","2025607","1993756","1961788","1929703","1897547","1865317","1832989","1800571","1768010","1735325","1702464","1669440","1636198","1602695","1568868","1534716","1500250","1465426","1430204","1394577","1358547","1322153","1285420","1248388","1211138","1173682","1136070","1098390","1060738","1023193","985806","948646","911767","875231","839103","803441","768301","733742","699787","666527","633966","602181","571345","541250","511866"
"Algeria","38923688","39728020","40551398","41389174","42228415","43053054","43851043","44616626","45350141","46053477","46731365","47387621","48022191","48634169","49225935","49800522","50360741","50907942","51443645","51971122","52494086","53015571","53536964","54058978","54582839","55109593","55639763","56173697","56710939","57250034","57788898","58325559","58859118","59388436","59910917","60423435","60923390","61409486","61880817","62335701","62772479","63189911","63587228","63964302","64321490","64659573","64979374","65281189","65565489","65833448","66086471","66325953","66552686","66767565","66972181","67168311","67357446","67540496","67718092","67891131","68060403","68226588","68390152","68551325","68710021","68865976","69018897","69168643","69315062","69457751","69596196","69729849","69858325","69981057","70097172","70205645","70305540","70396142","70476914","70547366","70607079","70655551","70692182","70716263","70726984","70723454","70704619"
"American Samoa","55791","55806","55739","55617","55461","55312","55197","55103","55032","54982","54930","54896","54850","54820","54793","54759","54734","54689","54651","54609","54565","54517","54463","54426","54371","54314","54262","54189","54122","54046","53988","53916","53857","53793","53732","53672","53585","53496","53390","53270","53143","53015","52881","52731","52582","52429","52249","52082","51897","51702","51492","51280","51059","50821","50577","50299","50028","49731","49423","49105","48765","48409","48030","47647","47244","46832","46394","45948","45492","45028","44541","44057","43562","43053","42550","42042","41507","40985","40464","39934","39399","38857","38322","37782","37241","36699","36156"
"Andorra","79213","77993","77295","76997","77008","77146","77265","77354","77460","77576","77685","77773","77851","77887","77900","77918","77927","77948","77959","77965","77977","77974","77966","77961","77944","77909","77860","77799","77705","77599","77468","77318","77132","76923","76687","76416","76123","75792","75434","75050","74648","74207","73767","73289","72791","72296","71784","71281","70762","70242","69739","69223","68746","68267","67804","67360","66936","66536","66159","65807","65475","65172","64898","64647","64424","64223","64045","63878","63738","63620","63508","63420","63335","63256","63183","63128","63062","62993","62931","62873","62802","62743","62670","62605","62537","62481","62406"
"Angola","26941773","27884380","28842482","29816769","30809787","31825299","32866268","33933611","35027340","36148636","37298625","38478222","39688094","40928613","42199937","43501999","44834707","46198246","47592554","49016965","50470553","51952546","53462491","55000286","56566038","58159984","59782166","61432444","63110182","64814409","66543950","68297811","70075424","71876613","73701207","75549153","77420355","79314427","81231007","83169865","85130854","87113726","89118045","91143366","93189506","95256303","97343443","99450570","101576923","103721313","105882258","108058512","110249146","112453653","114671818","116903597","119148755","121406588","123676077","125956109","128245394","130542728","132847445","135158711","137475005","139794548","142116013","144438152","146760684","149084213","151409881","153738331","156069171","158401248","160733332","163063937","165391670","167715391","170034234","172347385","174653998","176953073","179243367","181523387","183791386","186045387","188283132"
"Anguilla","14114","14279","14435","14588","14738","14872","15002","15125","15225","15325","15414","15511","15596","15683","15763","15839","15917","15984","16055","16120","16177","16227","16269","16328","16364","16406","16446","16480","16497","16518","16532","16546","16546","16551","16541","16539","16522","16500","16478","16454","16423","16384","16349","16306","16264","16221","16175","16124","16071","16020","15959","15908","15852","15788","15733","15669","15599","15537","15477","15413","15341","15271","15204","15136","15064","14993","14921","14848","14780","14716","14640","14570","14507","14441","14374","14313","14253","14189","14119","14058","14006","13943","13883","13821","13763","13707","13635"
"Antigua and Barbuda","92562","93571","94520","95425","96282","97115","97928","98616","99237","99814","100337","100812","101259","101633","101976","102287","102530","102746","102908","103052","103141","103225","103282","103311","103312","103302","103246","103168","103075","102943","102778","102595","102362","102108","101835","101515","101178","100792","100381","99947","99477","98981","98468","97923","97350","96765","96173","95557","94937","94288","93628","92974","92312","91624","90948","90252","89560","88859","88145","87430","86708","85979","85244","84497","83741","82980","82219","81437","80654","79853","79056","78240","77428","76609","75779","74940","74101","73258","72411","71561","70720","69876","69016","68165","67311","66469","65624"
"Argentina","42637508","43075416","43508459","43937143","44361150","44780675","45195777","45605823","46010234","46409173","46803051","47192095","47576268","47955216","48328513","48695628","49056162","49409895","49756841","50097099","50430836","50758205","51079178","51393649","51701498","52002578","52296794","52584051","52864364","53137881","53404785","53665206","53919126","54166413","54406965","54640630","54867248","55086768","55299023","55503793","55700728","55889565","56070176","56242481","56406394","56561853","56708814","56847253","56977145","57098357","57210749","57314271","57408897","57494788","57572257","57641780","57703704","57758259","57805534","57845580","57878439","57904134","57922807","57934717","57940263","57939937","57934113","57923031","57906754","57885372","57858886","57827311","57790791","57749441","57703289","57652294","57596459","57535899","57470723","57401098","57327217","57249230","57167304","57081572","56992142","56899084","56802493"
"Armenia","2912403","2925559","2936147","2944789","2951741","2957728","2963234","2964559","2963850","2961315","2957158","2951540","2944576","2936389","2927053","2916613","2905125","2892670","2879367","2865361","2850844","2835950","2820759","2805282","2789553","2773512","2757170","2740530","2723607","2706347","2688720","2670645","2652117","2633137","2613680","2593687","2573147","2552044","2530369","2508133","2485327","2461942","2437992","2413495","2388465","2362889","2336857","2310327","2283343","2255947","2228144","2199976","2171467","2142654","2113545","2084219","2054681","2024961","1995116","1965175","1935201","1905233","1875312","1845461","1815715","1786115","1756697","1727484","1698476","1669702","1641178","1612896","1584870","1557096","1529547","1502167","1474943","1447817","1420807","1393890","1367064","1340317","1313609","1286926","1260214","1233439","1206529"
