"Country","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030","2031","2032","2033","2034","2035","2036","2037","2038","2039","2040","2041","2042","2043","2044","2045","2046","2047","2048","2049","2050","2051","2052","2053","2054","2055","2056","2057","2058","2059","2060","2061","2062","2063","2064","2065","2066","2067","2068","2069","2070","2071","2072","2073","2074","2075","2076","2077","2078","2079","2080","2081","2082","2083","2084","2085","2086","2087","2088","2089","2090","2091","2092","2093","2094","2095","2096","2097","2098","2099","2100"
"Djibouti","898707","913998","929117","944100","958923","973557","988002","1003409","1018931","1034492","1050049","1065568","1081012","1096351","1111613","1126766","1141833","1156805","1171647","1186334","1200803","1215036","1229004","1242713","1256221","1269548","1282750","1295826","1308770","1321616","1334365","1347059","1359697","1372272","1384776","1397195","1409505","1421710","1433808","1445787","1457629","1469315","1480870","1492250","1503485","1514559","1525476","1536239","1546844","1557276","1567538","1577638","1587546","1597325","1606949","1616431","1625823","1635105","1644284","1653415","1662493","1671576","1680650","1689730","1698847","1707983","1717163","1726383","1735657","1744983","1754354","1763763","1773215","1782716","1792246","1801820","1811407","1821021","1830653","1840287","1849928","1859574","1869203","1878821","1888421","1897979","1907490"
"Dominica","71091","71175","71307","71460","71626","71808","71991","72172","72337","72514","72683","72819","72954","73052","73137","73201","73244","73264","73255","73226","73174","73106","73019","72922","72808","72682","72548","72403","72259","72100","71935","71771","71607","71432","71260","71073","70872","70680","70462","70242","70010","69772","69511","69252","68959","68671","68383","68063","67739","67407","67040","66690","66315","65936","65536","65131","64715","64296","63868","63432","62985","62523","62065","61608","61126","60654","60163","59687","59199","58707","58224","57753","57281","56805","56342","55890","55436","54994","54557","54128","53706","53294","52895","52493","52108","51727","51345"
"Dominican Republic","10165182","10281675","10397738","10513111","10627147","10738957","10847904","10967865","11089190","11211194","11333328","11455169","11576419","11696965","11816793","11935969","12054546","12172498","12289555","12405223","12518893","12630120","12738705","12844781","12948720","13051073","13152234","13252317","13351276","13449142","13546018","13641906","13736878","13830968","13924118","14016285","14107399","14197428","14286395","14374281","14461070","14546741","14631301","14714705","14796865","14877658","14957003","15034853","15111223","15186186","15259816","15332170","15403287","15473178","15541831","15609244","15675401","15740333","15804084","15866801","15928578","15989550","16049754","16109221","16167960","16225950","16283211","16339774","16395649","16450859","16505401","16559273","16612509","16665110","16717117","16768586","16819538","16869998","16919980","16969467","17018449","17066924","17114882","17162333","17209265","17255715","17301682"
"Ecuador","15951832","16212022","16491116","16785356","17084359","17373657","17643060","17884312","18134068","18390678","18652764","18919149","19188881","19461259","19735759","20012020","20289728","20568401","20847378","21125690","21402247","21676207","21947111","22214957","22480182","22743495","23005429","23266042","23525208","23783113","24039989","24295999","24551242","24805713","25059377","25312134","25563911","25814643","26064318","26312934","26560495","26806946","27052281","27296366","27538888","27779455","28017775","28253700","28487252","28718447","28947377","29174087","29398592","29620852","29840904","30058735","30274382","30487880","30699306","30908777","31116437","31322455","31526923","31729878","31931389","32131429","32330078","32527345","32723362","32918316","33112429","33305879","33498786","33691164","33882981","34074110","34264505","34454191","34643248","34831838","35020102","35208154","35396099","35583991","35771845","35959622","36147275"
"Egypt","90424668","92442549","94447071","96442590","98423602","100388076","102334403","104418552","106494261","108566427","110640579","112722816","114819963","116939424","119088975","121276335","123507994","125787923","128116404","130489609","132900921","135344980","137820804","140328547","142865030","145426592","148010154","150613655","153235896","155875772","158532514","161205304","163893352","166595467","169310122","172035601","174770758","177514628","180267437","183030796","185807127","188598137","191404037","194224203","197058544","199906788","202768580","205643766","208531898","211431711","214341628","217260300","220187181","223121903","226063560","229011282","231964326","234922150","237884606","240851993","243824889","246803684","249788088","252777847","255773344","258775154","261783511","264798148","267818322","270843138","273871446","276902107","279934330","282967187","285999169","289028557","292053810","295073636","298086968","301092878","304090462","307078700","310056459","313022445","315975200","318913150","321834516"
"El Salvador","6295124","6325121","6356137","6388124","6420740","6453550","6486201","6521877","6558059","6594836","6632207","6670050","6708135","6746114","6783570","6820023","6855052","6888406","6920151","6950609","6980380","7009795","7039026","7067847","7096033","7123251","7149236","7173910","7197372","7219699","7241034","7261520","7281139","7299868","7317659","7334508","7350416","7365340","7379287","7392206","7404059","7414799","7424392","7432837","7440100","7446128","7450915","7454428","7456649","7457587","7457229","7455588","7452636","7448385","7442845","7436015","7427894","7418529","7407891","7395981","7382784","7368271","7352488","7335464","7317206","7297760","7277165","7255451","7232694","7208951","7184299","7158844","7132626","7105720","7078218","7050263","7021944","6993345","6964505","6935491","6906310","6877012","6847626","6818223","6788854","6759589","6730503"
"Equatorial Guinea","1122273","1168575","1215181","1262008","1308966","1355982","1402985","1451268","1500111","1549599","1599754","1650587","1702047","1754055","1806507","1859273","1912256","1965393","2018703","2072338","2126467","2181266","2236751","2292891","2349596","2406801","2464410","2522424","2580867","2639727","2698995","2758651","2818677","2879099","2939934","3001273","3063124","3125549","3188459","3251859","3315657","3379830","3444340","3509173","3574260","3639559","3705001","3770556","3836210","3901912","3967594","4033272","4098879","4164431","4229918","4295337","4360717","4426032","4491279","4556483","4621650","4686781","4751903","4816998","4882081","4947164","5012263","5077381","5142502","5207628","5272765","5337906","5403037","5468143","5533215","5598224","5663152","5727955","5792677","5857264","5921749","5986126","6050382","6114511","6178490","6242314","6305955"
"Eritrea","3311444","3342818","3376558","3412894","3452797","3497117","3546427","3609753","3677018","3747890","3822114","3899537","3980102","4063793","4150737","4241046","4334832","4432035","4532387","4635398","4740401","4846889","4954592","5063438","5173355","5284273","5396146","5508883","5622332","5736386","5850862","5965711","6080844","6196284","6312126","6428512","6545582","6663317","6781731","6900982","7021212","7142569","7265072","7388671","7513316","7638914","7765372","7892657","8020693","8149346","8278494","8407964","8537711","8667635","8797569","8927364","9056860","9185980","9314690","9442993","9570905","9698453","9825613","9952362","10078725","10204760","10330489","10455924","10581052","10705883","10830443","10954708","11078674","11202359","11325723","11448797","11571574","11694010","11816085","11937750","12058969","12179677","12299824","12419365","12538235","12656388","12773759"
"Estonia","1316273","1315330","1316507","1319389","1322913","1325649","1326539","1323049","1319067","1314668","1309888","1304777","1299380","1293697","1287780","1281620","1275247","1268672","1261934","1255083","1248162","1241205","1234263","1227308","1220373","1213453","1206553","1199678","1192819","1185970","1179090","1172171","1165189","1158148","1151020","1143801","1136506","1129085","1121558","1113930","1106180","1098341","1090392","1082347","1074176","1065901","1057515","1049020","1040429","1031739","1022959","1014112","1005193","996209","987205","978168","969120","960090","951079","942100","933194","924362","915623","906993","898466","890053","881736","873531","865452","857483","849660","841976","834439","827041","819789","812673","805692","798834","792086","785416","778828","772269","765708","759141","752519","745826","739015"
"Ethiopia","98094264","100835453","103603461","106399926","109224410","112078727","114963583","117999722","121124769","124325919","127592651","130916681","134292104","137715255","141184436","144699370","148259642","151863112","155504400","159174297","162861511","166557855","170258876","173965700","177682695","181417208","185174741","188955919","192759047","196584645","200432953","204304080","208197694","212113796","216053017","220016177","224003323","228013946","232045997","236096012","240159503","244232552","248312831","252398704","256487621","260577047","264664566","268747954","272825048","276893475","280950868","284995060","289024715","293038259","297033285","301007152","304957978","308884298","312786201","316665297","320524242","324364981","328187711","331991774","335777302","339544300","343292645","347022611","350734037","354425791","358096336","361744603","365370073","368973070","372554459","376115522","379657173","383179673","386682718","390165668","393627829","397068692","400487991","403885778","407262452","410618692","413955509"
"Faeroe Islands","47965","48055","48173","48326","48497","48677","48865","49053","49230","49419","49613","49815","50036","50246","50470","50697","50913","51129","51341","51546","51744","51934","52103","52265","52411","52553","52672","52784","52882","52981","53065","53142","53206","53273","53339","53396","53465","53523","53587","53648","53713","53783","53849","53917","53997","54074","54142","54225","54315","54393","54473","54555","54642","54723","54794","54871","54949","55014","55079","55150","55210","55278","55328","55376","55427","55466","55507","55546","55571","55589","55604","55611","55616","55617","55613","55596","55586","55556","55520","55485","55443","55409","55351","55288","55227","55163","55097"
"Falkland Islands (Malvinas)","2787","2836","2926","3074","3236","3372","3483","3528","3534","3519","3489","3468","3452","3444","3443","3446","3439","3425","3422","3409","3402","3393","3387","3375","3366","3355","3348","3338","3326","3316","3304","3288","3283","3270","3260","3247","3233","3225","3217","3203","3192","3181","3172","3156","3144","3131","3117","3106","3093","3083","3071","3053","3034","3024","3020","3008","2997","2987","2970","2965","2957","2948","2939","2932","2921","2912","2902","2891","2879","2875","2865","2858","2850","2840","2833","2819","2812","2806","2794","2783","2774","2766","2757","2747","2737","2729","2717"
"Fiji","866447","868632","872406","877460","883490","889955","896444","903709","911617","920078","928983","938269","947862","957667","967628","977700","987803","997916","1007985","1018000","1027902","1037711","1047381","1056923","1066322","1075645","1084886","1094053","1103160","1112207","1121221","1130214","1139186","1148152","1157117","1166077","1175031","1183999","1192968","1201928","1210868","1219789","1228688","1237561","1246408","1255231","1264034","1272810","1281566","1290301","1299019","1307725","1316394","1325079","1333732","1342384","1351028","1359659","1368290","1376906","1385502","1394087","1402643","1411171","1419677","1428148","1436602","1445010","1453395","1461745","1470049","1478319","1486547","1494730","1502857","1510949","1518962","1526913","1534801","1542620","1550365","1558051","1565643","1573184","1580646","1588023","1595306"
"Finland","5461410","5481128","5497714","5511372","5522585","5532159","5540718","5551300","5561446","5571049","5580020","5588235","5595618","5602100","5607589","5612027","5615370","5617594","5618695","5618692","5617649","5615601","5612596","5608671","5603914","5598480","5592461","5585940","5578962","5571609","5563965","5556103","5548092","5539967","5531787","5523582","5515400","5507254","5499212","5491269","5483449","5475766","5468217","5460824","5453618","5446651","5439936","5433467","5427208","5421120","5415128","5409151","5403190","5397192","5391074","5384711","5378044","5371008","5363595","5355808","5347643","5339099","5330159","5320849","5311212","5301308","5291198","5280897","5270433","5259845","5249168","5238447","5227722","5216983","5206283","5195659","5185123","5174703","5164398","5154195","5144116","5134122","5124213","5114396","5104634","5094920","5085253"
"France","64193550","64453194","64667590","64842513","64990512","65129731","65273512","65440800","65603236","65760394","65912036","66058147","66198920","66334779","66466279","66594096","66718726","66840295","66958349","67071707","67178753","67278228","67369773","67453346","67528398","67594384","67650964","67697944","67735422","67763760","67783513","67795199","67799091","67795489","67785044","67768601","67746855","67720392","67689628","67654957","67616699","67575269","67531121","67484862","67437315","67389389","67341876","67295188","67249702","67206077","67165021","67127034","67092448","67061252","67033222","67007965","66985100","66964537","66946167","66929591","66914358","66900021","66886422","66873362","66860305","66846653","66831975","66815989","66798719","66780462","66761699","66742777","66723689","66704292","66684673","66664959","66645156","66625210","66604958","66584164","66562585","66539919","66515868","66490161","66462460","66432485","66399911"
"French Guiana","254780","261008","267824","275189","282936","290823","298682","306675","314872","323236","331761","340418","349216","358128","367189","376401","385764","395278","404933","414692","424524","434398","444299","454240","464213","474215","484258","494334","504446","514603","524833","535132","545511","555979","566538","577210","587988","598883","609896","621038","632297","643687","655184","666809","678540","690380","702319","714333","726446","738636","750915","763265","775696","788185","800752","813353","826002","838680","851412","864173","876983","889844","902742","915700","928718","941773","954892","968057","981292","994581","1007936","1021359","1034860","1048410","1062026","1075685","1089388","1103138","1116907","1130724","1144564","1158446","1172349","1186292","1200251","1214204","1228166"
"French Polynesia","271713","273119","274576","276108","277673","279285","280904","282591","284335","286118","287922","289744","291557","293392","295184","296970","298695","300420","302087","303695","305255","306755","308202","309572","310886","312140","313332","314462","315516","316503","317451","318310","319122","319850","320533","321137","321700","322216","322667","323067","323432","323749","324030","324278","324490","324672","324805","324933","325016","325079","325116","325128","325130","325109","325065","325002","324913","324803","324679","324544","324377","324198","324012","323806","323582","323352","323106","322840","322583","322293","322009","321715","321414","321108","320802","320486","320176","319858","319538","319218","318881","318545","318204","317853","317481","317106","316716"
"Gabon","1883801","1947690","2007882","2064812","2119275","2172578","2225728","2281663","2338021","2394760","2451856","2509304","2567135","2625383","2684086","2743321","2803156","2863605","2924686","2986337","3048513","3111177","3174281","3237906","3302122","3367063","3432811","3499388","3566774","3634942","3703877","3773540","3843925","3914991","3986684","4058913","4131600","4204721","4278229","4352074","4426149","4500408","4574820","4649360","4724029","4798808","4873708","4948708","5023828","5099099","5174598","5250368","5326418","5402752","5479442","5556525","5634049","5712034","5790467","5869363","5948717","6028563","6108875","6189640","6270803","6352346","6434172","6516283","6598635","6681201","6763957","6846882","6929941","7013080","7096168","7179084","7261669","7343893","7425741","7507232","7588401","7669287","7749885","7830183","7910182","7989809","8069014"
"Gambia","2024037","2085860","2149134","2213900","2280092","2347696","2416664","2489639","2564949","2642406","2721853","2803160","2886245","2971065","3057583","3145793","3235699","3327250","3420341","3514798","3610394","3707001","3804510","3902897","4002199","4102439","4203648","4305797","4408846","4512835","4617773","4723679","4830547","4938345","5047056","5156592","5266944","5378076","5489959","5602590","5715958","5830050","5944831","6060270","6176311","6292947","6410131","6527840","6646013","6764516","6883227","7002002","7120800","7239587","7358351","7477109","7595858","7714554","7833180","7951693","8070072","8188280","8306305","8424117","8541720","8659128","8776326","8893298","9010033","9126481","9242610","9358399","9473819","9588854","9703439","9817528","9931071","10044017","10156394","10268169","10379356","10489944","10599941","10709327","10818088","10926213","11033661"
"Georgia","4035310","4024180","4015457","4008723","4002946","3996762","3989175","3979929","3969747","3958754","3947077","3934815","3922090","3909013","3895634","3882059","3868345","3854570","3840775","3827006","3813321","3799741","3786284","3772989","3759835","3746799","3733824","3720938","3708127","3695351","3682560","3669745","3656862","3643915","3630868","3617690","3604362","3590869","3577218","3563417","3549474","3535415","3521243","3506977","3492653","3478326","3464011","3449748","3435557","3421448","3407470","3393638","3379966","3366473","3353175","3340072","3327178","3314497","3302033","3289793","3277755","3265920","3254279","3242834","3231581","3220499","3209590","3198835","3188229","3177746","3167389","3157122","3146959","3136857","3126795","3116733","3106645","3096513","3086287","3075986","3065555","3054978","3044246","3033298","3022126","3010690","2998939"
"Germany","81450370","81787411","82193770","82658409","83124413","83517046","83783945","83730258","83670153","83603589","83530592","83451224","83365648","83274036","83176660","83073752","82965486","82851875","82732653","82607288","82475063","82335357","82187965","82032744","81869086","81696310","81513917","81321894","81120363","80909180","80688250","80457689","80217751","79969086","79712867","79450519","79183384","78912331","78638059","78361752","78084560","77807625","77531690","77257611","76986777","76720667","76460474","76206732","75959648","75719592","75486767","75261191","75043055","74831988","74626712","74425545","74227082","74030998","73837175","73644697","73452596","73260217","73067196","72873835","72681043","72490168","72302311","72117769","71936644","71759711","71587828","71421655","71261473","71107315","70959154","70816828","70680132","70548864","70422758","70301538","70184826","70072130","69962863","69856274","69751523","69647628","69543468"
"Ghana","27224480","27849203","28481947","29121464","29767108","30417858","31072945","31768414","32481621","33210396","33953010","34708210","35475268","36253860","37044120","37846428","38661065","39487867","40325842","41173031","42026970","42885817","43748732","44615976","45488229","46366670","47252225","48144993","49044724","49951522","50865459","51786642","52715167","53651212","54595036","55546977","56507273","57475933","58452932","59438428","60432605","61435516","62447043","63466836","64494456","65529299","66570782","67618660","68672544","69731379","70793920","71859201","72926603","73996061","75067867","76142630","77220718","78302120","79386427","80473099","81561402","82650844","83741064","84832138","85924465","87018637","88115037","89213714","90314318","91416279","92518871","93621511","94723769","95825608","96927184","98028834","99130671","100232450","101333650","102433550","103531375","104626356","105717852","106805295","107888251","108966376","110039444"
"Gibraltar","33726","33742","33738","33723","33715","33706","33691","33691","33714","33711","33737","33753","33786","33820","33844","33889","33906","33951","33978","34004","34031","34049","34082","34096","34120","34119","34133","34137","34144","34126","34112","34100","34077","34051","34013","33969","33918","33864","33808","33740","33670","33591","33512","33427","33312","33210","33103","32991","32877","32752","32627","32489","32360","32213","32071","31934","31794","31645","31502","31350","31212","31063","30917","30764","30614","30469","30325","30179","30043","29893","29747","29593","29452","29297","29145","28996","28839","28674","28526","28364","28207","28043","27876","27715","27559","27388","27242"
"Greece","10701460","10659737","10615183","10569449","10522244","10473452","10423056","10368565","10315794","10264506","10214512","10165686","10117951","10071249","10025587","9981011","9937500","9894989","9853254","9811962","9770648","9728943","9686657","9643673","9599850","9555091","9509271","9462277","9413987","9364211","9312790","9259603","9204570","9147665","9088881","9028221","8965693","8901324","8835168","8767348","8697954","8627125","8554977","8481620","8407236","8332045","8256233","8179974","8103397","8026693","7950076","7873725","7797789","7722401","7647772","7574109","7501575","7430304","7360369","7291833","7224715","7159082","7094939","7032316","6971186","6911538","6853334","6796526","6741047","6686807","6633684","6581551","6530348","6479988","6430243","6380852","6331607","6282393","6233177","6183952","6134729","6085545","6036361","5987167","5937875","5888397","5838612"
"Greenland","56383","56378","56408","56473","56565","56660","56772","56868","56975","57064","57137","57186","57208","57217","57197","57161","57092","57021","56924","56805","56683","56541","56379","56207","56026","55824","55625","55413","55195","54960","54746","54511","54269","54022","53774","53536","53298","53058","52823","52591","52356","52135","51900","51670","51458","51230","51004","50787","50559","50336","50112","49877","49640","49413","49175","48935","48682","48436","48181","47918","47654","47392","47124","46853","46572","46298","46025","45746","45468","45184","44904","44625","44357","44077","43801","43528","43258","42975","42703","42433","42158","41887","41614","41338","41071","40790","40524"
"Grenada","108900","109603","110263","110874","111449","112002","112519","113098","113627","114128","114606","115032","115454","115837","116211","116561","116883","117211","117496","117790","118056","118331","118583","118834","119076","119318","119544","119761","119987","120195","120403","120593","120771","120947","121094","121231","121351","121463","121551","121624","121663","121698","121716","121713","121689","121649","121602","121527","121434","121344","121226","121096","120965","120818","120670","120496","120341","120160","119983","119797","119601","119414","119218","119018","118823","118636","118438","118245","118052","117870","117683","117499","117319","117152","116971","116804","116626","116461","116289","116115","115945","115773","115597","115424","115244","115062","114874"
"Guadeloupe","401305","400260","399760","399679","399848","400048","400127","399928","400078","400501","401141","401946","402889","403932","405086","406318","407633","409004","410406","411789","413093","414264","415300","416175","416909","417509","417988","418348","418588","418726","418807","418834","418832","418808","418775","418751","418749","418784","418868","419022","419261","419621","420106","420722","421459","422311","423299","424384","425591","426895","428282","429739","431270","432850","434473","436141","437842","439547","441267","443019","444769","446532","448334","450135","451956","453811","455691","457608","459561","461544","463567","465627","467705","469830","471981","474143","476327","478522","480714","482905","485110","487268","489425","491538","493605","495630","497578"
"Guam","161007","161851","162948","164281","165770","167295","168783","170318","171900","173530","175193","176862","178527","180198","181864","183524","185184","186821","188446","190045","191583","193075","194503","195869","197177","198445","199654","200820","201947","203031","204095","205126","206133","207123","208104","209074","210045","211014","211984","212978","213966","214974","215986","217017","218063","219110","220141","221192","222244","223283","224317","225331","226347","227334","228306","229267","230202","231102","231994","232853","233705","234522","235318","236099","236842","237582","238318","239044","239751","240467","241166","241858","242565","243258","243954","244640","245333","246037","246739","247444","248148","248854","249569","250256","250967","251661","252347"
"Guatemala","15923238","16252425","16583079","16914979","17247855","17581476","17915567","18273455","18640573","19014913","19394884","19779227","20167073","20557972","20951688","21348312","21747856","22150030","22553974","22958191","23360785","23760420","24156390","24548895","24938556","25326449","25713356","26099412","26484423","26868600","27252154","27635276","28018048","28400501","28782807","29165100","29547453","29929844","30312153","30694119","31075381","31455628","31834662","32212302","32588218","32962038","33333437","33702186","34068066","34430787","34790026","35145497","35497059","35844591","36187976","36527162","36862090","37192686","37518971","37841059","38159206","38473569","38784273","39091342","39394764","39694503","39990596","40283044","40572054","40857922","41141115","41421964","41700668","41977239","42251547","42523402","42792667","43059375","43323689","43585851","43846113","44104694","44361749","44617366","44871561","45124258","45375332"
"Guinea","11150970","11432096","11738434","12067516","12414292","12771246","13132792","13508493","13897730","14299204","14711878","15134966","15567860","16010262","16461982","16923056","17393424","17872886","18360876","18856409","19358290","19865620","20377968","20895421","21418284","21947137","22482431","23024163","23572215","24126816","24688241","25256677","25832167","26414647","27004131","27600590","28203978","28814209","29431123","30054400","30683625","31318429","31958561","32603828","33254039","33909024","34568571","35232472","35900419","36571995","37246744","37924235","38604209","39286509","39970923","40657368","41345683","42035709","42727273","43420270","44114599","44810191","45506967","46204860","46903651","47603145","48303210","49003578","49704312","50405813","51108676","51813267","52519705","53227628","53936310","54644740","55352145","56058190","56762885","57466433","58169116","58871074","59572318","60272649","60971700","61668865","62363387"
"Guinea-Bissau","1692433","1737207","1782434","1828146","1874304","1920917","1967998","2017763","2068805","2121045","2174347","2228647","2283913","2340143","2397382","2455668","2515038","2575509","2637024","2699436","2762579","2826318","2890602","2955443","3020922","3087182","3154268","3222209","3290977","3360508","3430768","3501685","3573269","3645492","3718363","3791860","3865994","3940755","4016101","4092010","4168447","4245387","4322790","4400656","4478987","4557805","4637127","4716943","4797214","4877878","4958859","5040097","5121541","5203193","5285059","5367114","5449379","5531818","5614423","5697158","5779952","5862810","5945662","6028535","6111423","6194354","6277325","6360362","6443406","6526406","6609329","6692111","6774713","6857158","6939403","7021469","7103342","7185018","7266468","7347679","7428619","7509267","7589611","7669633","7749351","7828753","7907821"
"Guyana","763371","767433","771363","775218","779007","782775","786559","791083","796059","801372","806927","812641","818464","824281","830073","835805","841419","846897","852185","857256","862064","866585","870802","874714","878362","881784","885062","888178","891150","893972","896695","899319","901860","904330","906725","909066","911333","913558","915721","917826","919867","921812","923690","925486","927188","928802","930322","931751","933064","934292","935411","936436","937332","938129","938823","939426","939903","940294","940585","940775","940880","940914","940862","940731","940514","940232","939865","939406","938875","938273","937585","936834","936004","935118","934149","933105","931986","930811","929567","928260","926895","925462","923995","922482","920931","919314","917680"
"Haiti","10549007","10695540","10839976","10982367","11123183","11263079","11402533","11558471","11716869","11877284","12039353","12202829","12367504","12533275","12700099","12868023","13037004","13206960","13377605","13548456","13718951","13888620","14057272","14224837","14391210","14556350","14720207","14882640","15043637","15203390","15362250","15520392","15677880","15834604","15990449","16145197","16298733","16450969","16601879","16751418","16899512","17046088","17191090","17334449","17476057","17615783","17753576","17889330","18023030","18154636","18284063","18411264","18536256","18659047","18779630","18897980","19014132","19128102","19240003","19350003","19458342","19565216","19670733","19774960","19878031","19980089","20081268","20181632","20281259","20380157","20478366","20575888","20672760","20769003","20864599","20959546","21053815","21147389","21240238","21332320","21423611","21514037","21603585","21692138","21779646","21866006","21951112"
"Holy See","785","790","791","798","810","815","809","812","808","808","803","799","795","793","803","797","799","794","795","789","801","801","805","807","806","800","797","795","800","798","794","796","802","811","811","807","806","804","806","803","805","803","805","805","804","819","822","816","817","817","814","810","808","804","803","797","788","784","787","793","793","793","794","793","795","792","791","793","792","794","795","793","791","789","789","791","790","789","790","790","791","791","793","796","796","795","797"
"Honduras","8955579","9112904","9270794","9429016","9587523","9746115","9904608","10076500","10253338","10433997","10617527","10803139","10990190","11178236","11366944","11556132","11745580","11935012","12123973","12311784","12497648","12681000","12861517","13039238","13214465","13387667","13559277","13729286","13897680","14064680","14230596","14395635","14559920","14723435","14886138","15047854","15208506","15368010","15526402","15683725","15839970","15995161","16149259","16302146","16453624","16603440","16751393","16897358","17041295","17183146","17322833","17460314","17595554","17728500","17859026","17987008","18112324","18234978","18355018","18472593","18587926","18701166","18812434","18921757","19029205","19134861","19238829","19341155","19441949","19541319","19639389","19736228","19831952","19926623","20020295","20113014","20204831","20295801","20386024","20475575","20564539","20653012","20741069","20828762","20916171","21003344","21090299"
"Hungary","9804991","9777925","9752970","9729822","9707502","9684680","9660350","9631427","9600987","9569009","9535479","9500368","9463674","9425383","9385487","9343981","9300898","9256263","9210173","9162731","9114078","9064375","9013677","8962116","8909894","8857212","8804252","8751120","8697912","8644777","8591843","8539246","8487049","8435241","8383831","8332766","8281995","8231520","8181275","8131148","8080924","8030467","7979722","7928671","7877198","7825147","7772441","7719039","7665011","7610456","7555528","7500360","7445028","7389596","7334251","7279225","7224685","7170751","7117454","7064914","7013149","6962246","6912258","6863211","6815062","6767792","6721347","6675746","6630969","6586947","6543597","6500862","6458696","6417087","6376034","6335522","6295576","6256147","6217255","6178803","6140795","6103184","6065952","6029081","5992570","5956395","5920583"
"Iceland","328592","330237","332209","334395","336712","339037","341250","343421","345561","347674","349751","351782","353780","355724","357617","359446","361230","362946","364598","366183","367697","369159","370547","371863","373121","374298","375417","376462","377422","378315","379139","379905","380592","381216","381767","382274","382728","383125","383484","383798","384080","384338","384576","384794","384981","385166","385339","385496","385631","385766","385880","385973","386058","386091","386135","386131","386112","386054","385971","385864","385708","385539","385322","385071","384801","384490","384155","383790","383420","383019","382597","382163","381738","381276","380833","380382","379935","379497","379058","378630","378202","377777","377372","376963","376554","376149","375753"
"India","1295600768","1310152392","1324517250","1338676779","1352642283","1366417756","1380004385","1395012077","1410520270","1426368844","1442427202","1458594143","1474799361","1491001986","1507186363","1523355047","1539507632","1555618230","1571615820","1587375656","1602743378","1617605291","1631915640","1645688881","1658950705","1671754803","1684149786","1696142129","1707742986","1719016412","1730042652","1740888705","1751582091","1762140455","1772607567","1783028596","1793436416","1803850081","1814269643","1824681917","1835061563","1845384411","1855645178","1865833652","1875912285","1885834375","1895561107","1905078852","1914378333","1923431827","1932209720","1940692213","1948872594","1956757998","1964362550","1971708753","1978819928","1985706311","1992385397","1998898744","2005297031","2011623207","2017900651","2024144469","2030378651","2036625883","2042905574","2049231205","2055614032","2062066486","2068599327","2075218883","2081931950","2088735431","2095612015","2102536645","2109488988","2116457724","2123438987","2130432899","2137439581","2144455444","2151471848","2158474441","2165442866","2172351013","2179167069"
"Indonesia","255128076","258383257","261556386","264650969","267670549","270625567","273523621","276680582","279894501","283145114","286416152","289695265","292974218","296248718","299517865","302783123","306045506","309302474","312545235","315757631","318919359","322015597","325039743","327994061","330884077","333719639","336508698","339252759","341951184","344607548","347225859","349809861","352362117","354885268","357383320","359860556","362320557","364765764","367197763","369618077","372027821","374427925","376819731","379204089","381580636","383948486","386307016","388656830","390998540","393331542","395655014","397968573","400272476","402567846","404856472","407140619","409422308","411702406","413981686","416261925","418545106","420832773","423125782","425424465","427729170","430040023","432356984","434680307","437009822","439344616","441683375","444025005","446368995","448715103","451062819","453411686","455761220","458110915","460460298","462808841","465156046","467501439","469844561","472184995","474522328","476856162","479186162"
"Iran (Islamic Republic of)","77465769","78492208","79563991","80673888","81800204","82913893","83992953","85152571","86295096","87419305","88524240","89609280","90674076","91718578","92743026","93747894","94733757","95701247","96650931","97583180","98498420","99397413","100280442","101149016","102006553","102857399","103704854","104550098","105392952","106233457","107071084","107905294","108735896","109562432","110383422","111196918","112001116","112795060","113577655","114346572","115099127","115833090","116547586","117242019","117914959","118564937","119191105","119793462","120372678","120929649","121465692","121982405","122481118","122963734","123433452","123894014","124348995","124800631","125251273","125704794","126165405","126636781","127121026","127619835","128135615","128670727","129226893","129805033","130405379","131027823","131671798","132336433","133021211","133724821","134444496","135176690","135918214","136666584","137419878","138176473","138934651","139692324","140446902","141195193","141933458","142657362","143362039"
"Iraq","34411949","35572269","36610632","37552789","38433604","39309789","40222503","41267531","42329755","43407179","44498521","45603229","46721491","47854211","49002902","50169404","51355260","52560946","53785290","55025160","56276253","57535344","58801351","60074725","61355730","62645188","63943766","65251219","66567320","67892747","69228405","70574991","71932629","73301209","74680911","76071862","77474073","78887442","80311685","81746371","83190910","84644712","86107446","87578636","89057330","90542397","92032881","93528276","95028272","96532403","98040269","99551540","101065778","102582814","104102801","105626112","107152965","108683270","110216713","111753022","113291845","114832873","116375819","117920507","119466831","121014713","122563990","124114523","125665913","127217471","128768402","130318006","131865884","133411909","134956080","136498565","138039398","139578446","141115395","142649858","144181436","145709785","147234657","148755913","150273512","151787534","153298126"
