"Country","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030","2031","2032","2033","2034","2035","2036","2037","2038","2039","2040","2041","2042","2043","2044","2045","2046","2047","2048","2049","2050","2051","2052","2053","2054","2055","2056","2057","2058","2059","2060","2061","2062","2063","2064","2065","2066","2067","2068","2069","2070","2071","2072","2073","2074","2075","2076","2077","2078","2079","2080","2081","2082","2083","2084","2085","2086","2087","2088","2089","2090","2091","2092","2093","2094","2095","2096","2097","2098","2099","2100"
"Barbados","284825","285327","285798","286229","286640","287021","287371","287670","287947","288201","288423","288605","288758","288857","288924","288933","288909","288831","288686","288509","288263","287933","287526","287049","286494","285864","285136","284356","283480","282536","281525","280441","279310","278123","276873","275585","274274","272924","271554","270167","268764","267345","265921","264493","263055","261627","260193","258764","257325","255896","254464","253030","251603","250169","248736","247293","245838","244373","242913","241441","239960","238482","236985","235488","233974","232470","230959","229436","227902","226354","224818","223286","221738","220208","218666","217128","215597","214076","212548","211039","209526","208030","206536","205056","203598","202145","200703"
"Belarus","9431742","9439424","9445638","9450233","9452615","9452409","9449321","9440966","9429379","9414837","9397587","9377838","9355755","9331495","9305152","9276803","9246551","9214556","9181019","9146264","9110652","9074483","9037932","9001125","8964243","8927517","8891077","8855042","8819451","8784301","8749506","8715031","8680868","8646989","8613315","8579713","8546045","8512291","8478392","8444242","8409726","8374747","8339256","8303264","8266737","8229680","8192113","8154035","8115498","8076552","8037319","7997850","7958244","7918554","7878943","7839589","7800617","7762119","7724197","7686975","7650617","7615232","7580899","7547659","7515575","7484687","7455026","7426586","7399354","7373269","7348281","7324318","7301326","7279162","7257689","7236671","7215881","7195171","7174430","7153556","7132462","7111003","7089045","7066415","7042914","7018300","6992305"
"Belgium","11221225","11287931","11354407","11419752","11482180","11539326","11589616","11624099","11657674","11690323","11722014","11752719","11782452","11811172","11838886","11865580","11891268","11915919","11939515","11962030","11983379","12003562","12022531","12040274","12056807","12072086","12086112","12098912","12110428","12120648","12129494","12136903","12142919","12147557","12150876","12152931","12153760","12153433","12152048","12149744","12146693","12143055","12138932","12134414","12129651","12124793","12119964","12115261","12110736","12106484","12102566","12099058","12095992","12093384","12091173","12089299","12087690","12086317","12085188","12084279","12083497","12082794","12082169","12081614","12081118","12080700","12080350","12080091","12079897","12079829","12079937","12080251","12080792","12081531","12082492","12083698","12085141","12086814","12088680","12090694","12092790","12094926","12097028","12099036","12100876","12102494","12103822"
"Belize","353366","360926","368399","375775","383071","390351","397621","405530","413588","421758","430008","438314","446622","454959","463282","471592","479905","488181","496406","504589","512667","520613","528424","536100","543661","551121","558513","565821","573056","580222","587332","594369","601342","608267","615154","622003","628818","635615","642406","649158","655867","662547","669169","675757","682298","688788","695236","701628","707962","714231","720441","726581","732650","738633","744557","750405","756177","761887","767531","773097","778597","784037","789425","794749","800010","805235","810420","815568","820677","825758","830808","835843","840857","845869","850849","855820","860784","865753","870698","875648","880600","885559","890487","895446","900389","905329","910276"
"Benin","10286839","10575962","10872072","11175192","11485035","11801151","12123198","12463657","12816110","13179618","13553443","13937073","14330234","14732832","15144955","15566861","15998695","16440408","16891549","17351208","17818196","18291637","18771216","19257034","19749236","20248143","20754025","21266917","21786837","22314176","22849417","23392949","23944948","24505496","25074875","25653348","26241152","26838311","27444818","28060655","28685795","29320140","29963657","30616136","31276989","31945483","32621040","33303369","33992380","34687911","35389876","36098162","36812641","37533130","38259504","38991626","39729387","40472728","41221610","41976023","42736026","43501631","44272755","45049388","45831799","46620317","47415163","48216321","49023549","49836579","50654998","51478445","52306718","53139573","53976552","54817207","55661087","56507816","57357118","58208724","59062382","59917816","60774708","61632699","62491394","63350356","64209078"
"Bermuda","64038","63695","63360","63040","62763","62508","62273","62092","61942","61806","61674","61518","61338","61156","60938","60719","60487","60253","60001","59732","59445","59167","58862","58545","58215","57873","57506","57135","56750","56346","55932","55518","55078","54630","54185","53738","53278","52827","52374","51920","51480","51038","50611","50189","49784","49375","49002","48611","48246","47892","47558","47212","46894","46582","46283","45983","45686","45394","45101","44812","44530","44233","43947","43661","43363","43075","42777","42481","42185","41881","41571","41273","40963","40653","40348","40048","39749","39449","39150","38860","38568","38281","38002","37724","37457","37188","36933"
"Bhutan","719053","727885","736706","745563","754396","763094","771612","780428","789194","797883","806475","814938","823266","831418","839402","847181","854747","862104","869211","876092","882722","889141","895316","901252","906966","912465","917774","922886","927800","932542","937117","941546","945830","949976","953966","957819","961511","965067","968470","971703","974742","977576","980211","982610","984798","986748","988432","989875","991072","991993","992658","993056","993209","993093","992732","992134","991318","990286","989048","987617","986021","984249","982330","980273","978100","975823","973457","971017","968506","965949","963325","960662","957960","955227","952466","949699","946922","944140","941340","938554","935766","932994","930214","927428","924669","921907","919152"
"Bolivia (Plurinational State of)","10706517","10869732","11031822","11192853","11353140","11513102","11673029","11847445","12026752","12209988","12396360","12585195","12776039","12968534","13162485","13357803","13554371","13751970","13950171","14148286","14345507","14541198","14735068","14927133","15117564","15306717","15494884","15682045","15868163","16053417","16238026","16422188","16606013","16789513","16972696","17155578","17338129","17520323","17702215","17883989","18065859","18247960","18430312","18612774","18795055","18976827","19157801","19337819","19516818","19694593","19870901","20045532","20218408","20389452","20558614","20725826","20891083","21054357","21215683","21375130","21532802","21688792","21843176","21995991","22147469","22297861","22447378","22596108","22744097","22891334","23037825","23183525","23328472","23472704","23616266","23759196","23901519","24043222","24184282","24324663","24464308","24603133","24741109","24878144","25014209","25149221","25283134"
"Bosnia and Herzegovina","3482106","3429362","3386263","3351534","3323929","3300998","3280815","3269230","3257024","3244201","3230743","3216665","3201954","3186598","3170594","3153953","3136652","3118728","3100144","3080948","3061130","3040728","3019749","2998204","2976093","2953452","2930291","2906629","2882479","2857876","2832825","2807310","2781385","2755073","2728457","2701606","2674604","2647487","2620271","2593046","2565857","2538760","2511797","2484970","2458304","2431777","2405411","2379190","2353133","2327205","2301394","2275659","2250002","2224416","2198887","2173379","2147865","2122355","2096854","2071358","2045899","2020480","1995136","1969843","1944627","1919505","1894494","1869590","1844824","1820196","1795730","1771455","1747358","1723468","1699785","1676315","1653060","1630037","1607243","1584673","1562368","1540310","1518499","1496947","1475662","1454635","1433850"
"Botswana","2088619","2120716","2159925","2205076","2254067","2303703","2351625","2399025","2446883","2495126","2543679","2592488","2641533","2690879","2740538","2790599","2841103","2892063","2943395","2994966","3046562","3098037","3149312","3200412","3251315","3302060","3352645","3403059","3453284","3503314","3553153","3602803","3652262","3701521","3750623","3799595","3848452","3897216","3945859","3994371","4042688","4090774","4138636","4186270","4233652","4280788","4327683","4374311","4420678","4466779","4512621","4558196","4603513","4648583","4693394","4737984","4782328","4826464","4870392","4914149","4957804","5001390","5044922","5088416","5131855","5175256","5218602","5261919","5305194","5348437","5391623","5434757","5477842","5520869","5563835","5606704","5649535","5692281","5734940","5777507","5820000","5862405","5904721","5946941","5989068","6031089","6073005"
"Brazil","202763744","204471759","206163056","207833825","209469320","211049519","212559409","214058922","215514920","216925956","218290642","219607706","220876011","222094527","223262357","224378699","225442878","226454361","227412713","228317658","229169012","229966717","230710917","231401784","232039505","232624329","233156687","233637006","234066170","234445817","234777960","235064347","235305886","235503260","235657780","235770738","235843278","235876203","235869982","235824816","235740687","235617600","235456104","235256552","235018565","234741517","234425104","234069643","233675788","233244249","232775851","232271455","231732039","231158460","230551520","229911961","229240829","228539422","227809424","227052789","226271703","225468364","224644430","223801873","222943498","222072416","221191419","220302391","219406892","218506893","217604211","216700515","215797287","214895646","213996241","213099384","212205476","211315122","210429103","209548183","208673112","207804428","206942456","206087255","205238663","204396242","203559308"
