# Adoption Data for the Solar PV Rooftop solution
"Year", "World"
2012, 38.819600000000
2013, 54.043600000000
2014, 75.458024197574
2015, 150.000000000000
2016, 175.000000000000
2017, 250.000000000000
2018, 110.681724340178
2019, 130.345748802412
2020, 135.851908884104
2021, 175.536632944225
2022, 201.162765273002
2023, 228.876277311340
2024, 258.728208731310
2025, 290.769839566081
2026, 325.051884674781
2027, 361.624791163785
2028, 400.539851839128
2029, 441.848758113965
2030, 451.963016227231
2031, 531.856100374972
2032, 580.658924918603
2033, 632.065209028691
2034, 686.128865518794
2035, 742.904110228577
2036, 802.444762863873
2037, 864.804861422521
2038, 930.039587857974
2039, 998.204747745274
2040, 1103.237945267390
2041, 1143.548972331860
2042, 1220.837971460400
2043, 1301.276193776940
2044, 1384.915481453170
2045, 1471.807445198540
2046, 1562.004475338690
2047, 1655.559169239640
2048, 1752.522821450050
2049, 1852.946074990950
2050, 1946.969898358280
2051, 2064.372472146180
2052, 2175.476039954540
2053, 2290.232639660550
2054, 2408.681653755960
2055, 2530.863618599360
2056, 2656.823270502080
2057, 2786.609696450020
2058, 2920.272838084140
2059, 3057.865488298130
2060, 3199.441192975600
