Year, Baseline: Based on- IEA ETP 2016 6DS, Baseline: Based on- AMPERE MESSAGE-MACRO Reference, Baseline: Based on- AMPERE GEM E3 Reference, Baseline: Based on- AMPERE IMAGE/TIMER Reference, Conservative: Based on- IEA ETP 2016 4DS, Conservative: Based on- AMPERE MESSAGE-MACRO 550, Conservative: Based on- AMPERE GEM E3 550, Conservative: Based on- AMPERE IMAGE/TIMER 550, Conservative: Based on- Greenpeace 2015 Reference, Ambitious: Based on- IEA ETP 2016 2DS, Ambitious: Based on- AMPERE MESSAGE-MACRO 450, Ambitious: Based on- AMPERE GEM E3 450, Ambitious: Based on- AMPERE IMAGE/TIMER 450, Ambitious: Based on- Greenpeace Energy [R]evolution, 100% REN: Based on- Greenpeace Advanced [R]evolution
2012, 5170.90002335247, 4160.37080009705, 4965.12923986784, 4475.59010627493, 5188.46224912506, 4179.08175905623, 4614.42603017543, 4430.81918747784, 5024.00000000000, 5214.28154668963, 4151.76445390107, 4757.93748856328, 4426.26897692944, 5024.00000000000, 5024.00000000000
2013, 5436.33882983460, 4442.34312681980, 5423.96442842603, 4886.12593830826, 5436.33882983460, 4478.57379628923, 4908.68802481639, 4842.72649271892, 5300.18583413196, 5436.33882983460, 4428.54420648996, 5071.69568911922, 4838.13951205225, 5374.65577035550, 5355.66917898800
2014, 5602.17264392250, 4633.94056550348, 5760.63005544021, 5205.87503247228, 5584.91721463961, 4680.98066323618, 5099.10127478500, 5153.01643724669, 5556.21722598755, 5559.54895727722, 4610.55468126565, 5268.42747035062, 5143.81054201216, 5558.54996726086, 5523.85525752961
2015, 5858.49053211516, 4891.50139782097, 6167.91301861892, 5608.26385085911, 5824.00606707236, 4944.54499159824, 5358.30813448082, 5533.67266196078, 5893.16555559380, 5773.30835507291, 4854.02593510918, 5527.38099549863, 5515.32528939408, 5820.35188764600, 5776.06227759892
2016, 6114.98907047208, 5141.30237657150, 6555.89136116916, 6012.09587072142, 6063.29706392362, 5195.33073038683, 5605.00993373824, 5904.23275119660, 6223.03023414644, 5987.30149729938, 5085.90912770971, 5765.27615868394, 5872.51327839864, 6071.13824504490, 6023.72654135264
2017, 6371.70185081653, 5383.40887941606, 6924.72430635151, 6417.32747292643, 6302.81933511266, 5433.79158973507, 5839.44414894931, 6264.66300777841, 6545.87901368684, 6201.55095415857, 5306.71652410636, 5983.07735723822, 6215.55655046235, 6311.29039101541, 6267.27712113643
2018, 6628.51613284987, 5617.60263181421, 7274.19540522547, 6823.56387178409, 6542.45792981157, 5660.09616771014, 6061.54394597802, 6614.58779042043, 6861.62283370853, 6415.93852498943, 5516.68430623093, 6181.44132749261, 6544.29955845472, 6541.03888780666, 6506.99632195274
2019, 6885.20755221845, 5843.49905557275, 7603.85909647257, 7230.17244720952, 6781.98940718430, 5874.25009537634, 6271.07268370411, 6953.41316825989, 7170.04808569018, 6630.24212667512, 5715.89336160861, 6360.86323627434, 6858.37680161930, 6760.50197862991, 6743.05588241869
2020, 7141.58670867217, 5979.30978878948, 7893.77137321873, 7636.57553982641, 7021.22672755313, 5898.04028593987, 6439.51889285355, 7018.10790673978, 7384.96808297076, 6844.27818995917, 5789.70141142284, 6777.44294801062, 6832.08247762306, 7159.78676796569, 7200.90683418400
2021, 7396.19287579816, 6269.37207023673, 8202.61829241842, 8054.50803153114, 7236.07533999084, 6266.67900255591, 6652.07903058597, 7595.89602091942, 7764.33918581920, 7001.71049292346, 6082.90685752831, 6665.55929205978, 7441.61458629578, 7169.32212000480, 7205.15309729929
2022, 7650.47458103980, 6469.36064092320, 8471.83924586678, 8471.79106666473, 7450.64254549580, 6445.78417507164, 6823.96968992272, 7899.23049908030, 8050.21112508448, 7158.92359117720, 6251.67617248643, 6792.79088099043, 7710.93409136388, 7359.34984728373, 7431.96152874971
2023, 7904.44374072390, 6661.00723753048, 8721.42221153390, 8888.49144117857, 7664.94058081603, 6614.32426319094, 6984.03071200642, 8190.75836732391, 8328.60927848269, 7315.93017734726, 6411.54112453063, 6904.89610508028, 7965.83792026761, 7540.26987512471, 7656.49011787679
2024, 8158.14822906284, 6844.71985635075, 8951.97721885462, 9304.90433216778, 7879.01613747468, 6773.11992383669, 7132.89359708514, 8470.82236814365, 8599.59539758911, 7472.77521516725, 6563.37441745002, 7003.28310587150, 8206.90117015571, 7712.46786440315, 7879.17503522257
2025, 8411.63390150157, 7020.88128397955, 9164.08495579072, 9721.31522584417, 8092.91320508681, 6922.96462050862, 7271.15776599477, 8739.74467498274, 8746.13931666431, 7629.49998303860, 6708.02132917999, 7089.32294032858, 8434.67549930141, 7827.29181225646, 7976.68997184668
2026, 8699.67122140485, 7189.67507189034, 9358.06714097784, 10137.75153918080, 8344.15561592627, 7064.45368125392, 7399.21206137058, 8997.60618202809, 9119.52895344445, 7773.64433395964, 6846.13467901245, 7164.17739694855, 8649.47705027838, 8032.18475888821, 8320.70631615166
2027, 8987.45986841692, 7351.23391425209, 9534.18084669880, 10554.17044528590, 8595.18542715603, 7198.13287679446, 7517.39285430218, 9244.42544680494, 9368.50476942497, 7917.68372856182, 6978.31904905986, 7228.95797623587, 8851.56221649659, 8180.38120397297, 8540.33255740368
2028, 9275.04523513860, 7505.87363785326, 9692.92157607239, 10970.79426099540, 8846.04549325297, 7324.72751976944, 7626.22342533772, 9480.45252332512, 9610.21377795572, 8061.65563651826, 7105.35296021704, 7284.95612983420, 9041.40900461582, 8321.28956433750, 8759.75608116273
2029, 9562.48960316635, 7653.95272629552, 9834.83688080182, 11387.92530322560, 9096.79434443758, 7445.00280756701, 7726.26611786329, 9705.99543481069, 9844.72914414083, 8205.61025186751, 7228.05397655222, 7333.49704623097, 9219.54775849291, 8455.29672348364, 8979.41930181044
2030, 9849.85905323016, 7918.67540293947, 9989.99123515355, 11805.85696059430, 9347.49362791278, 7716.29837278693, 7860.84233627473, 10149.24015705460, 10102.56733439040, 8349.59877919898, 7459.64201482030, 6990.64632416521, 9668.96297846049, 8397.05292998259, 9068.15482869017
