# 'Variable Meta-analysis'!C121:X146, VMA #3
#
Source ID, Link, Region, Specific Geographic Location, Source Validation Code, Year, License Code, Raw Data Input, Original Units, Weight
REN21 2015, http://www.ren21.net/wp-content/uploads/2015/07/REN12-GSR2015_Onlinebook_low1.pdf, USA, USA, 2 - Public Sector/ Multilateral Agency, 2014, , 3800, US$2014/kW, 
REN21 2015, http://www.ren21.net/wp-content/uploads/2015/07/REN12-GSR2015_Onlinebook_low1.pdf, OECD90, Japana, 2 - Public Sector/ Multilateral Agency, 2014, , 3350, US$2014/kW, 
IEA Roadmap 2014, https://www.iea.org/publications/freepublications/publication/technology-roadmap-solar-photovoltaic-energy---2014-edition.html, OECD90, Australia, 2 - Public Sector/ Multilateral Agency, 2014, , 1700, US$2014/kW, 
IEA Roadmap 2014, https://www.iea.org/publications/freepublications/publication/technology-roadmap-solar-photovoltaic-energy---2014-edition.html, Asia (Sans Japan), China, 2 - Public Sector/ Multilateral Agency, 2014, , 1400, US$2014/kW, 
IEA Roadmap 2014, https://www.iea.org/publications/freepublications/publication/technology-roadmap-solar-photovoltaic-energy---2014-edition.html, EU, France, 2 - Public Sector/ Multilateral Agency, 2014, , 2700, US$2014/kW, 
IEA Roadmap 2014, https://www.iea.org/publications/freepublications/publication/technology-roadmap-solar-photovoltaic-energy---2014-edition.html, EU, Germany, 2 - Public Sector/ Multilateral Agency, 2014, , 1800, US$2014/kW, 
IEA Roadmap 2014, https://www.iea.org/publications/freepublications/publication/technology-roadmap-solar-photovoltaic-energy---2014-edition.html, EU, Italy, 2 - Public Sector/ Multilateral Agency, 2014, , 1900, US$2014/kW, 
IEA Roadmap 2014, https://www.iea.org/publications/freepublications/publication/technology-roadmap-solar-photovoltaic-energy---2014-edition.html, OECD90, Japan, 2 - Public Sector/ Multilateral Agency, 2014, , 3600, US$2014/kW, 
IEA Roadmap 2014, https://www.iea.org/publications/freepublications/publication/technology-roadmap-solar-photovoltaic-energy---2014-edition.html, EU, UK, 2 - Public Sector/ Multilateral Agency, 2014, , 2400, US$2014/kW, 
IEA Roadmap 2014, https://www.iea.org/publications/freepublications/publication/technology-roadmap-solar-photovoltaic-energy---2014-edition.html, USA, , 2 - Public Sector/ Multilateral Agency, 2014, , 4500, US$2014/kW, 
GTM research Q4 2014, http://www.seia.org/research-resources/solar-market-insight-report-2014-q4, USA, , 2 - Public Sector/ Multilateral Agency, 2014, , 2250, US$2014/kW, 
REN21 2015, http://www.ren21.net/wp-content/uploads/2015/07/REN12-GSR2015_Onlinebook_low1.pdf, EU, Germany, 2 - Public Sector/ Multilateral Agency, 2014, , 2200, US$2014/kW, 
REN21 2015, http://www.ren21.net/wp-content/uploads/2015/07/REN12-GSR2015_Onlinebook_low1.pdf, USA, USA, 2 - Public Sector/ Multilateral Agency, 2014, , 5250, US$2014/kW, 
REN21 2015, http://www.ren21.net/wp-content/uploads/2015/07/REN12-GSR2015_Onlinebook_low1.pdf, OECD90, Japan, 2 - Public Sector/ Multilateral Agency, 2014, , 4260, US$2014/kW, 
REN21 2015, http://www.ren21.net/wp-content/uploads/2015/07/REN12-GSR2015_Onlinebook_low1.pdf, China, China, 2 - Public Sector/ Multilateral Agency, 2014, , 2150, US$2014/kW, 
REN21 2015, http://www.ren21.net/wp-content/uploads/2015/07/REN12-GSR2015_Onlinebook_low1.pdf, OECD90, Australia, 2 - Public Sector/ Multilateral Agency, 2014, , 3380, US$2014/kW, 
REN21 2015, http://www.ren21.net/wp-content/uploads/2015/07/REN12-GSR2015_Onlinebook_low1.pdf, EU, Italy, 2 - Public Sector/ Multilateral Agency, 2014, , 2700, US$2014/kW, 
IRENA 2014 (Figure 5.11), https://www.irena.org/DocumentDownloads/Publications/IRENA_RE_Power_Costs_2014_report.pdf, EU, Germany, 2 - Public Sector/ Multilateral Agency, 2014, , 2200, US$2014/kW, 
IRENA 2014 (Figure 5.11), https://www.irena.org/DocumentDownloads/Publications/IRENA_RE_Power_Costs_2014_report.pdf, USA, USA (not California), 2 - Public Sector/ Multilateral Agency, 2014, , 4300, US$2014/kW, 
IRENA 2014 (Figure 5.11), https://www.irena.org/DocumentDownloads/Publications/IRENA_RE_Power_Costs_2014_report.pdf, EU, Italy, 2 - Public Sector/ Multilateral Agency, 2014, , 3300, US$2014/kW, 
IRENA 2014 (Figure 5.11), https://www.irena.org/DocumentDownloads/Publications/IRENA_RE_Power_Costs_2014_report.pdf, EU, France, 2 - Public Sector/ Multilateral Agency, 2014, , 5100, US$2014/kW, 
IRENA 2014 (Figure 5.11), https://www.irena.org/DocumentDownloads/Publications/IRENA_RE_Power_Costs_2014_report.pdf, EU, UK, 2 - Public Sector/ Multilateral Agency, 2014, , 2950, US$2014/kW, 
IRENA 2014 (Figure 5.11), https://www.irena.org/DocumentDownloads/Publications/IRENA_RE_Power_Costs_2014_report.pdf, China, China, 2 - Public Sector/ Multilateral Agency, 2014, , 2200, US$2014/kW, 
IEA Roadmap 2014, https://www.iea.org/publications/freepublications/publication/technology-roadmap-solar-photovoltaic-energy---2014-edition.html, OECD90, Australia, 2 - Public Sector/ Multilateral Agency, 2014, , 1800, US$2014/kW, 
