# Adoption Data for the Solar PV Rooftop solution
"Year", "World"
2012, 38.819600000000
2013, 54.043600000000
2014, 75.458024197574
2015, 150.000000000000
2016, 175.000000000000
2017, 250.000000000000
2018, 146.723478266718
2019, 173.061897903140
2020, 180.295828680926
2021, 231.426465881624
2022, 263.298790401144
2023, 296.862635464072
2024, 332.042508116168
2025, 368.763007927786
2026, 406.947793135790
2027, 446.519993551212
2028, 487.403594712771
2029, 529.522831713934
2030, 570.134925861835
2031, 617.165310049293
2032, 662.536867932751
2033, 708.841614329650
2034, 756.004847004547
2035, 803.951794365174
2036, 852.606851932985
2037, 901.894272514246
2038, 951.739103351893
2039, 1002.066564280070
2040, 1061.579651767360
2041, 1103.867232242590
2042, 1155.186933098290
2043, 1206.681384138140
2044, 1258.270159477350
2045, 1309.872503398290
2046, 1361.408240062700
2047, 1412.797219994060
2048, 1463.958047147950
2049, 1514.808734406830
2050, 1562.189108924360
2051, 1615.250537737640
2052, 1664.677037444570
2053, 1713.458624940880
2054, 1761.505515372450
2055, 1808.729487164910
2056, 1855.045892784350
2057, 1900.373401404260
2058, 1944.631311117630
2059, 1987.740777137190
2060, 2029.623257078480
